Precompiling Pkg...
   1005.7 ms  ✓ UUIDs
   1001.6 ms  ✓ Unicode
   1100.9 ms  ✓ Logging
   1132.4 ms  ✓ MozillaCACerts_jll
   1137.4 ms  ✓ Zlib_jll
   1190.2 ms  ✓ MbedTLS_jll
   1196.7 ms  ✓ nghttp2_jll
   1216.1 ms  ✓ p7zip_jll
   1262.1 ms  ✓ NetworkOptions
   1225.8 ms  ✓ Base64
    507.1 ms  ✓ Printf
    320.8 ms  ✓ LibSSH2_jll
    381.1 ms  ✓ LibCURL_jll
    435.7 ms  ✓ LibGit2_jll
   2114.2 ms  ✓ ArgTools
    572.2 ms  ✓ LibCURL
    544.0 ms  ✓ Tar
   2322.3 ms  ✓ Dates
   2813.9 ms  ✓ Markdown
   2310.0 ms  ✓ LibGit2
    449.2 ms  ✓ TOML
   2922.8 ms  ✓ Downloads
  39452.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1718.1 ms  ✓ SimpleUnPack
   1719.6 ms  ✓ MuladdMacro
   1797.2 ms  ✓ Future
   1908.5 ms  ✓ ConcreteStructs
   1920.0 ms  ✓ LaTeXStrings
   1962.7 ms  ✓ IteratorInterfaceExtensions
   2003.6 ms  ✓ UnPack
   2111.2 ms  ✓ StatsAPI
   2115.6 ms  ✓ PositiveFactorizations
   2327.4 ms  ✓ ExprTools
   2728.9 ms  ✓ AbstractFFTs
   3210.5 ms  ✓ ADTypes
   1560.2 ms  ✓ CommonSolve
   1762.1 ms  ✓ OpenLibm_jll
   3620.0 ms  ✓ FunctionWrappers
   2017.1 ms  ✓ InverseFunctions
   2307.4 ms  ✓ CompilerSupportLibraries_jll
   4329.4 ms  ✓ Combinatorics
   4400.2 ms  ✓ FillArrays
   2496.3 ms  ✓ Statistics
   3316.6 ms  ✓ Serialization
   2911.3 ms  ✓ SuiteSparse_jll
   2915.2 ms  ✓ IterTools
   1544.3 ms  ✓ DataValueInterfaces
   1496.7 ms  ✓ EnumX
   2389.4 ms  ✓ ManualMemory
   2185.9 ms  ✓ OrderedCollections
   1893.5 ms  ✓ Requires
   1292.1 ms  ✓ Reexport
   1511.3 ms  ✓ SIMDTypes
