Precompiling Pkg...
    982.7 ms  ✓ Zlib_jll
    990.0 ms  ✓ nghttp2_jll
    990.8 ms  ✓ MozillaCACerts_jll
   1037.3 ms  ✓ MbedTLS_jll
   1072.1 ms  ✓ Logging
   1095.6 ms  ✓ UUIDs
   1099.7 ms  ✓ Unicode
   1144.4 ms  ✓ p7zip_jll
   1240.8 ms  ✓ NetworkOptions
   1235.5 ms  ✓ Base64
    402.4 ms  ✓ LibSSH2_jll
    502.6 ms  ✓ Printf
    461.3 ms  ✓ LibCURL_jll
    464.5 ms  ✓ LibGit2_jll
   2177.6 ms  ✓ ArgTools
    573.8 ms  ✓ LibCURL
    538.0 ms  ✓ Tar
   2171.5 ms  ✓ Dates
   2909.2 ms  ✓ Markdown
   2242.2 ms  ✓ LibGit2
    551.6 ms  ✓ TOML
   2810.3 ms  ✓ Downloads
  40445.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 46 seconds
Precompiling project...
   1784.6 ms  ✓ IteratorInterfaceExtensions
   1796.9 ms  ✓ SimpleUnPack
   1809.9 ms  ✓ MuladdMacro
   1887.6 ms  ✓ StatsAPI
   1987.2 ms  ✓ ConcreteStructs
   1972.9 ms  ✓ UnPack
   2091.3 ms  ✓ Future
   2185.9 ms  ✓ ExprTools
   2293.9 ms  ✓ PositiveFactorizations
   2910.2 ms  ✓ AbstractFFTs
   3076.2 ms  ✓ Serialization
   3298.6 ms  ✓ FunctionWrappers
   1516.1 ms  ✓ CommonSolve
   3584.2 ms  ✓ ADTypes
   1996.5 ms  ✓ OpenLibm_jll
   2097.8 ms  ✓ InverseFunctions
   4218.5 ms  ✓ Combinatorics
   4280.2 ms  ✓ FillArrays
   2307.5 ms  ✓ CompilerSupportLibraries_jll
   2411.9 ms  ✓ Statistics
   2499.3 ms  ✓ SuiteSparse_jll
   2608.7 ms  ✓ IterTools
   1987.6 ms  ✓ ManualMemory
   1624.5 ms  ✓ Reexport
   2195.2 ms  ✓ Requires
   2096.6 ms  ✓ EnumX
   2604.7 ms  ✓ OrderedCollections
   1996.9 ms  ✓ SIMDTypes
   1487.9 ms  ✓ FastPower
   1901.1 ms  ✓ Mmap
   2085.8 ms  ✓ CompositionsBase
   1857.4 ms  ✓ PtrArrays
   2688.9 ms  ✓ DocStringExtensions
   1978.7 ms  ✓ IfElse
   1803.0 ms  ✓ CPUTime
   1500.0 ms  ✓ DataAPI
   3820.4 ms  ✓ SpatialIndexing
   7402.9 ms  ✓ ExproniconLite
   1713.1 ms  ✓ CommonWorldInvalidations
   2119.6 ms  ✓ ConstructionBase
   1452.7 ms  ✓ FastClosures
   3391.8 ms  ✓ EnzymeCore
   2302.1 ms  ✓ StaticArraysCore
   1998.8 ms  ✓ FunctionWrappersWrappers
   2178.2 ms  ✓ RuntimeGeneratedFunctions
   2191.7 ms  ✓ NaNMath
   2498.8 ms  ✓ Compat
   3442.3 ms  ✓ CpuId
   8217.3 ms  ✓ Bessels
   5912.3 ms  ✓ IrrationalConstants
   3410.4 ms  ✓ Preferences
   2740.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2579.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   1897.7 ms  ✓ Parameters
   1987.4 ms  ✓ Adapt
   3517.8 ms  ✓ Distances
   1856.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4895.9 ms  ✓ LazyArtifacts
   2481.8 ms  ✓ Missings
   2706.7 ms  ✓ AliasTables
   2506.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6696.5 ms  ✓ InteractiveUtils
   2103.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11513.6 ms  ✓ MacroTools
   4596.7 ms  ✓ ThreadingUtilities
   2387.9 ms  ✓ DiffResults
   2599.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1518.2 ms  ✓ EnzymeCore → AdaptExt
   2855.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2204.9 ms  ✓ PrecompileTools
   2597.2 ms  ✓ JLLWrappers
   4884.2 ms  ✓ DifferentiationInterface
   3360.9 ms  ✓ LogExpFunctions
   8109.1 ms  ✓ Jieko
   2884.3 ms  ✓ ArrayInterface
   3201.1 ms  ✓ GPUArraysCore
   2597.6 ms  ✓ CommonSubexpressions
   9190.6 ms  ✓ Distributed
   2622.5 ms  ✓ TruncatedStacktraces
   2447.1 ms  ✓ Rmath_jll
   1800.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2499.8 ms  ✓ FFTW_jll
   2483.4 ms  ✓ OpenSpecFun_jll
   3703.4 ms  ✓ Static
   1817.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   5457.5 ms  ✓ Setfield
   1903.0 ms  ✓ SciMLStructures
   3398.0 ms  ✓ oneTBB_jll
   1895.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2003.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   5611.2 ms  ✓ IntelOpenMP_jll
   7046.8 ms  ✓ DataStructures
   7510.9 ms  ✓ RecipesBase
   4207.9 ms  ✓ PreallocationTools
   3238.4 ms  ✓ Rmath
   2482.8 ms  ✓ BitTwiddlingConvenienceFunctions
   3484.1 ms  ✓ ProgressMeter
   2795.3 ms  ✓ FiniteDiff
  10116.7 ms  ✓ Accessors
   3715.8 ms  ✓ CPUSummary
   2237.4 ms  ✓ SortingAlgorithms
   4581.7 ms  ✓ StaticArrayInterface
  16165.3 ms  ✓ SparseArrays
   1792.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2195.2 ms  ✓ Accessors → LinearAlgebraExt
   3999.6 ms  ✓ QuadGK
   5148.4 ms  ✓ MKL_jll
   2898.6 ms  ✓ PolyesterWeave
   2407.4 ms  ✓ CloseOpenIntervals
   2818.3 ms  ✓ LayoutPointers
   2889.7 ms  ✓ Adapt → AdaptSparseArraysExt
  15709.6 ms  ✓ Test
   3256.0 ms  ✓ SuiteSparse
   2403.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3507.2 ms  ✓ Statistics → SparseArraysExt
   3496.1 ms  ✓ Distances → DistancesSparseArraysExt
   3761.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2899.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2995.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  10709.7 ms  ✓ SpecialFunctions
   2510.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2502.7 ms  ✓ Accessors → TestExt
   3066.1 ms  ✓ PDMats
   3489.6 ms  ✓ StrideArraysCore
   4905.6 ms  ✓ SymbolicIndexingInterface
   2424.3 ms  ✓ DiffRules
   2182.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   3548.0 ms  ✓ HypergeometricFunctions
   2200.9 ms  ✓ Polyester
   6382.4 ms  ✓ SciMLOperators
   5258.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1712.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1801.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   6999.3 ms  ✓ StatsBase
   2299.0 ms  ✓ FastBroadcast
