Precompiling Pkg...
   1044.2 ms  ✓ Zlib_jll
   1050.2 ms  ✓ UUIDs
   1064.4 ms  ✓ Logging
   1126.8 ms  ✓ MozillaCACerts_jll
   1137.5 ms  ✓ Unicode
   1167.9 ms  ✓ p7zip_jll
   1177.1 ms  ✓ nghttp2_jll
   1218.8 ms  ✓ NetworkOptions
   1180.5 ms  ✓ MbedTLS_jll
   1232.6 ms  ✓ Base64
    359.9 ms  ✓ LibSSH2_jll
    436.4 ms  ✓ Printf
    430.4 ms  ✓ LibGit2_jll
    433.7 ms  ✓ LibCURL_jll
   2053.2 ms  ✓ ArgTools
    579.2 ms  ✓ LibCURL
    559.5 ms  ✓ Tar
   2392.6 ms  ✓ Dates
   2828.6 ms  ✓ Markdown
   2365.6 ms  ✓ LibGit2
    404.7 ms  ✓ TOML
   2980.4 ms  ✓ Downloads
  39235.3 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1887.9 ms  ✓ IteratorInterfaceExtensions
   1901.5 ms  ✓ MuladdMacro
   1907.5 ms  ✓ SimpleUnPack
   1908.9 ms  ✓ ConcreteStructs
   1989.7 ms  ✓ UnPack
   2001.4 ms  ✓ Future
   2086.4 ms  ✓ StatsAPI
   2217.1 ms  ✓ ExprTools
   2906.4 ms  ✓ PositiveFactorizations
   3002.1 ms  ✓ AbstractFFTs
   3192.1 ms  ✓ Serialization
   3208.3 ms  ✓ ADTypes
   1698.3 ms  ✓ CommonSolve
   3814.0 ms  ✓ FunctionWrappers
   2181.8 ms  ✓ OpenLibm_jll
   2403.5 ms  ✓ InverseFunctions
   4410.3 ms  ✓ Combinatorics
   2503.6 ms  ✓ Statistics
   4398.7 ms  ✓ FillArrays
   2488.6 ms  ✓ CompilerSupportLibraries_jll
   2284.0 ms  ✓ SuiteSparse_jll
   2516.2 ms  ✓ IterTools
   2017.5 ms  ✓ ManualMemory
   1907.4 ms  ✓ EnumX
   2680.6 ms  ✓ Requires
   2708.7 ms  ✓ OrderedCollections
   1835.3 ms  ✓ Reexport
   1785.6 ms  ✓ SIMDTypes
   1691.8 ms  ✓ FastPower
   1806.9 ms  ✓ CompositionsBase
   1805.1 ms  ✓ PtrArrays
   2904.0 ms  ✓ DocStringExtensions
   1905.3 ms  ✓ IfElse
   1800.9 ms  ✓ CPUTime
   2781.0 ms  ✓ EnzymeCore
   3319.7 ms  ✓ Distances
   4103.2 ms  ✓ SpatialIndexing
   1898.3 ms  ✓ FastClosures
   2310.4 ms  ✓ ConstructionBase
   2200.5 ms  ✓ DataAPI
   2483.1 ms  ✓ Parameters
