Precompiling Pkg...
   1053.2 ms  ✓ Logging
   1046.4 ms  ✓ MbedTLS_jll
   1049.4 ms  ✓ Zlib_jll
   1134.9 ms  ✓ MozillaCACerts_jll
   1138.7 ms  ✓ Unicode
   1144.9 ms  ✓ UUIDs
   1203.1 ms  ✓ NetworkOptions
   1174.6 ms  ✓ nghttp2_jll
   1224.1 ms  ✓ Base64
   1236.8 ms  ✓ p7zip_jll
    427.7 ms  ✓ LibSSH2_jll
    464.8 ms  ✓ Printf
    378.4 ms  ✓ LibGit2_jll
    385.0 ms  ✓ LibCURL_jll
   2122.9 ms  ✓ ArgTools
    598.3 ms  ✓ LibCURL
    573.1 ms  ✓ Tar
   2363.6 ms  ✓ Dates
   2870.1 ms  ✓ Markdown
   2365.1 ms  ✓ LibGit2
    410.2 ms  ✓ TOML
   2956.7 ms  ✓ Downloads
  39597.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1749.1 ms  ✓ IteratorInterfaceExtensions
   1774.5 ms  ✓ ConcreteStructs
   1846.2 ms  ✓ StatsAPI
   1865.5 ms  ✓ SimpleUnPack
   1871.6 ms  ✓ MuladdMacro
   1952.6 ms  ✓ Future
   2054.7 ms  ✓ UnPack
   2252.9 ms  ✓ PositiveFactorizations
   2349.0 ms  ✓ ExprTools
   2677.4 ms  ✓ AbstractFFTs
   3248.7 ms  ✓ Serialization
   3266.9 ms  ✓ ADTypes
   3670.5 ms  ✓ FunctionWrappers
   2082.4 ms  ✓ OpenLibm_jll
   2002.6 ms  ✓ CommonSolve
   2309.6 ms  ✓ InverseFunctions
   4248.2 ms  ✓ FillArrays
   2317.8 ms  ✓ CompilerSupportLibraries_jll
   2200.7 ms  ✓ SuiteSparse_jll
   2600.2 ms  ✓ Statistics
   4545.6 ms  ✓ Combinatorics
   2704.1 ms  ✓ IterTools
   2297.4 ms  ✓ ManualMemory
   2000.1 ms  ✓ EnumX
   1903.7 ms  ✓ Reexport
   2587.3 ms  ✓ Requires
   1709.7 ms  ✓ SIMDTypes
   2778.5 ms  ✓ OrderedCollections
   1826.3 ms  ✓ PtrArrays
   1909.4 ms  ✓ CompositionsBase
   2203.6 ms  ✓ Mmap
   1985.3 ms  ✓ FastPower
   2778.7 ms  ✓ DocStringExtensions
   1795.1 ms  ✓ IfElse
   1901.1 ms  ✓ CPUTime
   4098.8 ms  ✓ SpatialIndexing
   2101.8 ms  ✓ CommonWorldInvalidations
   2995.4 ms  ✓ EnzymeCore
   2624.0 ms  ✓ DataAPI
   8658.2 ms  ✓ ExproniconLite
   2389.8 ms  ✓ StaticArraysCore
   3082.0 ms  ✓ ConstructionBase
   2495.9 ms  ✓ FastClosures
   7300.8 ms  ✓ Bessels
   4887.0 ms  ✓ IrrationalConstants
   2405.9 ms  ✓ Compat
   3221.3 ms  ✓ CpuId
   2396.3 ms  ✓ RuntimeGeneratedFunctions
   3519.2 ms  ✓ Preferences
   1908.8 ms  ✓ FunctionWrappersWrappers
   2824.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2290.0 ms  ✓ Missings
   2286.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2713.3 ms  ✓ FillArrays → FillArraysStatisticsExt
