nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1163.3 ms  ✓ Zlib_jll
   1168.0 ms  ✓ MozillaCACerts_jll
   1239.4 ms  ✓ Unicode
   1268.1 ms  ✓ Logging
   1289.2 ms  ✓ UUIDs
   1334.6 ms  ✓ p7zip_jll
   1336.0 ms  ✓ nghttp2_jll
   1369.6 ms  ✓ MbedTLS_jll
   1422.4 ms  ✓ NetworkOptions
   1407.9 ms  ✓ Base64
    343.0 ms  ✓ LibSSH2_jll
    528.8 ms  ✓ Printf
    463.1 ms  ✓ LibGit2_jll
    471.9 ms  ✓ LibCURL_jll
   2436.7 ms  ✓ ArgTools
    688.5 ms  ✓ LibCURL
    641.2 ms  ✓ Tar
   2730.9 ms  ✓ Dates
   3139.3 ms  ✓ Markdown
   2627.8 ms  ✓ LibGit2
    414.9 ms  ✓ TOML
   3432.4 ms  ✓ Downloads
  43773.3 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1889.6 ms  ✓ ConcreteStructs
   1875.6 ms  ✓ UnPack
   1904.9 ms  ✓ SimpleUnPack
   1895.2 ms  ✓ IteratorInterfaceExtensions
   1904.2 ms  ✓ ExprTools
   2198.1 ms  ✓ Future
   2498.1 ms  ✓ PositiveFactorizations
   2513.4 ms  ✓ MuladdMacro
   2582.1 ms  ✓ StatsAPI
   2894.9 ms  ✓ AbstractFFTs
   3396.7 ms  ✓ FunctionWrappers
   3776.1 ms  ✓ Serialization
   1901.7 ms  ✓ CommonSolve
   2201.7 ms  ✓ OpenLibm_jll
   2194.2 ms  ✓ InverseFunctions
   4209.3 ms  ✓ ADTypes
   2402.6 ms  ✓ Statistics
   2389.1 ms  ✓ CompilerSupportLibraries_jll
   4906.2 ms  ✓ Combinatorics
   4990.2 ms  ✓ FillArrays
   2605.6 ms  ✓ IterTools
   2213.6 ms  ✓ ManualMemory
   2791.1 ms  ✓ SuiteSparse_jll
   1988.7 ms  ✓ EnumX
   1885.7 ms  ✓ SIMDTypes
   2503.3 ms  ✓ Requires
   3311.4 ms  ✓ OrderedCollections
   2612.1 ms  ✓ NaNMath
   1997.7 ms  ✓ CompositionsBase
   1899.1 ms  ✓ FastPower
   2704.4 ms  ✓ PtrArrays
   2913.2 ms  ✓ Mmap
   3508.7 ms  ✓ DocStringExtensions
   2195.9 ms  ✓ IfElse
   7996.3 ms  ✓ ExproniconLite
   3992.3 ms  ✓ SpatialIndexing
   1842.2 ms  ✓ CPUTime
   2180.7 ms  ✓ ConstructionBase
   1843.1 ms  ✓ CommonWorldInvalidations
   3295.9 ms  ✓ EnzymeCore
   2073.3 ms  ✓ DataAPI
   7315.5 ms  ✓ Bessels
   2396.1 ms  ✓ FastClosures
   5211.1 ms  ✓ IrrationalConstants
   2907.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2025.6 ms  ✓ FunctionWrappersWrappers
   2218.3 ms  ✓ RuntimeGeneratedFunctions
   2741.2 ms  ✓ AliasTables
   2194.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2449.5 ms  ✓ Reexport
   3224.0 ms  ✓ CpuId
   3217.9 ms  ✓ Compat
   2287.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2894.6 ms  ✓ Adapt
   2505.0 ms  ✓ StaticArraysCore
   2720.4 ms  ✓ Parameters
   4198.4 ms  ✓ Distances
   2160.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  11410.6 ms  ✓ MacroTools
   5261.3 ms  ✓ DifferentiationInterface
   6107.3 ms  ✓ LazyArtifacts
   2425.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3400.9 ms  ✓ Preferences
   5105.2 ms  ✓ ThreadingUtilities
   7179.4 ms  ✓ InteractiveUtils
   2187.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2190.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2497.4 ms  ✓ Missings
   2587.6 ms  ✓ ArrayInterface
   2690.5 ms  ✓ GPUArraysCore
   2614.5 ms  ✓ EnzymeCore → AdaptExt
   2689.0 ms  ✓ DiffResults
   3794.5 ms  ✓ LogExpFunctions
   2958.3 ms  ✓ CommonSubexpressions
   2492.4 ms  ✓ JLLWrappers
   2518.0 ms  ✓ PrecompileTools
   2205.6 ms  ✓ TruncatedStacktraces
   9763.9 ms  ✓ Distributed
   7601.1 ms  ✓ DataStructures
   2690.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2283.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2406.9 ms  ✓ SciMLStructures
   2103.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2596.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2505.9 ms  ✓ Rmath_jll
   2608.8 ms  ✓ FFTW_jll
   3247.3 ms  ✓ oneTBB_jll
   9994.7 ms  ✓ Jieko
   3281.8 ms  ✓ OpenSpecFun_jll
   7100.1 ms  ✓ Setfield
   2156.3 ms  ✓ SortingAlgorithms
   3805.4 ms  ✓ Static
   4006.2 ms  ✓ ProgressMeter
   4888.7 ms  ✓ PreallocationTools
   7299.2 ms  ✓ IntelOpenMP_jll
   4378.8 ms  ✓ QuadGK
   3295.6 ms  ✓ FiniteDiff
   2191.2 ms  ✓ BitTwiddlingConvenienceFunctions
   4110.4 ms  ✓ Rmath
  10598.2 ms  ✓ Accessors
   7031.5 ms  ✓ RecipesBase
  16028.7 ms  ✓ SparseArrays
   2091.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4597.7 ms  ✓ CPUSummary
   2393.5 ms  ✓ Accessors → LinearAlgebraExt
