nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1189.9 ms  ✓ MozillaCACerts_jll
   1211.6 ms  ✓ Zlib_jll
   1294.2 ms  ✓ Logging
   1330.7 ms  ✓ UUIDs
   1328.1 ms  ✓ Unicode
   1381.1 ms  ✓ nghttp2_jll
   1384.3 ms  ✓ MbedTLS_jll
   1391.1 ms  ✓ p7zip_jll
   1437.8 ms  ✓ NetworkOptions
   1394.9 ms  ✓ Base64
    362.3 ms  ✓ LibSSH2_jll
    473.1 ms  ✓ Printf
    492.1 ms  ✓ LibCURL_jll
    542.0 ms  ✓ LibGit2_jll
   2392.8 ms  ✓ ArgTools
    617.7 ms  ✓ LibCURL
    633.4 ms  ✓ Tar
   2746.0 ms  ✓ Dates
   3211.3 ms  ✓ Markdown
   2530.4 ms  ✓ LibGit2
    411.9 ms  ✓ TOML
   3323.6 ms  ✓ Downloads
  43590.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1928.6 ms  ✓ UnPack
   1942.3 ms  ✓ ConcreteStructs
   1992.8 ms  ✓ StatsAPI
   2009.3 ms  ✓ SimpleUnPack
   2012.6 ms  ✓ MuladdMacro
   2093.6 ms  ✓ IteratorInterfaceExtensions
   2096.6 ms  ✓ Future
   2187.9 ms  ✓ ExprTools
   2504.4 ms  ✓ PositiveFactorizations
   3380.8 ms  ✓ AbstractFFTs
   1670.7 ms  ✓ CommonSolve
   3689.9 ms  ✓ ADTypes
   3708.1 ms  ✓ FunctionWrappers
   3887.1 ms  ✓ Serialization
   4191.6 ms  ✓ Combinatorics
   2218.0 ms  ✓ OpenLibm_jll
   2591.0 ms  ✓ InverseFunctions
   2408.0 ms  ✓ SuiteSparse_jll
   2505.1 ms  ✓ IterTools
   2890.6 ms  ✓ CompilerSupportLibraries_jll
   5072.8 ms  ✓ FillArrays
   3098.5 ms  ✓ Statistics
   2006.6 ms  ✓ ManualMemory
   2094.3 ms  ✓ EnumX
   1824.0 ms  ✓ Reexport
   1880.7 ms  ✓ SIMDTypes
   2616.9 ms  ✓ OrderedCollections
   2703.8 ms  ✓ Requires
   2113.2 ms  ✓ PtrArrays
   2592.2 ms  ✓ Mmap
   2391.6 ms  ✓ CompositionsBase
