nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1137.4 ms  ✓ Logging
   1171.8 ms  ✓ UUIDs
   1172.8 ms  ✓ Unicode
   1175.3 ms  ✓ MozillaCACerts_jll
   1187.0 ms  ✓ MbedTLS_jll
   1228.5 ms  ✓ Zlib_jll
   1332.7 ms  ✓ nghttp2_jll
   1341.9 ms  ✓ p7zip_jll
   1410.7 ms  ✓ NetworkOptions
   1385.9 ms  ✓ Base64
    468.0 ms  ✓ LibSSH2_jll
    533.9 ms  ✓ Printf
    471.6 ms  ✓ LibCURL_jll
    482.3 ms  ✓ LibGit2_jll
   2407.9 ms  ✓ ArgTools
    653.1 ms  ✓ LibCURL
    632.8 ms  ✓ Tar
   2728.2 ms  ✓ Dates
   3139.8 ms  ✓ Markdown
   2545.0 ms  ✓ LibGit2
    402.9 ms  ✓ TOML
   3230.1 ms  ✓ Downloads
  43274.3 ms  ✓ Pkg
  23 dependencies successfully precompiled in 49 seconds
Precompiling project...
   1873.2 ms  ✓ UnPack
   1883.1 ms  ✓ IteratorInterfaceExtensions
   2117.2 ms  ✓ SimpleUnPack
   2422.2 ms  ✓ ExprTools
   2425.5 ms  ✓ MuladdMacro
   2580.7 ms  ✓ PositiveFactorizations
   2582.2 ms  ✓ StatsAPI
   2675.3 ms  ✓ AbstractFFTs
   2814.9 ms  ✓ ConcreteStructs
   2825.0 ms  ✓ Future
   3207.0 ms  ✓ Serialization
   3826.0 ms  ✓ FunctionWrappers
   2159.4 ms  ✓ OpenLibm_jll
   4109.6 ms  ✓ FillArrays
   4231.6 ms  ✓ Combinatorics
   4308.3 ms  ✓ ADTypes
   2091.5 ms  ✓ CommonSolve
   2409.8 ms  ✓ InverseFunctions
   2081.3 ms  ✓ ManualMemory
   2563.0 ms  ✓ Statistics
   2438.9 ms  ✓ SuiteSparse_jll
   2635.1 ms  ✓ CompilerSupportLibraries_jll
   2741.8 ms  ✓ IterTools
   2799.6 ms  ✓ OrderedCollections
   2005.2 ms  ✓ EnumX
   1893.2 ms  ✓ Reexport
   1864.9 ms  ✓ SIMDTypes
   2590.5 ms  ✓ Requires
   1998.5 ms  ✓ FastPower
   2337.9 ms  ✓ CompositionsBase
   2262.9 ms  ✓ PtrArrays
   2910.1 ms  ✓ DocStringExtensions
   2607.2 ms  ✓ Mmap
   2089.3 ms  ✓ IfElse
   4195.0 ms  ✓ SpatialIndexing
   2137.2 ms  ✓ CommonWorldInvalidations
   8407.0 ms  ✓ ExproniconLite
   2499.8 ms  ✓ ConstructionBase
   2501.5 ms  ✓ CPUTime
   3493.0 ms  ✓ EnzymeCore
   2861.2 ms  ✓ DataAPI
   2161.6 ms  ✓ FastClosures
   8037.4 ms  ✓ Bessels
   5600.3 ms  ✓ IrrationalConstants
   2747.4 ms  ✓ StaticArraysCore
   2855.8 ms  ✓ SciMLPublic
   2263.1 ms  ✓ FunctionWrappersWrappers
   2407.4 ms  ✓ RuntimeGeneratedFunctions
   3555.7 ms  ✓ CpuId
   2492.5 ms  ✓ NaNMath
   3106.7 ms  ✓ Compat
   3660.7 ms  ✓ Preferences
   2605.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3863.4 ms  ✓ ThreadingUtilities
   5562.7 ms  ✓ LazyArtifacts
   3792.6 ms  ✓ LogExpFunctions
   1944.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2612.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2940.7 ms  ✓ Adapt
   3326.4 ms  ✓ Parameters
   6887.3 ms  ✓ InteractiveUtils
   5052.4 ms  ✓ DifferentiationInterface
  11614.5 ms  ✓ MacroTools
   4364.5 ms  ✓ Distances
   3652.3 ms  ✓ AliasTables
   2039.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2226.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2247.8 ms  ✓ DiffResults
   2166.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2686.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2386.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2854.9 ms  ✓ Missings
   2510.1 ms  ✓ JLLWrappers
   2595.0 ms  ✓ PrecompileTools
   2810.3 ms  ✓ GPUArraysCore
   2408.4 ms  ✓ EnzymeCore → AdaptExt
   9212.4 ms  ✓ Distributed
   3296.1 ms  ✓ ArrayInterface
   8089.9 ms  ✓ DataStructures
   3000.7 ms  ✓ CommonSubexpressions
   2704.7 ms  ✓ Rmath_jll
   3161.3 ms  ✓ TruncatedStacktraces
   3064.2 ms  ✓ FFTW_jll
   3332.9 ms  ✓ oneTBB_jll
   8539.2 ms  ✓ Jieko
   3195.6 ms  ✓ OpenSpecFun_jll
   2070.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1808.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1943.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2370.5 ms  ✓ SciMLStructures
   3702.9 ms  ✓ Static
   5838.6 ms  ✓ IntelOpenMP_jll
   2702.5 ms  ✓ SortingAlgorithms
   7410.8 ms  ✓ Setfield
   4496.9 ms  ✓ ProgressMeter
   4307.2 ms  ✓ PreallocationTools
   2508.2 ms  ✓ BitTwiddlingConvenienceFunctions
   4190.2 ms  ✓ QuadGK
   4093.3 ms  ✓ Rmath
  16207.7 ms  ✓ SparseArrays
   8857.4 ms  ✓ RecipesBase
  10646.6 ms  ✓ Accessors
   4568.2 ms  ✓ CPUSummary
   3849.0 ms  ✓ FiniteDiff
   2536.1 ms  ✓ SuiteSparse
   5896.6 ms  ✓ StaticArrayInterface
   2861.2 ms  ✓ Statistics → SparseArraysExt
   2937.5 ms  ✓ Distances → DistancesSparseArraysExt
   3067.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3191.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   6362.7 ms  ✓ MKL_jll
   3249.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3800.8 ms  ✓ Adapt → AdaptSparseArraysExt
   3148.7 ms  ✓ Accessors → LinearAlgebraExt
   2545.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2692.7 ms  ✓ CloseOpenIntervals
  16489.4 ms  ✓ Test
   3554.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4154.4 ms  ✓ PolyesterWeave
   3559.1 ms  ✓ LayoutPointers
   4859.2 ms  ✓ PDMats
   2700.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2610.8 ms  ✓ Accessors → TestExt
  13488.6 ms  ✓ SpecialFunctions
   4802.1 ms  ✓ SymbolicIndexingInterface
   3512.2 ms  ✓ StrideArraysCore
   2599.8 ms  ✓ FillArrays → FillArraysPDMatsExt
   6783.2 ms  ✓ SciMLOperators
   5670.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2205.1 ms  ✓ DiffRules
   8840.6 ms  ✓ StatsBase
   2592.6 ms  ✓ Polyester
   3344.5 ms  ✓ HypergeometricFunctions
   2171.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2516.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1998.3 ms  ✓ FastBroadcast
  11215.0 ms  ✓ Roots
   6098.9 ms  ✓ RecursiveArrayTools
   4156.5 ms  ✓ StatsFuns
   2464.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2504.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  27806.3 ms  ✓ StaticArrays
   1758.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2663.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2763.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2903.2 ms  ✓ Adapt → AdaptStaticArraysExt
   2923.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2932.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3088.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3408.2 ms  ✓ Accessors → StaticArraysExt
  12244.2 ms  ✓ ForwardDiff
   5309.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   5242.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   5436.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   5755.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  26811.4 ms  ✓ FFTW
   6391.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   6496.3 ms  ✓ Roots → RootsForwardDiffExt
  36198.1 ms  ✓ Moshi
   3313.4 ms  ✓ NLSolversBase
  42299.0 ms  ✓ Parsers
  11926.1 ms  ✓ NearestNeighbors
   1241.9 ms  ✓ Neighborhood
  18098.1 ms  ✓ Distributions
   2296.5 ms  ✓ JSON
   2441.6 ms  ✓ Clustering
   3048.2 ms  ✓ LineSearches
   1395.7 ms  ✓ StateSpaceSets
   1429.0 ms  ✓ Distributions → DistributionsTestExt
   1713.6 ms  ✓ DelayEmbeddings
   2360.7 ms  ✓ Optim
   3439.4 ms  ✓ BlackBoxOptim
   9108.1 ms  ✓ SciMLBase
    972.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1102.5 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2698.0 ms  ✓ DiffEqBase
   2818.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3185.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  46419.9 ms  ✓ Polynomials
    852.4 ms  ✓ Polynomials → PolynomialsFFTWExt
   4865.0 ms  ✓ OrdinaryDiffEqCore
    808.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2282.1 ms  ✓ DSP
   1843.1 ms  ✓ Wavelets
   4938.8 ms  ✓ OrdinaryDiffEqTsit5
   2951.4 ms  ✓ ComplexityMeasures
   1757.9 ms  ✓ DynamicalSystemsBase
   2669.0 ms  ✓ Attractors
  188 dependencies successfully precompiled in 85 seconds. 23 already precompiled.
  1 dependency had output during precompilation:
┌ Polyester
│  WARNING: using Static.static_first in module Polyester conflicts with an existing identifier.
│  WARNING: using Static.static_step in module Polyester conflicts with an existing identifier.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.7 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 416.75
	System time (seconds): 43.48
	Percent of CPU this job got: 339%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:15.51
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2035916
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 691
	Minor (reclaiming a frame) page faults: 8902467
	Voluntary context switches: 246165
	Involuntary context switches: 147834
	Swaps: 0
	File system inputs: 120
	File system outputs: 1190584
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
