Precompiling Pkg...
    972.3 ms  ✓ Logging
    973.5 ms  ✓ Unicode
   1050.3 ms  ✓ MozillaCACerts_jll
   1049.8 ms  ✓ nghttp2_jll
   1055.5 ms  ✓ UUIDs
   1120.2 ms  ✓ NetworkOptions
   1143.5 ms  ✓ Zlib_jll
   1153.4 ms  ✓ MbedTLS_jll
   1158.1 ms  ✓ p7zip_jll
   1171.3 ms  ✓ Base64
    308.4 ms  ✓ LibSSH2_jll
    499.2 ms  ✓ Printf
    410.9 ms  ✓ LibCURL_jll
    418.8 ms  ✓ LibGit2_jll
   1997.7 ms  ✓ ArgTools
    540.4 ms  ✓ LibCURL
    549.3 ms  ✓ Tar
   2287.2 ms  ✓ Dates
   2839.5 ms  ✓ Markdown
   2283.3 ms  ✓ LibGit2
    477.7 ms  ✓ TOML
   2830.5 ms  ✓ Downloads
  38137.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1814.8 ms  ✓ IteratorInterfaceExtensions
   1908.2 ms  ✓ ConcreteStructs
   1999.9 ms  ✓ SimpleUnPack
   1998.6 ms  ✓ UnPack
   2100.7 ms  ✓ MuladdMacro
   2107.2 ms  ✓ Future
   2280.3 ms  ✓ ExprTools
   2309.6 ms  ✓ StatsAPI
   2712.6 ms  ✓ PositiveFactorizations
   2900.1 ms  ✓ AbstractFFTs
   3291.0 ms  ✓ ADTypes
   3598.8 ms  ✓ FunctionWrappers
   1889.3 ms  ✓ CommonSolve
   2211.0 ms  ✓ OpenLibm_jll
   2202.9 ms  ✓ InverseFunctions
   4412.5 ms  ✓ Combinatorics
   2417.7 ms  ✓ CompilerSupportLibraries_jll
   4689.6 ms  ✓ FillArrays
   2699.3 ms  ✓ Statistics
   4797.6 ms  ✓ InitialValues
   2988.8 ms  ✓ Serialization
   2791.2 ms  ✓ IterTools
   2499.7 ms  ✓ SuiteSparse_jll
   2109.9 ms  ✓ ManualMemory
   2105.8 ms  ✓ EnumX
   1985.6 ms  ✓ Reexport
   1697.8 ms  ✓ SIMDTypes
   2814.6 ms  ✓ OrderedCollections
   2510.8 ms  ✓ Requires
   1893.8 ms  ✓ CompositionsBase
   2202.9 ms  ✓ Mmap
   1885.8 ms  ✓ FastPower
   2012.4 ms  ✓ PtrArrays
   2806.0 ms  ✓ DocStringExtensions
   2193.9 ms  ✓ HashArrayMappedTries
   1868.5 ms  ✓ IfElse
   2088.0 ms  ✓ TaskLocalValues
