nice: cannot set niceness: Permission denied
Precompiling packages...
   1682.4 ms  ✓ NetworkOptions
   1678.0 ms  ✓ MozillaCACerts_jll
   1682.8 ms  ✓ Logging
   1733.8 ms  ✓ nghttp2_jll
   1794.7 ms  ✓ OpenSSL_jll
   1770.7 ms  ✓ UUIDs
   1768.0 ms  ✓ Zlib_jll
   1764.7 ms  ✓ Base64
   1781.7 ms  ✓ Unicode
   1800.5 ms  ✓ p7zip_jll
    387.5 ms  ✓ LibSSH2_jll
    559.0 ms  ✓ Printf
    439.9 ms  ✓ LibCURL_jll
    441.5 ms  ✓ LibGit2_jll
   3141.5 ms  ✓ ArgTools
    767.0 ms  ✓ LibCURL
    631.1 ms  ✓ Tar
   2084.6 ms  ✓ Dates
   2171.0 ms  ✓ LibGit2
    443.3 ms  ✓ TOML
   2551.2 ms  ✓ Downloads
   8428.9 ms  ✓ StyledStrings
   1673.9 ms  ✓ JuliaSyntaxHighlighting
   3864.0 ms  ✓ Markdown
  47031.2 ms  ✓ Pkg
  25 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2543.2 ms  ✓ SimpleUnPack
   2588.6 ms  ✓ ConcreteStructs
   2592.6 ms  ✓ IteratorInterfaceExtensions
   2680.2 ms  ✓ Future
   2696.8 ms  ✓ MuladdMacro
   2759.1 ms  ✓ UnPack
   2774.1 ms  ✓ StatsAPI
   2893.3 ms  ✓ ExprTools
   2995.8 ms  ✓ PositiveFactorizations
   3747.0 ms  ✓ AbstractFFTs
   3787.2 ms  ✓ ADTypes
   4745.1 ms  ✓ FunctionWrappers
   2495.0 ms  ✓ OpenLibm_jll
   2417.5 ms  ✓ CommonSolve
   5320.8 ms  ✓ FillArrays
   2706.1 ms  ✓ CompilerSupportLibraries_jll
   5633.8 ms  ✓ InitialValues
   2998.5 ms  ✓ InverseFunctions
   3144.7 ms  ✓ Statistics
   2895.6 ms  ✓ SuiteSparse_jll
   5995.0 ms  ✓ Combinatorics
   3450.1 ms  ✓ Serialization
   3402.2 ms  ✓ IterTools
   3287.5 ms  ✓ ManualMemory
   2248.7 ms  ✓ SIMDTypes
   2851.8 ms  ✓ EnumX
   2601.2 ms  ✓ Reexport
   3700.8 ms  ✓ OrderedCollections
   2595.2 ms  ✓ CompositionsBase
   2787.4 ms  ✓ Mmap
   2640.0 ms  ✓ PtrArrays
   3255.2 ms  ✓ DocStringExtensions
   2646.0 ms  ✓ FastPower
   9624.2 ms  ✓ ExproniconLite
   4554.0 ms  ✓ Requires
   2705.0 ms  ✓ HashArrayMappedTries
   5146.3 ms  ✓ SpatialIndexing
   2652.3 ms  ✓ TaskLocalValues
   2743.0 ms  ✓ StableTasks
   2497.7 ms  ✓ IfElse
   2608.7 ms  ✓ CPUTime
   2599.7 ms  ✓ DataAPI
   8997.9 ms  ✓ Bessels
   3002.9 ms  ✓ CommonWorldInvalidations
   2755.1 ms  ✓ FastClosures
   3758.0 ms  ✓ EnzymeCore
   3454.5 ms  ✓ ConstructionBase
   7001.7 ms  ✓ IrrationalConstants
   3243.2 ms  ✓ ChunkSplitters
   3439.3 ms  ✓ SciMLPublic
   3351.2 ms  ✓ StaticArraysCore
   3289.9 ms  ✓ LoggingExtras
   2560.6 ms  ✓ FunctionWrappersWrappers
   3191.4 ms  ✓ Compat
   3749.8 ms  ✓ CpuId
   2986.2 ms  ✓ NaNMath
   3847.6 ms  ✓ Preferences
   2950.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2843.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2951.6 ms  ✓ RuntimeGeneratedFunctions
  12695.3 ms  ✓ MacroTools
   4506.7 ms  ✓ Distances
   5243.8 ms  ✓ LazyArtifacts
   2252.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2514.8 ms  ✓ Parameters
   5804.5 ms  ✓ DifferentiationInterface
   3000.1 ms  ✓ AliasTables
   3151.9 ms  ✓ Adapt
   2591.8 ms  ✓ ScopedValues
   8302.3 ms  ✓ InteractiveUtils
   2349.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2539.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2263.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2955.7 ms  ✓ Missings
   5401.2 ms  ✓ ThreadingUtilities
   2408.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3001.7 ms  ✓ DiffResults
   2641.6 ms  ✓ PrecompileTools
   3847.2 ms  ✓ LogExpFunctions
   3300.8 ms  ✓ JLLWrappers
   3015.5 ms  ✓ SciMLLogging
   3095.0 ms  ✓ CommonSubexpressions
   3007.3 ms  ✓ GPUArraysCore
   3038.3 ms  ✓ EnzymeCore → AdaptExt
   3215.2 ms  ✓ TruncatedStacktraces
   3497.2 ms  ✓ ArrayInterface
   8530.4 ms  ✓ DataStructures
  11362.6 ms  ✓ Distributed
  10294.5 ms  ✓ Jieko
   3718.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3888.5 ms  ✓ Rmath_jll
   6246.5 ms  ✓ Setfield
   3309.2 ms  ✓ OpenSpecFun_jll
   3699.8 ms  ✓ FFTW_jll
   2443.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2755.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2491.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2316.6 ms  ✓ SciMLStructures
   7600.5 ms  ✓ RecipesBase
   6759.5 ms  ✓ IntelOpenMP_jll
