nice: cannot set niceness: Permission denied
Precompiling packages...
   1394.5 ms  ✓ UUIDs
   1482.6 ms  ✓ MozillaCACerts_jll
   1521.0 ms  ✓ OpenSSL_jll
   1669.4 ms  ✓ Zlib_jll
   1698.3 ms  ✓ NetworkOptions
   1695.5 ms  ✓ CompilerSupportLibraries_jll
   1701.4 ms  ✓ Logging
   1771.7 ms  ✓ nghttp2_jll
   1766.5 ms  ✓ Base64
   1803.5 ms  ✓ Unicode
    618.2 ms  ✓ LibSSH2_jll
    596.2 ms  ✓ p7zip_jll
    648.7 ms  ✓ Printf
    496.9 ms  ✓ LibGit2_jll
    495.5 ms  ✓ LibCURL_jll
   3134.0 ms  ✓ ArgTools
    747.8 ms  ✓ LibCURL
    653.7 ms  ✓ Tar
   2926.2 ms  ✓ Dates
   3018.6 ms  ✓ LibGit2
    431.8 ms  ✓ TOML
   3051.7 ms  ✓ Downloads
   9152.5 ms  ✓ StyledStrings
   1660.6 ms  ✓ JuliaSyntaxHighlighting
   3705.8 ms  ✓ Markdown
  46141.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2385.7 ms  ✓ IteratorInterfaceExtensions
   2426.5 ms  ✓ MuladdMacro
   2490.1 ms  ✓ ConcreteStructs
   2495.9 ms  ✓ Future
   2705.7 ms  ✓ StatsAPI
   2896.7 ms  ✓ ExprTools
   2964.1 ms  ✓ PositiveFactorizations
   3805.6 ms  ✓ AbstractFFTs
   3896.7 ms  ✓ ADTypes
   4073.1 ms  ✓ Serialization
   2508.1 ms  ✓ OpenLibm_jll
   2693.9 ms  ✓ CommonSolve
   2898.1 ms  ✓ InverseFunctions
   5626.0 ms  ✓ Combinatorics
   5674.8 ms  ✓ FillArrays
   3187.2 ms  ✓ IterTools
   3063.1 ms  ✓ SuiteSparse_jll
   5990.9 ms  ✓ InitialValues
   3726.8 ms  ✓ Statistics
   2983.6 ms  ✓ ManualMemory
   2704.0 ms  ✓ EnumX
   2589.6 ms  ✓ Reexport
   2698.8 ms  ✓ SIMDTypes
   4401.5 ms  ✓ Requires
   2416.6 ms  ✓ CompositionsBase
   2689.0 ms  ✓ Mmap
   2206.5 ms  ✓ PtrArrays
   3371.8 ms  ✓ DocStringExtensions
   3203.8 ms  ✓ AbstractTrees
   2594.4 ms  ✓ FastPower
   5599.9 ms  ✓ SpatialIndexing
   2510.4 ms  ✓ TaskLocalValues
   3108.0 ms  ✓ HashArrayMappedTries
   2137.0 ms  ✓ CPUTime
   2510.6 ms  ✓ IfElse
  11300.6 ms  ✓ Bessels
   2896.8 ms  ✓ StableTasks
  11514.6 ms  ✓ FunctionWrappers
   2691.7 ms  ✓ CommonWorldInvalidations
   3888.2 ms  ✓ EnzymeCore
   2767.4 ms  ✓ DataAPI
   2799.8 ms  ✓ FastClosures
   2887.8 ms  ✓ ChunkSplitters
   2991.2 ms  ✓ SciMLPublic
   2896.9 ms  ✓ LoggingExtras
   3391.3 ms  ✓ StaticArraysCore
  11195.4 ms  ✓ OrderedCollections
   3800.2 ms  ✓ Preferences
   4509.4 ms  ✓ CpuId
  16284.8 ms  ✓ ExproniconLite
   2586.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5295.0 ms  ✓ LazyArtifacts
   2799.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2790.3 ms  ✓ Adapt
   2504.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
