nice: cannot set niceness: Permission denied
Precompiling packages...
   1435.4 ms  ✓ Zlib_jll
   1540.4 ms  ✓ nghttp2_jll
   1555.7 ms  ✓ MozillaCACerts_jll
   1620.6 ms  ✓ Logging
   1645.3 ms  ✓ CompilerSupportLibraries_jll
   1647.8 ms  ✓ UUIDs
   1689.2 ms  ✓ OpenSSL_jll
   1726.8 ms  ✓ NetworkOptions
   1750.8 ms  ✓ Unicode
   1843.0 ms  ✓ Base64
    501.4 ms  ✓ LibSSH2_jll
    593.0 ms  ✓ p7zip_jll
    642.4 ms  ✓ Printf
    470.9 ms  ✓ LibCURL_jll
    482.1 ms  ✓ LibGit2_jll
   3252.2 ms  ✓ ArgTools
    800.0 ms  ✓ LibCURL
    701.1 ms  ✓ Tar
   2971.8 ms  ✓ Dates
   3065.2 ms  ✓ LibGit2
    443.0 ms  ✓ TOML
   3005.7 ms  ✓ Downloads
   9371.9 ms  ✓ StyledStrings
   1669.7 ms  ✓ JuliaSyntaxHighlighting
   3693.9 ms  ✓ Markdown
  46330.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2467.3 ms  ✓ IteratorInterfaceExtensions
   2494.5 ms  ✓ Future
   2506.9 ms  ✓ ConcreteStructs
   2709.1 ms  ✓ MuladdMacro
   2807.6 ms  ✓ ExprTools
   2821.9 ms  ✓ PositiveFactorizations
   3302.3 ms  ✓ StatsAPI
   3609.4 ms  ✓ AbstractFFTs
   3982.1 ms  ✓ Serialization
   4207.6 ms  ✓ ADTypes
   2546.8 ms  ✓ OpenLibm_jll
   2510.0 ms  ✓ CommonSolve
   3003.8 ms  ✓ InverseFunctions
   5494.6 ms  ✓ InitialValues
   5500.9 ms  ✓ FillArrays
   5700.0 ms  ✓ Combinatorics
   3310.9 ms  ✓ Statistics
   3088.2 ms  ✓ SuiteSparse_jll
   3601.5 ms  ✓ IterTools
   2995.6 ms  ✓ ManualMemory
   2691.2 ms  ✓ EnumX
   2695.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2808.1 ms  ✓ Reexport
   4406.7 ms  ✓ Requires
   2505.2 ms  ✓ CompositionsBase
   3005.0 ms  ✓ Mmap
   3303.4 ms  ✓ AbstractTrees
   2506.2 ms  ✓ PtrArrays
   3596.4 ms  ✓ DocStringExtensions
   2409.0 ms  ✓ FastPower
   5284.3 ms  ✓ SpatialIndexing
   2701.1 ms  ✓ HashArrayMappedTries
  10904.2 ms  ✓ FunctionWrappers
   2591.3 ms  ✓ TaskLocalValues
  10990.4 ms  ✓ Bessels
   2982.5 ms  ✓ StableTasks
   2688.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3357.4 ms  ✓ CPUTime
   3489.7 ms  ✓ AliasTables
   3890.6 ms  ✓ EnzymeCore
   2885.5 ms  ✓ DataAPI
   2568.4 ms  ✓ FastClosures
   2804.0 ms  ✓ ChunkSplitters
   2807.0 ms  ✓ ScopedValues
   2896.7 ms  ✓ SciMLPublic
   3389.7 ms  ✓ LoggingExtras
  10507.5 ms  ✓ OrderedCollections
   4305.0 ms  ✓ CpuId
  15907.5 ms  ✓ ExproniconLite
   3939.8 ms  ✓ Preferences
   2314.4 ms  ✓ SIMDTypes
   5297.9 ms  ✓ LazyArtifacts
   9504.7 ms  ✓ ConstructionBase
   2803.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2784.5 ms  ✓ Adapt
  13883.9 ms  ✓ IrrationalConstants
   2401.6 ms  ✓ IfElse
   2505.7 ms  ✓ CommonWorldInvalidations
   2588.0 ms  ✓ FunctionWrappersWrappers
  18412.4 ms  ✓ MacroTools
   2693.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   8713.3 ms  ✓ RuntimeGeneratedFunctions
   3004.6 ms  ✓ StaticArraysCore
   9511.1 ms  ✓ NaNMath
  10800.6 ms  ✓ Compat
   3184.1 ms  ✓ JLLWrappers
   2506.4 ms  ✓ PrecompileTools
  13305.6 ms  ✓ InteractiveUtils
   2594.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3275.5 ms  ✓ SciMLLogging
   2481.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11405.2 ms  ✓ Distances
  13292.8 ms  ✓ DifferentiationInterface
  11409.3 ms  ✓ ThreadingUtilities
   2404.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3304.4 ms  ✓ GPUArraysCore
   3304.1 ms  ✓ CommonSubexpressions
   2814.5 ms  ✓ DiffResults
   3899.5 ms  ✓ LogExpFunctions
   3909.2 ms  ✓ Rmath_jll
   9200.3 ms  ✓ Missings
   9208.0 ms  ✓ DataStructures
  17548.1 ms  ✓ Distributed
   2509.2 ms  ✓ EnzymeCore → AdaptExt
   4390.9 ms  ✓ FFTW_jll
  11009.2 ms  ✓ Jieko
   9712.7 ms  ✓ ArrayInterface
   7299.3 ms  ✓ IntelOpenMP_jll
   5106.7 ms  ✓ OpenSpecFun_jll
  20702.6 ms  ✓ TimerOutputs
   7009.7 ms  ✓ oneTBB_jll
   4411.6 ms  ✓ TruncatedStacktraces
   2709.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2755.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3107.5 ms  ✓ SortingAlgorithms
   4191.6 ms  ✓ Rmath
   2395.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2743.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3782.2 ms  ✓ MaybeInplace
   7286.8 ms  ✓ Setfield
   4890.2 ms  ✓ ProgressMeter
  10605.6 ms  ✓ RecipesBase
   3023.0 ms  ✓ FiniteDiff
  26180.8 ms  ✓ SparseArrays
  10090.2 ms  ✓ QuadGK
   2387.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   6160.3 ms  ✓ PreallocationTools
   5758.0 ms  ✓ MKL_jll
   3103.0 ms  ✓ SuiteSparse
   3292.4 ms  ✓ Statistics → SparseArraysExt
   9175.7 ms  ✓ SciMLStructures
   3409.6 ms  ✓ Adapt → AdaptSparseArraysExt
   3606.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3219.6 ms  ✓ Distances → DistancesSparseArraysExt
   3237.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3309.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
