nice: cannot set niceness: Permission denied
Precompiling packages...
   1926.6 ms  ✓ MuladdMacro
   1927.6 ms  ✓ LazyArtifacts
   1933.3 ms  ✓ ConcreteStructs
   2000.9 ms  ✓ IteratorInterfaceExtensions
   2099.5 ms  ✓ StatsAPI
   2108.0 ms  ✓ ExprTools
   2319.7 ms  ✓ PositiveFactorizations
   2720.8 ms  ✓ AbstractFFTs
   3025.3 ms  ✓ ADTypes
   3629.9 ms  ✓ FunctionWrappers
   1775.1 ms  ✓ CommonSolve
   3959.6 ms  ✓ Combinatorics
   2003.5 ms  ✓ OpenLibm_jll
   2020.1 ms  ✓ CompilerSupportLibraries_jll
   4075.6 ms  ✓ InitialValues
   2301.3 ms  ✓ InverseFunctions
   2115.4 ms  ✓ SuiteSparse_jll
   4595.9 ms  ✓ FillArrays
   2913.8 ms  ✓ IterTools
   2195.1 ms  ✓ ManualMemory
   1986.8 ms  ✓ EnumX
   1800.5 ms  ✓ Reexport
   1692.7 ms  ✓ SIMDTypes
   2493.9 ms  ✓ Compat
   2418.1 ms  ✓ Requires
   2721.9 ms  ✓ OrderedCollections
   2473.6 ms  ✓ DocStringExtensions
   3503.8 ms  ✓ Preferences
   2611.4 ms  ✓ AbstractTrees
   1799.7 ms  ✓ PtrArrays
   7874.5 ms  ✓ ExproniconLite
   1902.8 ms  ✓ CompositionsBase
   8070.7 ms  ✓ Bessels
   2080.4 ms  ✓ FastPower
   4117.8 ms  ✓ SpatialIndexing
   2103.8 ms  ✓ HashArrayMappedTries
   2189.2 ms  ✓ TaskLocalValues
   2623.4 ms  ✓ StableTasks
   1911.7 ms  ✓ CommonWorldInvalidations
   1916.4 ms  ✓ CPUTime
   3297.6 ms  ✓ CpuId
   2200.6 ms  ✓ IfElse
   1921.8 ms  ✓ DataAPI
   2296.7 ms  ✓ ConstructionBase
   3073.0 ms  ✓ EnzymeCore
   1998.7 ms  ✓ FastClosures
   8422.5 ms  ✓ Distributed
   2787.4 ms  ✓ ChunkSplitters
   2508.6 ms  ✓ SciMLPublic
   3017.8 ms  ✓ LoggingExtras
   6799.7 ms  ✓ IrrationalConstants
