nice: cannot set niceness: Permission denied
Precompiling packages...
   1665.1 ms  ✓ MozillaCACerts_jll
   1669.4 ms  ✓ UUIDs
   1668.4 ms  ✓ Logging
   1691.7 ms  ✓ CompilerSupportLibraries_jll
   1724.2 ms  ✓ OpenSSL_jll
   1693.8 ms  ✓ Zlib_jll
   1761.7 ms  ✓ Unicode
   1763.7 ms  ✓ nghttp2_jll
   1881.1 ms  ✓ NetworkOptions
   1870.2 ms  ✓ Base64
    529.5 ms  ✓ LibSSH2_jll
    624.9 ms  ✓ p7zip_jll
    676.3 ms  ✓ Printf
    490.6 ms  ✓ LibCURL_jll
    493.0 ms  ✓ LibGit2_jll
   3300.2 ms  ✓ ArgTools
    785.2 ms  ✓ LibCURL
    647.6 ms  ✓ Tar
   2968.9 ms  ✓ Dates
   3006.1 ms  ✓ LibGit2
    444.0 ms  ✓ TOML
   3053.4 ms  ✓ Downloads
   9349.4 ms  ✓ StyledStrings
   1640.6 ms  ✓ JuliaSyntaxHighlighting
   3669.3 ms  ✓ Markdown
  45576.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 60 seconds
Precompiling packages...
   2498.7 ms  ✓ IteratorInterfaceExtensions
   2595.6 ms  ✓ ConcreteStructs
   2602.6 ms  ✓ MuladdMacro
   2696.1 ms  ✓ Future
   2703.6 ms  ✓ StatsAPI
   2920.5 ms  ✓ PositiveFactorizations
   3017.6 ms  ✓ ExprTools
   3307.5 ms  ✓ AbstractFFTs
   3983.1 ms  ✓ Serialization
   4011.5 ms  ✓ ADTypes
   2503.0 ms  ✓ CommonSolve
   2794.5 ms  ✓ OpenLibm_jll
   5397.3 ms  ✓ FillArrays
   2824.6 ms  ✓ InverseFunctions
   5595.0 ms  ✓ InitialValues
   3209.9 ms  ✓ Statistics
   3023.1 ms  ✓ SuiteSparse_jll
   6014.9 ms  ✓ Combinatorics
   2799.9 ms  ✓ ManualMemory
   3507.5 ms  ✓ IterTools
   2702.4 ms  ✓ EnumX
   2685.3 ms  ✓ SIMDTypes
   2798.0 ms  ✓ Reexport
   2499.4 ms  ✓ CompositionsBase
   2589.7 ms  ✓ PtrArrays
   2793.2 ms  ✓ Mmap
   4884.4 ms  ✓ Requires
   3498.9 ms  ✓ DocStringExtensions
   3984.0 ms  ✓ AbstractTrees
   2599.4 ms  ✓ FastPower
   5316.9 ms  ✓ SpatialIndexing
   2712.5 ms  ✓ HashArrayMappedTries
   2690.9 ms  ✓ TaskLocalValues
  11011.9 ms  ✓ FunctionWrappers
  11495.1 ms  ✓ Bessels
   2913.7 ms  ✓ StableTasks
   3105.7 ms  ✓ AliasTables
   3002.5 ms  ✓ CPUTime
   3705.0 ms  ✓ EnzymeCore
   2782.2 ms  ✓ CommonWorldInvalidations
   2700.9 ms  ✓ DataAPI
   2703.8 ms  ✓ FastClosures
   2886.5 ms  ✓ ChunkSplitters
   3217.0 ms  ✓ SciMLPublic
   3007.3 ms  ✓ StaticArraysCore
  10495.4 ms  ✓ OrderedCollections
   3185.4 ms  ✓ LoggingExtras
   3993.0 ms  ✓ Preferences
   4185.5 ms  ✓ CpuId
  16187.6 ms  ✓ ExproniconLite
