nice: cannot set niceness: Permission denied
Precompiling packages...
   1507.6 ms  ✓ nghttp2_jll
   1541.9 ms  ✓ OpenSSL_jll
   1519.2 ms  ✓ UUIDs
   1637.9 ms  ✓ Logging
   1708.9 ms  ✓ Zlib_jll
   1723.1 ms  ✓ MozillaCACerts_jll
   1752.1 ms  ✓ NetworkOptions
   1747.7 ms  ✓ CompilerSupportLibraries_jll
   1820.6 ms  ✓ Unicode
   1861.7 ms  ✓ Base64
    617.7 ms  ✓ LibSSH2_jll
    614.9 ms  ✓ p7zip_jll
    686.6 ms  ✓ Printf
    498.8 ms  ✓ LibGit2_jll
    501.9 ms  ✓ LibCURL_jll
   3346.2 ms  ✓ ArgTools
    875.7 ms  ✓ LibCURL
    638.8 ms  ✓ Tar
   3006.1 ms  ✓ Dates
   3134.4 ms  ✓ LibGit2
    502.0 ms  ✓ TOML
   3009.1 ms  ✓ Downloads
   9465.1 ms  ✓ StyledStrings
   1703.6 ms  ✓ JuliaSyntaxHighlighting
   3820.4 ms  ✓ Markdown
  46313.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2433.7 ms  ✓ Future
   2526.4 ms  ✓ IteratorInterfaceExtensions
   2529.0 ms  ✓ ConcreteStructs
   2543.2 ms  ✓ StatsAPI
   2619.6 ms  ✓ MuladdMacro
   2715.1 ms  ✓ ExprTools
   3009.4 ms  ✓ PositiveFactorizations
   3229.5 ms  ✓ AbstractFFTs
   4231.5 ms  ✓ ADTypes
   4723.5 ms  ✓ Serialization
   2298.0 ms  ✓ CommonSolve
   2680.4 ms  ✓ OpenLibm_jll
   3007.1 ms  ✓ InverseFunctions
   5632.9 ms  ✓ InitialValues
   2996.2 ms  ✓ SuiteSparse_jll
   3379.2 ms  ✓ Statistics
   3014.4 ms  ✓ ManualMemory
   6327.9 ms  ✓ FillArrays
   3798.8 ms  ✓ IterTools
   6439.9 ms  ✓ Combinatorics
   2884.9 ms  ✓ EnumX
   2477.6 ms  ✓ SIMDTypes
   2606.1 ms  ✓ Reexport
   2490.6 ms  ✓ CompositionsBase
   2583.3 ms  ✓ PtrArrays
   3122.3 ms  ✓ AbstractTrees
   4301.0 ms  ✓ Requires
   3416.9 ms  ✓ DocStringExtensions
   2876.0 ms  ✓ Mmap
   2708.5 ms  ✓ FastPower
   5901.2 ms  ✓ SpatialIndexing
   2900.3 ms  ✓ TaskLocalValues
   3093.4 ms  ✓ HashArrayMappedTries
  11323.6 ms  ✓ Bessels
   2406.8 ms  ✓ CPUTime
   2501.9 ms  ✓ CommonWorldInvalidations
   3010.0 ms  ✓ StableTasks
  12119.1 ms  ✓ FunctionWrappers
   3394.7 ms  ✓ IfElse
   3917.8 ms  ✓ EnzymeCore
   3003.0 ms  ✓ DataAPI
   2802.0 ms  ✓ FastClosures
   2989.7 ms  ✓ ChunkSplitters
   3131.3 ms  ✓ SciMLPublic
   3000.0 ms  ✓ StaticArraysCore
   3504.2 ms  ✓ LoggingExtras
  11502.1 ms  ✓ OrderedCollections
   3714.6 ms  ✓ Preferences
   4491.2 ms  ✓ CpuId
  16801.7 ms  ✓ ExproniconLite
   2591.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5501.8 ms  ✓ LazyArtifacts
   2517.1 ms  ✓ FillArrays → FillArraysStatisticsExt
  10877.7 ms  ✓ ConstructionBase
   2600.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3004.2 ms  ✓ AliasTables
   2789.9 ms  ✓ Adapt
   2405.9 ms  ✓ FunctionWrappersWrappers
   2811.7 ms  ✓ ScopedValues
  10591.7 ms  ✓ Compat
  17027.7 ms  ✓ IrrationalConstants
  20503.8 ms  ✓ MacroTools
  10475.9 ms  ✓ RuntimeGeneratedFunctions
   3393.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2796.4 ms  ✓ DiffResults
  11099.5 ms  ✓ NaNMath
   2603.0 ms  ✓ PrecompileTools
  14317.1 ms  ✓ InteractiveUtils
   3218.9 ms  ✓ JLLWrappers
   3603.7 ms  ✓ SciMLLogging
  13580.6 ms  ✓ DifferentiationInterface
   2590.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  11907.1 ms  ✓ Distances
   2505.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2499.2 ms  ✓ EnzymeCore → AdaptExt
   2698.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3598.5 ms  ✓ GPUArraysCore
   3016.4 ms  ✓ CommonSubexpressions
  14091.4 ms  ✓ ThreadingUtilities
   3692.8 ms  ✓ LogExpFunctions
   3000.3 ms  ✓ TruncatedStacktraces
  18197.8 ms  ✓ Distributed
   9712.5 ms  ✓ DataStructures
  10709.5 ms  ✓ Missings
   4704.9 ms  ✓ Rmath_jll
  10908.9 ms  ✓ Jieko
   3803.5 ms  ✓ FFTW_jll
  23197.3 ms  ✓ TimerOutputs
   4984.8 ms  ✓ OpenSpecFun_jll
  12097.7 ms  ✓ ArrayInterface
   9902.0 ms  ✓ RecipesBase
   2513.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2388.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9100.5 ms  ✓ IntelOpenMP_jll
   3207.5 ms  ✓ SortingAlgorithms
   9134.6 ms  ✓ oneTBB_jll
   7900.6 ms  ✓ Setfield
   5593.1 ms  ✓ ProgressMeter
   3620.1 ms  ✓ MaybeInplace
   4204.4 ms  ✓ Rmath
   2336.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2199.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  28400.1 ms  ✓ SparseArrays
   2692.4 ms  ✓ FiniteDiff
   5890.6 ms  ✓ PreallocationTools
   5982.2 ms  ✓ MKL_jll
   3297.9 ms  ✓ SuiteSparse
   3502.0 ms  ✓ Statistics → SparseArraysExt
   3436.9 ms  ✓ Adapt → AdaptSparseArraysExt
  10726.1 ms  ✓ QuadGK
   3872.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3694.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   9570.4 ms  ✓ SciMLStructures
   3776.7 ms  ✓ Distances → DistancesSparseArraysExt
   3128.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2669.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2987.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  17882.6 ms  ✓ Accessors
   3192.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  14482.2 ms  ✓ SpecialFunctions
   4097.5 ms  ✓ PDMats
   2506.3 ms  ✓ Accessors → LinearAlgebraExt
  24075.8 ms  ✓ Test
   3492.3 ms  ✓ DiffRules
   3197.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   3700.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4316.1 ms  ✓ BangBang
   5705.6 ms  ✓ HypergeometricFunctions
  30111.5 ms  ✓ Static
   3482.4 ms  ✓ Accessors → TestExt
   2785.1 ms  ✓ BitTwiddlingConvenienceFunctions
   9025.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5328.0 ms  ✓ CPUSummary
  12112.4 ms  ✓ SymbolicIndexingInterface
  13785.9 ms  ✓ SciMLOperators
   2994.3 ms  ✓ PolyesterWeave
  17719.1 ms  ✓ StatsBase
  10802.8 ms  ✓ OhMyThreads
   2814.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3602.9 ms  ✓ PDMats → StatsBaseExt
   3822.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  43999.1 ms  ✓ StaticArrays
  14308.1 ms  ✓ StatsFuns
  19522.4 ms  ✓ Roots
   4497.4 ms  ✓ OhMyThreads → MarkdownExt
   3499.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3671.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3676.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3707.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3777.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3980.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2980.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3988.1 ms  ✓ BangBang → BangBangStaticArraysExt
   4685.0 ms  ✓ Accessors → StaticArraysExt
  24285.0 ms  ✓ ForwardDiff
   3902.8 ms  ✓ FastPower → FastPowerForwardDiffExt
  57200.4 ms  ✓ Parsers
   6094.8 ms  ✓ Roots → RootsForwardDiffExt
   6298.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  14100.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  56709.8 ms  ✓ Moshi
  14492.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   9509.8 ms  ✓ JSON
  46732.1 ms  ✓ FFTW
  36627.1 ms  ✓ StaticArrayInterface
  31274.2 ms  ✓ RecursiveArrayTools
   2082.2 ms  ✓ NLSolversBase
   1599.2 ms  ✓ CloseOpenIntervals
   2002.2 ms  ✓ LayoutPointers
   2204.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  23393.7 ms  ✓ Distributions
   2222.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2298.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  23935.3 ms  ✓ NearestNeighbors
   2594.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2300.5 ms  ✓ StrideArraysCore
   1552.7 ms  ✓ Neighborhood
   2505.0 ms  ✓ Distributions → DistributionsTestExt
   1278.8 ms  ✓ Polyester
   4839.5 ms  ✓ LineSearches
   2763.5 ms  ✓ Clustering
   1041.7 ms  ✓ FastBroadcast
    901.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2769.8 ms  ✓ StateSpaceSets
   3071.2 ms  ✓ Optim
   7247.5 ms  ✓ BlackBoxOptim
   2690.9 ms  ✓ DelayEmbeddings
  62255.0 ms  ✓ Polynomials
    759.9 ms  ✓ Polynomials → PolynomialsFFTWExt
   2294.1 ms  ✓ DSP
  13831.1 ms  ✓ SciMLBase
    903.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1248.8 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1921.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2727.5 ms  ✓ Wavelets
   3161.3 ms  ✓ SciMLJacobianOperators
   3038.0 ms  ✓ ComplexityMeasures
   6005.9 ms  ✓ NonlinearSolveBase
   1103.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1153.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3014.7 ms  ✓ BracketingNonlinearSolve
    938.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2241.8 ms  ✓ DiffEqBase
   1089.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1127.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3457.5 ms  ✓ OrdinaryDiffEqCore
   1172.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4624.6 ms  ✓ OrdinaryDiffEqTsit5
   2682.8 ms  ✓ DynamicalSystemsBase
   3497.8 ms  ✓ Attractors
  210 dependencies successfully precompiled in 142 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 626.20
	System time (seconds): 51.48
	Percent of CPU this job got: 331%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:24.49
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2184260
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 858
	Minor (reclaiming a frame) page faults: 12595655
	Voluntary context switches: 34491
	Involuntary context switches: 70988
	Swaps: 0
	File system inputs: 4896
	File system outputs: 1071320
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
