nice: cannot set niceness: Permission denied
Precompiling packages...
   1608.0 ms  ✓ CompilerSupportLibraries_jll
   1607.3 ms  ✓ MozillaCACerts_jll
   1633.2 ms  ✓ Unicode
   1715.7 ms  ✓ UUIDs
   1708.0 ms  ✓ Zlib_jll
   1723.8 ms  ✓ Logging
   1753.6 ms  ✓ OpenSSL_jll
   1748.5 ms  ✓ nghttp2_jll
   1821.9 ms  ✓ NetworkOptions
   1912.3 ms  ✓ Base64
    629.0 ms  ✓ p7zip_jll
    521.3 ms  ✓ LibSSH2_jll
    740.4 ms  ✓ Printf
    430.6 ms  ✓ LibGit2_jll
    428.4 ms  ✓ LibCURL_jll
   3155.5 ms  ✓ ArgTools
    859.4 ms  ✓ LibCURL
    755.4 ms  ✓ Tar
   3041.4 ms  ✓ Dates
   3106.3 ms  ✓ LibGit2
    446.1 ms  ✓ TOML
   2988.5 ms  ✓ Downloads
   9450.6 ms  ✓ StyledStrings
   1694.1 ms  ✓ JuliaSyntaxHighlighting
   3810.3 ms  ✓ Markdown
  46529.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2370.6 ms  ✓ IteratorInterfaceExtensions
   2382.4 ms  ✓ Future
   2465.8 ms  ✓ MuladdMacro
   2568.5 ms  ✓ ExprTools
   2571.8 ms  ✓ StatsAPI
   2774.6 ms  ✓ PositiveFactorizations
   2873.3 ms  ✓ ConcreteStructs
   3381.2 ms  ✓ AbstractFFTs
   3981.6 ms  ✓ ADTypes
   4064.7 ms  ✓ Serialization
   2611.6 ms  ✓ OpenLibm_jll
   2614.1 ms  ✓ CommonSolve
   2802.3 ms  ✓ InverseFunctions
   5249.7 ms  ✓ FillArrays
   5380.1 ms  ✓ InitialValues
   2896.8 ms  ✓ SuiteSparse_jll
   3207.7 ms  ✓ Statistics
   5780.4 ms  ✓ Combinatorics
   3305.5 ms  ✓ IterTools
   3290.2 ms  ✓ ManualMemory
   2799.3 ms  ✓ EnumX
   2599.4 ms  ✓ Reexport
   2609.8 ms  ✓ SIMDTypes
   2508.3 ms  ✓ CompositionsBase
   4594.6 ms  ✓ Requires
   2997.7 ms  ✓ Mmap
   3395.3 ms  ✓ DocStringExtensions
   3299.2 ms  ✓ AbstractTrees
   2590.9 ms  ✓ PtrArrays
   2678.7 ms  ✓ FastPower
   2795.9 ms  ✓ TaskLocalValues
   5497.0 ms  ✓ SpatialIndexing
