nice: cannot set niceness: Permission denied
Precompiling packages...
   1413.9 ms  ✓ Logging
   1618.9 ms  ✓ OpenSSL_jll
   1583.9 ms  ✓ Zlib_jll
   1689.8 ms  ✓ UUIDs
   1686.5 ms  ✓ nghttp2_jll
   1690.2 ms  ✓ MozillaCACerts_jll
   1700.8 ms  ✓ NetworkOptions
   1707.3 ms  ✓ Unicode
   1735.7 ms  ✓ CompilerSupportLibraries_jll
   1814.2 ms  ✓ Base64
    546.9 ms  ✓ LibSSH2_jll
    583.8 ms  ✓ p7zip_jll
    693.0 ms  ✓ Printf
    484.3 ms  ✓ LibCURL_jll
    493.1 ms  ✓ LibGit2_jll
   3247.6 ms  ✓ ArgTools
    781.1 ms  ✓ LibCURL
    700.2 ms  ✓ Tar
   2955.6 ms  ✓ Dates
   3128.5 ms  ✓ LibGit2
    444.3 ms  ✓ TOML
   3038.7 ms  ✓ Downloads
   9315.3 ms  ✓ StyledStrings
   1630.4 ms  ✓ JuliaSyntaxHighlighting
   3799.5 ms  ✓ Markdown
  46660.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2465.9 ms  ✓ ConcreteStructs
   2563.6 ms  ✓ IteratorInterfaceExtensions
   2573.4 ms  ✓ Future
   2667.1 ms  ✓ MuladdMacro
   2778.2 ms  ✓ StatsAPI
   2868.9 ms  ✓ ExprTools
   3264.4 ms  ✓ PositiveFactorizations
   3364.2 ms  ✓ AbstractFFTs
   4156.1 ms  ✓ ADTypes
   4356.4 ms  ✓ Serialization
   2607.5 ms  ✓ OpenLibm_jll
   2596.9 ms  ✓ CommonSolve
   2815.5 ms  ✓ InverseFunctions
   5658.0 ms  ✓ InitialValues
   5845.3 ms  ✓ FillArrays
   3480.8 ms  ✓ Statistics
   3212.8 ms  ✓ SuiteSparse_jll
   6271.6 ms  ✓ Combinatorics
   2903.1 ms  ✓ ManualMemory
   3788.5 ms  ✓ IterTools
   2807.5 ms  ✓ EnumX
   2698.2 ms  ✓ Reexport
   2600.0 ms  ✓ SIMDTypes
   2596.2 ms  ✓ CompositionsBase
   4588.5 ms  ✓ Requires
   2601.9 ms  ✓ PtrArrays
   3100.6 ms  ✓ Mmap
   3515.8 ms  ✓ AbstractTrees
   3715.5 ms  ✓ DocStringExtensions
   2601.6 ms  ✓ FastPower
  10544.2 ms  ✓ Bessels
   5707.4 ms  ✓ SpatialIndexing
   3111.8 ms  ✓ TaskLocalValues
   3386.0 ms  ✓ HashArrayMappedTries
   3008.7 ms  ✓ StableTasks
   2889.5 ms  ✓ IfElse
  12278.7 ms  ✓ FunctionWrappers
   2807.7 ms  ✓ CPUTime
   2979.8 ms  ✓ CommonWorldInvalidations
   4008.9 ms  ✓ EnzymeCore
   2881.1 ms  ✓ DataAPI
   2810.5 ms  ✓ FastClosures
   2894.8 ms  ✓ ChunkSplitters
   3107.3 ms  ✓ StaticArraysCore
   3294.1 ms  ✓ SciMLPublic
   3206.8 ms  ✓ LoggingExtras
