nice: cannot set niceness: Permission denied
Precompiling packages...
   1503.4 ms  ✓ OpenSSL_jll
   1473.5 ms  ✓ Logging
   1488.1 ms  ✓ Zlib_jll
   1578.4 ms  ✓ MozillaCACerts_jll
   1582.1 ms  ✓ UUIDs
   1687.8 ms  ✓ nghttp2_jll
   1691.8 ms  ✓ Unicode
   1765.2 ms  ✓ CompilerSupportLibraries_jll
   1769.2 ms  ✓ NetworkOptions
   1762.0 ms  ✓ Base64
    604.6 ms  ✓ LibSSH2_jll
    557.2 ms  ✓ p7zip_jll
    705.7 ms  ✓ Printf
    511.7 ms  ✓ LibGit2_jll
    514.8 ms  ✓ LibCURL_jll
   3109.2 ms  ✓ ArgTools
    774.5 ms  ✓ LibCURL
    631.2 ms  ✓ Tar
   2869.8 ms  ✓ Dates
   3045.9 ms  ✓ LibGit2
    452.7 ms  ✓ TOML
   3075.5 ms  ✓ Downloads
   9389.1 ms  ✓ StyledStrings
   1634.9 ms  ✓ JuliaSyntaxHighlighting
   3779.5 ms  ✓ Markdown
  47107.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2285.3 ms  ✓ IteratorInterfaceExtensions
   2381.6 ms  ✓ Future
   2473.9 ms  ✓ ConcreteStructs
   2576.4 ms  ✓ MuladdMacro
   2578.0 ms  ✓ StatsAPI
   2782.6 ms  ✓ PositiveFactorizations
   2870.5 ms  ✓ ExprTools
   3373.1 ms  ✓ AbstractFFTs
   4171.2 ms  ✓ ADTypes
   4262.2 ms  ✓ Serialization
   2700.5 ms  ✓ OpenLibm_jll
   2595.7 ms  ✓ CommonSolve
   2885.7 ms  ✓ InverseFunctions
   5271.4 ms  ✓ InitialValues
   5736.9 ms  ✓ FillArrays
   3397.9 ms  ✓ Statistics
   5884.3 ms  ✓ Combinatorics
   3202.5 ms  ✓ SuiteSparse_jll
   3487.0 ms  ✓ IterTools
   2791.1 ms  ✓ ManualMemory
   2392.5 ms  ✓ SIMDTypes
   2694.3 ms  ✓ EnumX
   2512.3 ms  ✓ Reexport
   2399.9 ms  ✓ PtrArrays
   2616.4 ms  ✓ CompositionsBase
   4496.3 ms  ✓ Requires
   3099.5 ms  ✓ AbstractTrees
   3001.3 ms  ✓ Mmap
   3418.5 ms  ✓ DocStringExtensions
   2304.2 ms  ✓ FastPower
  10059.4 ms  ✓ Bessels
   5004.9 ms  ✓ SpatialIndexing
   2892.0 ms  ✓ TaskLocalValues
   3589.7 ms  ✓ HashArrayMappedTries
   2509.0 ms  ✓ IfElse
   2908.7 ms  ✓ StableTasks
   2901.3 ms  ✓ CommonWorldInvalidations
   3083.1 ms  ✓ CPUTime
  12089.9 ms  ✓ FunctionWrappers
   3789.8 ms  ✓ EnzymeCore
   2694.1 ms  ✓ DataAPI
   2598.6 ms  ✓ FastClosures
   2697.7 ms  ✓ ChunkSplitters
   2911.4 ms  ✓ SciMLPublic
   2994.0 ms  ✓ StaticArraysCore
   3262.1 ms  ✓ LoggingExtras
  10494.7 ms  ✓ OrderedCollections
   3797.0 ms  ✓ Preferences
   4201.0 ms  ✓ CpuId
  16753.4 ms  ✓ ExproniconLite
   2429.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4998.9 ms  ✓ LazyArtifacts
   2602.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2911.0 ms  ✓ AliasTables
  11105.0 ms  ✓ ConstructionBase
   2614.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  14895.4 ms  ✓ IrrationalConstants
   2999.7 ms  ✓ Adapt
  10190.3 ms  ✓ Compat
   2682.3 ms  ✓ ScopedValues
   2496.8 ms  ✓ FunctionWrappersWrappers
   2597.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  20002.2 ms  ✓ MacroTools
   9507.6 ms  ✓ NaNMath
  10384.8 ms  ✓ RuntimeGeneratedFunctions
   2902.0 ms  ✓ DiffResults
  12102.5 ms  ✓ DifferentiationInterface
   2611.6 ms  ✓ PrecompileTools
  10815.3 ms  ✓ Distances
  14402.7 ms  ✓ InteractiveUtils
   3315.7 ms  ✓ JLLWrappers
   3287.2 ms  ✓ SciMLLogging
   2397.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2612.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2384.4 ms  ✓ EnzymeCore → AdaptExt
   3615.5 ms  ✓ LogExpFunctions
   2591.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3386.8 ms  ✓ GPUArraysCore
   2899.4 ms  ✓ CommonSubexpressions
  12109.7 ms  ✓ ThreadingUtilities
   3182.9 ms  ✓ TruncatedStacktraces
  10400.5 ms  ✓ Missings
   9109.7 ms  ✓ DataStructures
   3903.1 ms  ✓ Rmath_jll
  20202.9 ms  ✓ Distributed
  10404.4 ms  ✓ Jieko
  20676.5 ms  ✓ TimerOutputs
   4198.7 ms  ✓ FFTW_jll
   2395.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4602.1 ms  ✓ OpenSpecFun_jll
  11003.4 ms  ✓ ArrayInterface
   7398.4 ms  ✓ IntelOpenMP_jll
   2991.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
