nice: cannot set niceness: Permission denied
Precompiling packages...
   1983.9 ms  ✓ ConcreteStructs
   2003.6 ms  ✓ MuladdMacro
   2000.5 ms  ✓ IteratorInterfaceExtensions
   2004.6 ms  ✓ LazyArtifacts
   2013.8 ms  ✓ StatsAPI
   2107.5 ms  ✓ ExprTools
   2204.3 ms  ✓ PositiveFactorizations
   2882.2 ms  ✓ AbstractFFTs
   3209.9 ms  ✓ ADTypes
   3524.1 ms  ✓ FunctionWrappers
   1794.0 ms  ✓ CommonSolve
   1797.8 ms  ✓ OpenLibm_jll
   4065.0 ms  ✓ Combinatorics
   3991.6 ms  ✓ InitialValues
   2098.1 ms  ✓ CompilerSupportLibraries_jll
   2404.9 ms  ✓ InverseFunctions
   2311.1 ms  ✓ SuiteSparse_jll
   4587.1 ms  ✓ FillArrays
   2697.9 ms  ✓ IterTools
   2184.5 ms  ✓ ManualMemory
   1876.4 ms  ✓ EnumX
   1875.0 ms  ✓ Reexport
   1788.7 ms  ✓ SIMDTypes
   2492.3 ms  ✓ Requires
   2705.7 ms  ✓ Compat
   2996.3 ms  ✓ OrderedCollections
   3302.7 ms  ✓ Preferences
   2908.2 ms  ✓ DocStringExtensions
   2804.4 ms  ✓ AbstractTrees
   1820.9 ms  ✓ PtrArrays
   2227.7 ms  ✓ CompositionsBase
   8096.1 ms  ✓ Bessels
   8197.8 ms  ✓ ExproniconLite
   4112.2 ms  ✓ SpatialIndexing
   1817.4 ms  ✓ TaskLocalValues
   2202.5 ms  ✓ FastPower
   2307.1 ms  ✓ HashArrayMappedTries
   2727.9 ms  ✓ StableTasks
   2088.5 ms  ✓ IfElse
   2914.0 ms  ✓ CpuId
   1897.8 ms  ✓ CommonWorldInvalidations
   8302.3 ms  ✓ Distributed
   2367.2 ms  ✓ CPUTime
   2365.2 ms  ✓ DataAPI
   2335.0 ms  ✓ FastClosures
   3187.9 ms  ✓ EnzymeCore
   2610.6 ms  ✓ ConstructionBase
   2459.9 ms  ✓ ChunkSplitters
   5705.7 ms  ✓ IrrationalConstants
   2774.0 ms  ✓ LoggingExtras
   2688.8 ms  ✓ SciMLPublic
   2504.0 ms  ✓ StaticArraysCore
   2581.5 ms  ✓ RuntimeGeneratedFunctions
   2626.4 ms  ✓ NaNMath
   2617.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
