nice: cannot set niceness: Permission denied
Precompiling packages...
   1286.9 ms  ✓ CPUTime
   1421.9 ms  ✓ Reexport
   1768.4 ms  ✓ ConstructionBase
   1167.3 ms  ✓ IterTools
   1429.1 ms  ✓ StatsAPI
    849.9 ms  ✓ CommonSolve
   3730.8 ms  ✓ IrrationalConstants
   1119.3 ms  ✓ StableTasks
   2622.0 ms  ✓ Combinatorics
    990.9 ms  ✓ StaticArraysCore
   1480.4 ms  ✓ Statistics
   1820.0 ms  ✓ SuiteSparse_jll
    874.4 ms  ✓ IfElse
   1543.2 ms  ✓ ChunkSplitters
   1534.6 ms  ✓ EnzymeCore
    986.5 ms  ✓ PtrArrays
   1160.5 ms  ✓ TaskLocalValues
   1426.0 ms  ✓ ManualMemory
   1957.5 ms  ✓ Mmap
   1170.3 ms  ✓ PositiveFactorizations
   1107.1 ms  ✓ DataAPI
    837.9 ms  ✓ CommonWorldInvalidations
   1295.7 ms  ✓ Future
    902.4 ms  ✓ FastPower
   2655.4 ms  ✓ SciMLPublic
   1056.8 ms  ✓ InverseFunctions
   1168.7 ms  ✓ CompositionsBase
   1037.9 ms  ✓ MuladdMacro
   1494.9 ms  ✓ AbstractTrees
   5036.7 ms  ✓ ExproniconLite
   1314.1 ms  ✓ AbstractFFTs
   1240.1 ms  ✓ EnumX
   2940.3 ms  ✓ InitialValues
   1262.5 ms  ✓ ExprTools
   1756.8 ms  ✓ OpenLibm_jll
   2130.2 ms  ✓ FillArrays
   1447.6 ms  ✓ ConcreteStructs
   2871.3 ms  ✓ SpatialIndexing
   1338.5 ms  ✓ OrderedCollections
  16656.3 ms  ✓ MacroTools
    991.3 ms  ✓ HashArrayMappedTries
   1290.8 ms  ✓ Serialization
   3765.6 ms  ✓ Bessels
   1630.8 ms  ✓ ADTypes
   1281.4 ms  ✓ DocStringExtensions
    838.3 ms  ✓ FastClosures
    796.1 ms  ✓ SIMDTypes
    971.8 ms  ✓ IteratorInterfaceExtensions
   1286.4 ms  ✓ CpuId
    975.9 ms  ✓ LoggingExtras
   1735.5 ms  ✓ Requires
   1553.4 ms  ✓ Compat
   3057.0 ms  ✓ InteractiveUtils
   1956.3 ms  ✓ LazyArtifacts
    956.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6967.3 ms  ✓ FunctionWrappers
   1076.1 ms  ✓ DiffResults
    993.8 ms  ✓ AliasTables
   1351.7 ms  ✓ Distances
   1191.8 ms  ✓ Missings
