nice: cannot set niceness: Permission denied
Precompiling packages...
   1936.5 ms  ✓ ExprTools
   1958.4 ms  ✓ MuladdMacro
   2044.1 ms  ✓ PositiveFactorizations
   2141.7 ms  ✓ ConcreteStructs
   2255.3 ms  ✓ StatsAPI
   2327.7 ms  ✓ IteratorInterfaceExtensions
   2445.7 ms  ✓ AbstractFFTs
   2456.3 ms  ✓ LazyArtifacts
   3235.7 ms  ✓ Combinatorics
   3301.5 ms  ✓ ADTypes
   3428.2 ms  ✓ InitialValues
   1885.4 ms  ✓ OpenLibm_jll
   4053.4 ms  ✓ FunctionWrappers
   1910.8 ms  ✓ SuiteSparse_jll
   4491.0 ms  ✓ FillArrays
   2597.7 ms  ✓ CommonSolve
   2412.4 ms  ✓ IterTools
   2875.8 ms  ✓ InverseFunctions
   2702.8 ms  ✓ CompilerSupportLibraries_jll
   2413.4 ms  ✓ ManualMemory
   1920.7 ms  ✓ Requires
   1989.3 ms  ✓ EnumX
   1819.0 ms  ✓ SIMDTypes
   3618.8 ms  ✓ Preferences
   2414.0 ms  ✓ Reexport
   7183.4 ms  ✓ ExproniconLite
   3783.9 ms  ✓ Compat
   3691.3 ms  ✓ OrderedCollections
   3112.0 ms  ✓ AbstractTrees
   7948.5 ms  ✓ Bessels
   3422.9 ms  ✓ DocStringExtensions
   2014.5 ms  ✓ PtrArrays
   1866.3 ms  ✓ FastPower
   1527.7 ms  ✓ HashArrayMappedTries
   3977.2 ms  ✓ SpatialIndexing
   2676.9 ms  ✓ CompositionsBase
   2121.5 ms  ✓ StableTasks
   2501.6 ms  ✓ TaskLocalValues
   1703.0 ms  ✓ IfElse
   1992.2 ms  ✓ ConstructionBase
   1885.0 ms  ✓ CPUTime
   2121.0 ms  ✓ DataAPI
   2418.0 ms  ✓ ChunkSplitters
   2501.9 ms  ✓ FastClosures
   2970.9 ms  ✓ CommonWorldInvalidations
   9395.8 ms  ✓ MacroTools
   9674.7 ms  ✓ Distributed
   2586.2 ms  ✓ SciMLPublic
   2502.0 ms  ✓ RuntimeGeneratedFunctions
   5020.4 ms  ✓ CpuId
   4706.3 ms  ✓ EnzymeCore
   2886.7 ms  ✓ StaticArraysCore
   2085.2 ms  ✓ NaNMath
   7389.2 ms  ✓ IrrationalConstants
   4314.4 ms  ✓ LoggingExtras
  13124.5 ms  ✓ Test
   2226.1 ms  ✓ FunctionWrappersWrappers
   2032.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1802.3 ms  ✓ Adapt
   1893.4 ms  ✓ JLLWrappers
   1716.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2468.9 ms  ✓ PrecompileTools
   2022.8 ms  ✓ AliasTables
   4703.0 ms  ✓ DifferentiationInterface
   1989.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2301.2 ms  ✓ ScopedValues
   2082.3 ms  ✓ CommonSubexpressions
   2296.6 ms  ✓ TruncatedStacktraces
   2518.2 ms  ✓ Missings
   1786.2 ms  ✓ DiffResults
   2104.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4172.3 ms  ✓ ThreadingUtilities
   2303.4 ms  ✓ LogExpFunctions
   2707.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2588.9 ms  ✓ ArrayInterface
   3384.1 ms  ✓ SciMLLogging
   4405.5 ms  ✓ ProgressMeter
   3393.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2992.5 ms  ✓ GPUArraysCore
   3081.4 ms  ✓ EnzymeCore → AdaptExt
   2899.1 ms  ✓ IntelOpenMP_jll
   8807.7 ms  ✓ TimerOutputs
   6420.4 ms  ✓ DataStructures
   3199.5 ms  ✓ oneTBB_jll
   7000.5 ms  ✓ Jieko
   3908.9 ms  ✓ Rmath_jll
   2999.0 ms  ✓ FFTW_jll
   2277.8 ms  ✓ OpenSpecFun_jll
   2096.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2465.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2529.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6690.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2428.9 ms  ✓ SciMLStructures
   2399.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   4298.3 ms  ✓ Static
   3914.0 ms  ✓ Setfield
   2413.6 ms  ✓ SortingAlgorithms
   2887.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4340.0 ms  ✓ MaybeInplace
   2074.4 ms  ✓ MKL_jll
   6683.6 ms  ✓ RecipesBase
   5595.0 ms  ✓ PreallocationTools
   2198.2 ms  ✓ BitTwiddlingConvenienceFunctions
  14380.0 ms  ✓ SparseArrays
   3990.2 ms  ✓ Rmath
   2734.9 ms  ✓ FiniteDiff
   4719.9 ms  ✓ QuadGK
   3483.4 ms  ✓ CPUSummary
   1873.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2837.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2901.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   8714.0 ms  ✓ Accessors
   3212.9 ms  ✓ SuiteSparse
   5667.6 ms  ✓ StaticArrayInterface
   3216.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2803.5 ms  ✓ PolyesterWeave
