nice: cannot set niceness: Permission denied
Precompiling packages...
   1596.7 ms  ✓ Unicode
   1692.6 ms  ✓ MozillaCACerts_jll
   1696.0 ms  ✓ Logging
   1697.2 ms  ✓ UUIDs
   1768.0 ms  ✓ nghttp2_jll
   1803.6 ms  ✓ OpenSSL_jll
   1800.9 ms  ✓ Zlib_jll
   1814.0 ms  ✓ CompilerSupportLibraries_jll
   1856.5 ms  ✓ Base64
   1946.3 ms  ✓ NetworkOptions
    524.2 ms  ✓ LibSSH2_jll
    792.9 ms  ✓ Printf
    600.0 ms  ✓ p7zip_jll
    463.4 ms  ✓ LibGit2_jll
    461.5 ms  ✓ LibCURL_jll
   3362.1 ms  ✓ ArgTools
    781.5 ms  ✓ LibCURL
    643.4 ms  ✓ Tar
   3013.8 ms  ✓ Dates
   3030.8 ms  ✓ LibGit2
    456.7 ms  ✓ TOML
   3062.7 ms  ✓ Downloads
   9591.3 ms  ✓ StyledStrings
   1694.2 ms  ✓ JuliaSyntaxHighlighting
   3924.9 ms  ✓ Markdown
  47479.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2368.4 ms  ✓ IteratorInterfaceExtensions
   2464.8 ms  ✓ ConcreteStructs
   2466.2 ms  ✓ MuladdMacro
   2552.3 ms  ✓ Future
   2557.6 ms  ✓ ExprTools
   2577.8 ms  ✓ StatsAPI
   2957.6 ms  ✓ PositiveFactorizations
   3176.8 ms  ✓ AbstractFFTs
   4033.9 ms  ✓ Serialization
   4473.6 ms  ✓ ADTypes
   2498.6 ms  ✓ OpenLibm_jll
   2407.9 ms  ✓ CommonSolve
   2711.8 ms  ✓ InverseFunctions
   5258.2 ms  ✓ InitialValues
   5251.5 ms  ✓ FillArrays
   5468.3 ms  ✓ Combinatorics
   2987.8 ms  ✓ SuiteSparse_jll
   3377.8 ms  ✓ IterTools
   2792.3 ms  ✓ ManualMemory
   3574.8 ms  ✓ Statistics
   2694.8 ms  ✓ EnumX
   2465.2 ms  ✓ Reexport
   2405.1 ms  ✓ SIMDTypes
   2491.7 ms  ✓ CompositionsBase
   2628.3 ms  ✓ Mmap
   3401.1 ms  ✓ DocStringExtensions
   2803.9 ms  ✓ PtrArrays
   3399.3 ms  ✓ AbstractTrees
   4617.9 ms  ✓ Requires
   4973.5 ms  ✓ SpatialIndexing
   2915.0 ms  ✓ FastPower
   2839.9 ms  ✓ HashArrayMappedTries
   2895.3 ms  ✓ TaskLocalValues
  11022.5 ms  ✓ Bessels
   2501.5 ms  ✓ IfElse
  11283.7 ms  ✓ FunctionWrappers
   2898.9 ms  ✓ StableTasks
   2613.8 ms  ✓ DataAPI
   3000.8 ms  ✓ AliasTables
   4194.8 ms  ✓ EnzymeCore
   2604.9 ms  ✓ FastClosures
   2704.5 ms  ✓ ChunkSplitters
   2785.3 ms  ✓ StaticArraysCore
   3183.3 ms  ✓ SciMLPublic
   3078.5 ms  ✓ LoggingExtras
  10383.7 ms  ✓ OrderedCollections
   3709.6 ms  ✓ Preferences
   4196.2 ms  ✓ CpuId
  15760.8 ms  ✓ ExproniconLite
   2515.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5400.5 ms  ✓ LazyArtifacts
   2787.8 ms  ✓ FillArrays → FillArraysStatisticsExt
  10109.4 ms  ✓ ConstructionBase
   2310.0 ms  ✓ CommonWorldInvalidations
   3598.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  14811.4 ms  ✓ IrrationalConstants
  18300.8 ms  ✓ MacroTools
   9908.8 ms  ✓ Compat
   2709.1 ms  ✓ ScopedValues
   3509.0 ms  ✓ Adapt
   9288.8 ms  ✓ RuntimeGeneratedFunctions
   2787.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2701.4 ms  ✓ DiffResults
  10107.2 ms  ✓ NaNMath
   2524.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3180.5 ms  ✓ JLLWrappers
  13780.2 ms  ✓ InteractiveUtils
  11614.9 ms  ✓ DifferentiationInterface
   2219.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2379.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3395.4 ms  ✓ SciMLLogging
  11165.8 ms  ✓ Distances
   3391.0 ms  ✓ LogExpFunctions
