nice: cannot set niceness: Permission denied
Precompiling packages...
   1761.9 ms  ✓ MozillaCACerts_jll
   1846.7 ms  ✓ Logging
   1879.4 ms  ✓ Zlib_jll
   1892.2 ms  ✓ Unicode
   1898.6 ms  ✓ nghttp2_jll
   1955.0 ms  ✓ CompilerSupportLibraries_jll
   2016.4 ms  ✓ OpenSSL_jll
   1994.2 ms  ✓ UUIDs
   2080.2 ms  ✓ NetworkOptions
   2181.5 ms  ✓ Base64
    869.2 ms  ✓ p7zip_jll
    863.7 ms  ✓ LibSSH2_jll
   1073.1 ms  ✓ Printf
    775.1 ms  ✓ LibCURL_jll
    978.2 ms  ✓ LibGit2_jll
   4502.3 ms  ✓ ArgTools
   1093.8 ms  ✓ LibCURL
    962.3 ms  ✓ Tar
   4646.2 ms  ✓ Dates
   4081.0 ms  ✓ LibGit2
    585.7 ms  ✓ TOML
   4360.7 ms  ✓ Downloads
  14285.3 ms  ✓ StyledStrings
   3652.9 ms  ✓ JuliaSyntaxHighlighting
   7431.6 ms  ✓ Markdown
  68306.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 94 seconds
Precompiling packages...
   1803.7 ms  ✓ IteratorInterfaceExtensions
   2007.4 ms  ✓ MuladdMacro
   2769.1 ms  ✓ ConcreteStructs
   2888.7 ms  ✓ Future
   2916.6 ms  ✓ StatsAPI
   3142.7 ms  ✓ ExprTools
   3254.7 ms  ✓ PositiveFactorizations
   3647.1 ms  ✓ Serialization
   3784.3 ms  ✓ AbstractFFTs
   2009.7 ms  ✓ OpenLibm_jll
   4819.1 ms  ✓ ADTypes
   5486.1 ms  ✓ Combinatorics
   5685.0 ms  ✓ FillArrays
   3774.3 ms  ✓ InverseFunctions
   2931.3 ms  ✓ CommonSolve
   2117.4 ms  ✓ SafeTestsets
   5905.1 ms  ✓ InitialValues
   3090.0 ms  ✓ SuiteSparse_jll
   2559.5 ms  ✓ ManualMemory
   3876.4 ms  ✓ Statistics
   3901.2 ms  ✓ IterTools
   2164.4 ms  ✓ SIMDTypes
   2337.8 ms  ✓ Reexport
   3268.8 ms  ✓ EnumX
   2819.7 ms  ✓ Mmap
   2714.3 ms  ✓ CompositionsBase
   3457.8 ms  ✓ AbstractTrees
   3774.6 ms  ✓ DocStringExtensions
   2801.2 ms  ✓ PtrArrays
   4878.5 ms  ✓ Requires
   2268.0 ms  ✓ FastPower
   5068.9 ms  ✓ SpatialIndexing
   3503.9 ms  ✓ HashArrayMappedTries
   2652.2 ms  ✓ TaskLocalValues
   1987.4 ms  ✓ CommonWorldInvalidations
  11647.3 ms  ✓ Bessels
   2401.4 ms  ✓ IfElse
   3239.0 ms  ✓ VectorInterface
  12656.1 ms  ✓ FunctionWrappers
   3494.8 ms  ✓ StableTasks
   2527.9 ms  ✓ PackageExtensionCompat
   3249.8 ms  ✓ DataAPI
   4224.9 ms  ✓ EnzymeCore
   2542.7 ms  ✓ ChunkSplitters
   2592.7 ms  ✓ FastClosures
   2736.0 ms  ✓ SciMLPublic
   2810.7 ms  ✓ StaticArraysCore
  11314.9 ms  ✓ OrderedCollections
   3477.8 ms  ✓ LoggingExtras
   4002.0 ms  ✓ Preferences
  16710.6 ms  ✓ ExproniconLite
   5336.6 ms  ✓ CpuId
   2909.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5994.6 ms  ✓ LazyArtifacts
   2107.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2787.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11414.6 ms  ✓ ConstructionBase
   2495.8 ms  ✓ AliasTables
   2669.5 ms  ✓ Adapt
   2407.7 ms  ✓ ScopedValues
  21299.8 ms  ✓ MacroTools
  19241.2 ms  ✓ IrrationalConstants
   2775.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2427.8 ms  ✓ DiffResults
  12963.4 ms  ✓ Compat
  12616.9 ms  ✓ RuntimeGeneratedFunctions
  12550.6 ms  ✓ NaNMath
   2658.2 ms  ✓ PrecompileTools
  11629.0 ms  ✓ ThreadingUtilities
   3160.3 ms  ✓ JLLWrappers
   3009.1 ms  ✓ SciMLLogging
   2026.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2209.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  15158.6 ms  ✓ DifferentiationInterface
  13194.4 ms  ✓ Distances
  17553.0 ms  ✓ InteractiveUtils
   3226.7 ms  ✓ EnzymeCore → AdaptExt
  11182.7 ms  ✓ KrylovKit
   4161.6 ms  ✓ GPUArraysCore
   3855.7 ms  ✓ CommonSubexpressions
   3689.0 ms  ✓ Compat → CompatLinearAlgebraExt
   3998.6 ms  ✓ LogExpFunctions
   9031.7 ms  ✓ DataStructures
  11768.8 ms  ✓ Missings
  20375.4 ms  ✓ TimerOutputs
  21164.5 ms  ✓ Distributed
   4997.9 ms  ✓ Rmath_jll
   3430.8 ms  ✓ TruncatedStacktraces
   4908.8 ms  ✓ OpenSpecFun_jll
   2341.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   5237.0 ms  ✓ FFTW_jll
