nice: cannot set niceness: Permission denied
Precompiling packages...
   1983.5 ms  ✓ OpenLibm_jll
   2029.3 ms  ✓ ConcreteStructs
   2090.5 ms  ✓ IteratorInterfaceExtensions
   2087.8 ms  ✓ LazyArtifacts
   2103.5 ms  ✓ StatsAPI
   2119.2 ms  ✓ ExprTools
   2324.9 ms  ✓ MuladdMacro
   2497.5 ms  ✓ PositiveFactorizations
   2823.1 ms  ✓ AbstractFFTs
   3518.5 ms  ✓ ADTypes
   4073.0 ms  ✓ Combinatorics
   3986.7 ms  ✓ InitialValues
   1999.4 ms  ✓ NaNMath
   4109.5 ms  ✓ FunctionWrappers
   2095.6 ms  ✓ CompilerSupportLibraries_jll
   1710.4 ms  ✓ SafeTestsets
   2291.2 ms  ✓ InverseFunctions
   2368.8 ms  ✓ SuiteSparse_jll
   4688.8 ms  ✓ FillArrays
   2806.7 ms  ✓ IterTools
   1732.3 ms  ✓ Reexport
   1930.9 ms  ✓ EnumX
   3467.1 ms  ✓ Preferences
   2867.6 ms  ✓ Compat
   2508.3 ms  ✓ Requires
   1873.3 ms  ✓ CompositionsBase
   2791.4 ms  ✓ OrderedCollections
   2690.0 ms  ✓ DocStringExtensions
   2307.6 ms  ✓ PtrArrays
   2991.0 ms  ✓ AbstractTrees
   7883.2 ms  ✓ Bessels
   3807.9 ms  ✓ SpatialIndexing
   2298.9 ms  ✓ FastPower
   2298.8 ms  ✓ TaskLocalValues
   2595.5 ms  ✓ HashArrayMappedTries
   2525.7 ms  ✓ StableTasks
   2700.7 ms  ✓ Inflate
   2773.7 ms  ✓ VectorInterface
   7232.4 ms  ✓ Distributed
   2081.1 ms  ✓ DataAPI
   2516.0 ms  ✓ ConstructionBase
   5116.4 ms  ✓ IrrationalConstants
   2464.1 ms  ✓ Adapt
   3284.9 ms  ✓ EnzymeCore
   2288.5 ms  ✓ FastClosures
   2374.1 ms  ✓ PackageExtensionCompat
   2172.6 ms  ✓ SciMLPublic
   2736.4 ms  ✓ LoggingExtras
   2218.1 ms  ✓ CommonSolve
