nice: cannot set niceness: Permission denied
Precompiling packages...
   1692.3 ms  ✓ NetworkOptions
   1721.3 ms  ✓ OpenSSL_jll
   1690.1 ms  ✓ Logging
   1686.9 ms  ✓ MozillaCACerts_jll
   1678.9 ms  ✓ Zlib_jll
   1691.5 ms  ✓ UUIDs
   1718.9 ms  ✓ nghttp2_jll
   1781.0 ms  ✓ Unicode
   1785.4 ms  ✓ CompilerSupportLibraries_jll
   1821.2 ms  ✓ Base64
    501.3 ms  ✓ LibSSH2_jll
    516.9 ms  ✓ p7zip_jll
    650.4 ms  ✓ Printf
    470.1 ms  ✓ LibCURL_jll
    488.8 ms  ✓ LibGit2_jll
   3336.7 ms  ✓ ArgTools
    768.7 ms  ✓ LibCURL
    643.3 ms  ✓ Tar
   2929.6 ms  ✓ Dates
    457.8 ms  ✓ TOML
   3171.7 ms  ✓ LibGit2
   3027.9 ms  ✓ Downloads
   9575.5 ms  ✓ StyledStrings
   1659.9 ms  ✓ JuliaSyntaxHighlighting
   3947.8 ms  ✓ Markdown
  47573.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2489.9 ms  ✓ IteratorInterfaceExtensions
   2491.4 ms  ✓ Future
   2508.3 ms  ✓ MuladdMacro
   2507.2 ms  ✓ ConcreteStructs
   2782.3 ms  ✓ StatsAPI
   2864.4 ms  ✓ ExprTools
   3102.0 ms  ✓ PositiveFactorizations
   3278.2 ms  ✓ OpenLibm_jll
   3394.1 ms  ✓ AbstractFFTs
   4077.8 ms  ✓ ADTypes
   4182.9 ms  ✓ Serialization
   2494.1 ms  ✓ CommonSolve
   5185.4 ms  ✓ FillArrays
   2910.2 ms  ✓ InverseFunctions
   2485.7 ms  ✓ SafeTestsets
   2910.3 ms  ✓ SuiteSparse_jll
   5771.3 ms  ✓ InitialValues
   5872.5 ms  ✓ Combinatorics
   3496.3 ms  ✓ Statistics
   3499.4 ms  ✓ IterTools
   2807.7 ms  ✓ EnumX
   2564.8 ms  ✓ Reexport
   4494.1 ms  ✓ Requires
   2620.1 ms  ✓ CompositionsBase
   2616.6 ms  ✓ PtrArrays
   2500.0 ms  ✓ FastPower
   2806.8 ms  ✓ Mmap
   3401.8 ms  ✓ DocStringExtensions
   2704.5 ms  ✓ HashArrayMappedTries
   3595.9 ms  ✓ AbstractTrees
   5102.0 ms  ✓ SpatialIndexing
   2805.0 ms  ✓ TaskLocalValues
  10162.3 ms  ✓ Bessels
   2828.5 ms  ✓ StableTasks
   2784.3 ms  ✓ Adapt
   2899.1 ms  ✓ Inflate
   3507.5 ms  ✓ VectorInterface
   2794.1 ms  ✓ PackageExtensionCompat
   2590.5 ms  ✓ FastClosures
   3100.0 ms  ✓ DataAPI
  11998.2 ms  ✓ FunctionWrappers
   2798.5 ms  ✓ ChunkSplitters
   3714.7 ms  ✓ EnzymeCore
   3388.8 ms  ✓ SciMLPublic
   2915.6 ms  ✓ StaticArraysCore
  10291.5 ms  ✓ OrderedCollections
   3405.4 ms  ✓ LoggingExtras
   3891.2 ms  ✓ Preferences
   2615.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2785.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   5619.5 ms  ✓ LazyArtifacts
   2711.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  10195.2 ms  ✓ ConstructionBase
   3293.1 ms  ✓ AliasTables
   3016.7 ms  ✓ ScopedValues
  15007.6 ms  ✓ IrrationalConstants
   9785.5 ms  ✓ Compat
   9488.1 ms  ✓ NaNMath
   9468.1 ms  ✓ RuntimeGeneratedFunctions
   4085.3 ms  ✓ GPUArraysCore
  19222.1 ms  ✓ MacroTools
   2595.9 ms  ✓ EnzymeCore → AdaptExt
   2515.5 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   3110.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2592.1 ms  ✓ DiffResults
  10705.7 ms  ✓ Distances
   2512.5 ms  ✓ PrecompileTools
   2999.8 ms  ✓ JLLWrappers
  13070.3 ms  ✓ DifferentiationInterface
  14092.5 ms  ✓ InteractiveUtils
   3688.2 ms  ✓ SciMLLogging
   2400.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2490.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2789.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3501.6 ms  ✓ LogExpFunctions
  10463.5 ms  ✓ ArrayInterface
   3098.5 ms  ✓ CommonSubexpressions
   9116.2 ms  ✓ KrylovKit
  17782.0 ms  ✓ Distributed
   8314.9 ms  ✓ DataStructures
  18416.2 ms  ✓ TimerOutputs
   3901.3 ms  ✓ FFTW_jll
   4907.5 ms  ✓ Rmath_jll
   3016.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  11405.2 ms  ✓ Missings
   3809.5 ms  ✓ OpenSpecFun_jll
   3933.2 ms  ✓ TruncatedStacktraces
   2586.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4800.1 ms  ✓ SimpleTraits
   7307.4 ms  ✓ IntelOpenMP_jll
   2791.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7178.5 ms  ✓ oneTBB_jll
   8416.3 ms  ✓ RecipesBase
   2697.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3695.6 ms  ✓ FastBroadcast
   3811.2 ms  ✓ MaybeInplace
   4213.6 ms  ✓ PoissonRandom
   2604.0 ms  ✓ SortingAlgorithms
