nice: cannot set niceness: Permission denied
Precompiling packages...
   1600.0 ms  ✓ Unicode
   1607.1 ms  ✓ nghttp2_jll
   1612.9 ms  ✓ UUIDs
   1613.3 ms  ✓ MozillaCACerts_jll
   1678.8 ms  ✓ Zlib_jll
   1694.9 ms  ✓ Logging
   1756.8 ms  ✓ OpenSSL_jll
   1724.3 ms  ✓ CompilerSupportLibraries_jll
   1798.4 ms  ✓ NetworkOptions
   1825.7 ms  ✓ Base64
    485.9 ms  ✓ LibSSH2_jll
    581.0 ms  ✓ p7zip_jll
    724.2 ms  ✓ Printf
    454.5 ms  ✓ LibCURL_jll
    456.3 ms  ✓ LibGit2_jll
   3300.0 ms  ✓ ArgTools
    765.6 ms  ✓ LibCURL
    651.5 ms  ✓ Tar
   2990.4 ms  ✓ Dates
   3050.9 ms  ✓ LibGit2
    450.2 ms  ✓ TOML
   3021.1 ms  ✓ Downloads
   9416.3 ms  ✓ StyledStrings
   1714.1 ms  ✓ JuliaSyntaxHighlighting
   3881.8 ms  ✓ Markdown
  47423.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2505.9 ms  ✓ IteratorInterfaceExtensions
   2596.0 ms  ✓ MuladdMacro
   2618.2 ms  ✓ ConcreteStructs
   2627.4 ms  ✓ StatsAPI
   2710.9 ms  ✓ Future
   2883.7 ms  ✓ OpenLibm_jll
   3019.0 ms  ✓ ExprTools
   3094.6 ms  ✓ PositiveFactorizations
   3309.6 ms  ✓ AbstractFFTs
   3877.5 ms  ✓ Serialization
   4111.3 ms  ✓ ADTypes
   2605.3 ms  ✓ InverseFunctions
   5099.6 ms  ✓ FillArrays
   2507.2 ms  ✓ CommonSolve
   5497.3 ms  ✓ Combinatorics
   5681.1 ms  ✓ InitialValues
   3223.6 ms  ✓ Statistics
   3110.7 ms  ✓ SuiteSparse_jll
   2614.6 ms  ✓ EnumX
   3437.1 ms  ✓ IterTools
   2774.5 ms  ✓ Reexport
   2575.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4834.4 ms  ✓ Requires
   2306.7 ms  ✓ PtrArrays
   2639.1 ms  ✓ Mmap
   2365.8 ms  ✓ FastPower
   2538.7 ms  ✓ CompositionsBase
   2872.2 ms  ✓ HashArrayMappedTries
   2707.4 ms  ✓ TaskLocalValues
   5233.3 ms  ✓ SpatialIndexing
   4311.2 ms  ✓ DocStringExtensions
   2923.9 ms  ✓ StableTasks
   2487.3 ms  ✓ DataAPI
  10806.4 ms  ✓ Bessels
   3219.1 ms  ✓ VectorInterface
   3266.9 ms  ✓ Inflate
   3033.0 ms  ✓ Adapt
   2673.0 ms  ✓ FastClosures
  11596.6 ms  ✓ FunctionWrappers
   2830.7 ms  ✓ PackageExtensionCompat
   3692.7 ms  ✓ EnzymeCore
   3493.4 ms  ✓ ChunkSplitters
   3496.0 ms  ✓ SciMLPublic
   3110.5 ms  ✓ StaticArraysCore
   3200.3 ms  ✓ LoggingExtras
  10898.9 ms  ✓ OrderedCollections
   3701.3 ms  ✓ Preferences
   2991.3 ms  ✓ AbstractTrees
   2404.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   5390.7 ms  ✓ LazyArtifacts
   3100.7 ms  ✓ AliasTables
   9988.3 ms  ✓ ConstructionBase
   2895.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3290.1 ms  ✓ ScopedValues
  14499.0 ms  ✓ IrrationalConstants
   9483.0 ms  ✓ NaNMath
   9822.0 ms  ✓ Compat
   9694.9 ms  ✓ RuntimeGeneratedFunctions
   3995.7 ms  ✓ GPUArraysCore
  19277.7 ms  ✓ MacroTools
   2668.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2706.5 ms  ✓ EnzymeCore → AdaptExt
   2738.7 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   2795.2 ms  ✓ DiffResults
  13368.0 ms  ✓ InteractiveUtils
  11679.6 ms  ✓ Distances
   2600.1 ms  ✓ PrecompileTools
   2499.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3093.5 ms  ✓ JLLWrappers
  12689.1 ms  ✓ DifferentiationInterface
   3399.6 ms  ✓ SciMLLogging
   2761.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9911.3 ms  ✓ Missings
   2633.9 ms  ✓ Compat → CompatLinearAlgebraExt
   8424.1 ms  ✓ KrylovKit
   3082.1 ms  ✓ CommonSubexpressions
   4109.9 ms  ✓ LogExpFunctions
   3228.3 ms  ✓ TruncatedStacktraces
  11101.8 ms  ✓ ArrayInterface
  17685.8 ms  ✓ Distributed
   4418.4 ms  ✓ SimpleTraits
  10104.6 ms  ✓ DataStructures
  20123.8 ms  ✓ TimerOutputs
   4895.8 ms  ✓ Rmath_jll
   3902.4 ms  ✓ FFTW_jll
   2907.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   4093.0 ms  ✓ OpenSpecFun_jll
   2918.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6419.9 ms  ✓ Setfield
   2300.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7195.6 ms  ✓ IntelOpenMP_jll
   2696.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   8926.2 ms  ✓ RecipesBase
   5103.7 ms  ✓ PoissonRandom
   3574.6 ms  ✓ MaybeInplace
   7727.5 ms  ✓ oneTBB_jll
   3881.8 ms  ✓ FastBroadcast
   2664.1 ms  ✓ SortingAlgorithms
   4604.1 ms  ✓ ProgressMeter
   2948.7 ms  ✓ FiniteDiff
   3313.4 ms  ✓ Rmath
   5892.9 ms  ✓ PreallocationTools
  24717.8 ms  ✓ SparseArrays
