nice: cannot set niceness: Permission denied
Precompiling packages...
    417.1 ms  ✓ Reexport
    444.7 ms  ✓ StatsAPI
    542.0 ms  ✓ ConstructionBase
    601.0 ms  ✓ IterTools
    499.9 ms  ✓ Inflate
   1355.9 ms  ✓ IrrationalConstants
   1030.0 ms  ✓ Combinatorics
    470.7 ms  ✓ CommonSolve
    569.6 ms  ✓ StableTasks
    585.8 ms  ✓ Statistics
    504.4 ms  ✓ StaticArraysCore
    503.8 ms  ✓ ChunkSplitters
    824.3 ms  ✓ SuiteSparse_jll
    459.3 ms  ✓ BinaryHeaps
    474.5 ms  ✓ PtrArrays
    743.0 ms  ✓ EnzymeCore
    521.7 ms  ✓ Mmap
    460.3 ms  ✓ TaskLocalValues
    494.1 ms  ✓ Adapt
    617.2 ms  ✓ VectorInterface
    542.9 ms  ✓ PositiveFactorizations
    484.7 ms  ✓ DataAPI
    424.7 ms  ✓ Future
    452.6 ms  ✓ SciMLPublic
    427.7 ms  ✓ FastPower
    524.5 ms  ✓ InverseFunctions
    443.8 ms  ✓ CompositionsBase
    589.8 ms  ✓ AbstractTrees
    606.2 ms  ✓ AbstractFFTs
    513.9 ms  ✓ EnumX
    755.6 ms  ✓ OpenLibm_jll
   1290.8 ms  ✓ InitialValues
    538.3 ms  ✓ ExprTools
   5509.6 ms  ✓ MacroTools
    460.1 ms  ✓ ConcreteStructs
   1267.6 ms  ✓ FillArrays
    970.3 ms  ✓ SpatialIndexing
    681.4 ms  ✓ OrderedCollections
    492.7 ms  ✓ HashArrayMappedTries
    712.9 ms  ✓ ADTypes
    708.3 ms  ✓ Serialization
    647.1 ms  ✓ DocStringExtensions
   1830.5 ms  ✓ Bessels
    542.2 ms  ✓ FastClosures
    461.5 ms  ✓ IteratorInterfaceExtensions
    486.9 ms  ✓ PackageExtensionCompat
    785.7 ms  ✓ Requires
    650.3 ms  ✓ LoggingExtras
    606.1 ms  ✓ Compat
    418.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1336.2 ms  ✓ InteractiveUtils
    999.7 ms  ✓ LazyArtifacts
    533.4 ms  ✓ DiffResults
   3646.1 ms  ✓ FunctionWrappers
    829.7 ms  ✓ Distances
    538.8 ms  ✓ AliasTables
    423.8 ms  ✓ EnzymeCore → AdaptExt
    619.7 ms  ✓ ArrayInterface
    593.8 ms  ✓ GPUArraysCore
   2241.3 ms  ✓ Preferences
    536.8 ms  ✓ Missings
    449.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    547.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    576.8 ms  ✓ NaNMath
    490.6 ms  ✓ FillArrays → FillArraysStatisticsExt
    550.7 ms  ✓ CommonSubexpressions
    472.0 ms  ✓ ScopedValues
    410.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    397.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1054.9 ms  ✓ DifferentiationInterface
   1765.6 ms  ✓ DataStructures
    469.1 ms  ✓ RuntimeGeneratedFunctions
    630.6 ms  ✓ LogExpFunctions
    496.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2747.8 ms  ✓ Distributed
   3879.7 ms  ✓ TimerOutputs
   2153.5 ms  ✓ KrylovKit
    774.8 ms  ✓ SimpleTraits
   1645.1 ms  ✓ Setfield
    642.4 ms  ✓ FastBroadcast
    445.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    538.4 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
    437.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    742.1 ms  ✓ MaybeInplace
   4613.9 ms  ✓ SparseArrays
    723.5 ms  ✓ PrecompileTools
    826.3 ms  ✓ JLLWrappers
    834.1 ms  ✓ SciMLLogging
    806.8 ms  ✓ TruncatedStacktraces
    421.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    578.9 ms  ✓ SortingAlgorithms
    420.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    955.7 ms  ✓ QuadGK
    811.7 ms  ✓ ProgressMeter
    692.7 ms  ✓ FiniteDiff
    665.4 ms  ✓ Statistics → SparseArraysExt
   2597.8 ms  ✓ Accessors
    652.6 ms  ✓ Adapt → AdaptSparseArraysExt
