nice: cannot set niceness: Permission denied
Precompiling packages...
   1689.2 ms  ✓ Zlib_jll
   1695.9 ms  ✓ nghttp2_jll
   1706.3 ms  ✓ MozillaCACerts_jll
   1712.1 ms  ✓ NetworkOptions
   1728.7 ms  ✓ Logging
   1735.5 ms  ✓ UUIDs
   1740.2 ms  ✓ CompilerSupportLibraries_jll
   1773.5 ms  ✓ OpenSSL_jll
   1803.6 ms  ✓ Unicode
   1911.6 ms  ✓ Base64
    471.3 ms  ✓ LibSSH2_jll
    593.7 ms  ✓ p7zip_jll
    649.6 ms  ✓ Printf
    468.7 ms  ✓ LibCURL_jll
    470.9 ms  ✓ LibGit2_jll
   3254.5 ms  ✓ ArgTools
    797.3 ms  ✓ LibCURL
    643.9 ms  ✓ Tar
   2987.3 ms  ✓ Dates
   3065.0 ms  ✓ LibGit2
    447.6 ms  ✓ TOML
   2992.4 ms  ✓ Downloads
   9439.8 ms  ✓ StyledStrings
   1681.5 ms  ✓ JuliaSyntaxHighlighting
   3919.6 ms  ✓ Markdown
  46910.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2345.8 ms  ✓ IteratorInterfaceExtensions
   2459.8 ms  ✓ ConcreteStructs
   2550.8 ms  ✓ Future
   2651.9 ms  ✓ StatsAPI
   2748.8 ms  ✓ ExprTools
   3234.6 ms  ✓ PositiveFactorizations
   3231.4 ms  ✓ OpenLibm_jll
   3434.9 ms  ✓ AbstractFFTs
   4006.3 ms  ✓ Serialization
   4034.3 ms  ✓ Gamma
   4043.5 ms  ✓ ADTypes
   2691.8 ms  ✓ CommonSolve
   5333.7 ms  ✓ InitialValues
   3000.0 ms  ✓ InverseFunctions
   5345.5 ms  ✓ FillArrays
   3193.8 ms  ✓ Statistics
   5747.9 ms  ✓ Combinatorics
   3010.0 ms  ✓ SuiteSparse_jll
   3581.2 ms  ✓ IterTools
   2722.9 ms  ✓ EnumX
   2701.0 ms  ✓ Reexport
   2882.8 ms  ✓ Mmap
   2596.3 ms  ✓ CompositionsBase
   2574.2 ms  ✓ FastPower
   2601.5 ms  ✓ PtrArrays
   4911.6 ms  ✓ Requires
   3171.5 ms  ✓ DocStringExtensions
   3497.7 ms  ✓ AbstractTrees
   2880.9 ms  ✓ HashArrayMappedTries
   5214.3 ms  ✓ SpatialIndexing
   2592.2 ms  ✓ TaskLocalValues
   3501.5 ms  ✓ StableTasks
  10636.6 ms  ✓ Bessels
   2891.3 ms  ✓ Inflate
   2898.3 ms  ✓ AliasTables
   2503.3 ms  ✓ PackageExtensionCompat
  11349.8 ms  ✓ FunctionWrappers
   3022.3 ms  ✓ DataAPI
   3210.1 ms  ✓ VectorInterface
   2700.4 ms  ✓ FastClosures
   2699.2 ms  ✓ ChunkSplitters
   3911.9 ms  ✓ EnzymeCore
   3004.7 ms  ✓ SciMLPublic
   2764.5 ms  ✓ BinaryHeaps
   3199.6 ms  ✓ StaticArraysCore
   3404.9 ms  ✓ LoggingExtras
  11295.0 ms  ✓ OrderedCollections
   3912.4 ms  ✓ Preferences
   2588.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5376.6 ms  ✓ LazyArtifacts
   2784.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   5314.7 ms  ✓ HypergeometricFunctions
   9874.2 ms  ✓ ConstructionBase
   2516.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2921.4 ms  ✓ Adapt
   2799.5 ms  ✓ ScopedValues
  14793.0 ms  ✓ IrrationalConstants
  10000.4 ms  ✓ Compat
   2987.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9925.6 ms  ✓ NaNMath
  10099.2 ms  ✓ RuntimeGeneratedFunctions
   2620.4 ms  ✓ DiffResults
  19305.4 ms  ✓ MacroTools
   3295.3 ms  ✓ JLLWrappers
   2393.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2898.9 ms  ✓ PrecompileTools
   2398.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3607.6 ms  ✓ SciMLLogging
  11835.4 ms  ✓ DifferentiationInterface
  14604.1 ms  ✓ InteractiveUtils
   3379.1 ms  ✓ GPUArraysCore
   2518.4 ms  ✓ EnzymeCore → AdaptExt
   7918.7 ms  ✓ KrylovKit
  12108.3 ms  ✓ Distances
   2708.8 ms  ✓ Compat → CompatLinearAlgebraExt
   9798.6 ms  ✓ Missings
   3712.0 ms  ✓ LogExpFunctions
   3199.3 ms  ✓ CommonSubexpressions
   3700.2 ms  ✓ Rmath_jll
   8982.8 ms  ✓ DataStructures
   3889.9 ms  ✓ OpenSpecFun_jll
   4200.7 ms  ✓ FFTW_jll
  19494.9 ms  ✓ Distributed
   6788.0 ms  ✓ IntelOpenMP_jll
   5284.9 ms  ✓ MuladdMacro
   3524.5 ms  ✓ TruncatedStacktraces
  10558.1 ms  ✓ ArrayInterface
   7096.3 ms  ✓ oneTBB_jll
   7204.8 ms  ✓ Setfield
  21901.2 ms  ✓ TimerOutputs
   2693.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2599.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4934.1 ms  ✓ SimpleTraits
   3330.5 ms  ✓ SortingAlgorithms
   4207.5 ms  ✓ Rmath
   4705.1 ms  ✓ PoissonRandom
   9198.6 ms  ✓ RecipesBase
   2364.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3102.9 ms  ✓ FastBroadcast
   4199.0 ms  ✓ MaybeInplace
   5094.8 ms  ✓ ProgressMeter
   2493.4 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   1911.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  11385.9 ms  ✓ FunctionWrappersWrappers
  25082.9 ms  ✓ SparseArrays
   3180.0 ms  ✓ FiniteDiff
   6405.8 ms  ✓ PreallocationTools
  10590.0 ms  ✓ QuadGK
   3208.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3278.6 ms  ✓ SuiteSparse
   3312.7 ms  ✓ Statistics → SparseArraysExt
   6235.7 ms  ✓ MKL_jll
   3502.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  17287.9 ms  ✓ Accessors
   3606.7 ms  ✓ Adapt → AdaptSparseArraysExt
