nice: cannot set niceness: Permission denied
Precompiling packages...
   1539.5 ms  ✓ MozillaCACerts_jll
   1635.5 ms  ✓ Logging
   1665.6 ms  ✓ OpenSSL_jll
   1659.5 ms  ✓ UUIDs
   1743.7 ms  ✓ Unicode
   1809.5 ms  ✓ Zlib_jll
   1818.2 ms  ✓ CompilerSupportLibraries_jll
   1816.7 ms  ✓ nghttp2_jll
   1827.2 ms  ✓ NetworkOptions
   1821.2 ms  ✓ Base64
    565.9 ms  ✓ LibSSH2_jll
    555.3 ms  ✓ p7zip_jll
    707.7 ms  ✓ Printf
    480.8 ms  ✓ LibCURL_jll
    513.6 ms  ✓ LibGit2_jll
   3247.0 ms  ✓ ArgTools
    779.9 ms  ✓ LibCURL
    630.4 ms  ✓ Tar
   3042.8 ms  ✓ Dates
   3145.3 ms  ✓ LibGit2
    469.3 ms  ✓ TOML
   3181.1 ms  ✓ Downloads
   9442.0 ms  ✓ StyledStrings
   1701.8 ms  ✓ JuliaSyntaxHighlighting
   3912.1 ms  ✓ Markdown
  47943.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2388.6 ms  ✓ IteratorInterfaceExtensions
   2396.7 ms  ✓ Future
   2507.1 ms  ✓ LaTeXStrings
   2679.9 ms  ✓ StatsAPI
   2791.3 ms  ✓ ExprTools
   2880.9 ms  ✓ OpenLibm_jll
   2904.0 ms  ✓ PositiveFactorizations
   3091.8 ms  ✓ AbstractFFTs
   3558.6 ms  ✓ InverseFunctions
   3887.9 ms  ✓ Gamma
   4088.5 ms  ✓ Serialization
   5195.8 ms  ✓ InitialValues
   2296.7 ms  ✓ Reexport
   2498.9 ms  ✓ DataValueInterfaces
   2994.1 ms  ✓ SuiteSparse_jll
   5571.3 ms  ✓ FillArrays
   3194.0 ms  ✓ Statistics
   6014.3 ms  ✓ Combinatorics
   3688.6 ms  ✓ IterTools
   3492.3 ms  ✓ DocStringExtensions
