nice: cannot set niceness: Permission denied
Precompiling packages...
   1629.8 ms  ✓ MozillaCACerts_jll
   1632.6 ms  ✓ UUIDs
   1717.2 ms  ✓ Logging
   1713.8 ms  ✓ Unicode
   1716.2 ms  ✓ Zlib_jll
   1726.3 ms  ✓ nghttp2_jll
   1728.9 ms  ✓ CompilerSupportLibraries_jll
   1762.7 ms  ✓ OpenSSL_jll
   1735.0 ms  ✓ NetworkOptions
   1928.4 ms  ✓ Base64
    521.4 ms  ✓ LibSSH2_jll
    585.4 ms  ✓ p7zip_jll
    698.7 ms  ✓ Printf
    456.4 ms  ✓ LibCURL_jll
    464.3 ms  ✓ LibGit2_jll
   3247.4 ms  ✓ ArgTools
    783.6 ms  ✓ LibCURL
    640.7 ms  ✓ Tar
   2950.8 ms  ✓ Dates
   3104.1 ms  ✓ LibGit2
    499.2 ms  ✓ TOML
   3033.4 ms  ✓ Downloads
   9497.9 ms  ✓ StyledStrings
   1671.0 ms  ✓ JuliaSyntaxHighlighting
   3918.0 ms  ✓ Markdown
  47801.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2495.4 ms  ✓ IteratorInterfaceExtensions
   2492.7 ms  ✓ Future
   2508.7 ms  ✓ LaTeXStrings
   2703.6 ms  ✓ ExprTools
   2774.0 ms  ✓ OpenLibm_jll
   2890.0 ms  ✓ PositiveFactorizations
   2908.4 ms  ✓ StatsAPI
   3202.5 ms  ✓ AbstractFFTs
   3181.8 ms  ✓ InverseFunctions
   3880.1 ms  ✓ Gamma
   3954.0 ms  ✓ Serialization
   2400.2 ms  ✓ TableTraits
   2419.7 ms  ✓ DataValueInterfaces
   2889.6 ms  ✓ SuiteSparse_jll
   5487.3 ms  ✓ FillArrays
   5575.3 ms  ✓ Combinatorics
   2398.4 ms  ✓ Reexport
   2699.7 ms  ✓ EnumX
   3114.1 ms  ✓ Statistics
   6162.6 ms  ✓ InitialValues
   3883.0 ms  ✓ DocStringExtensions
   3427.0 ms  ✓ AbstractTrees
   2997.7 ms  ✓ Mmap
   2416.1 ms  ✓ TaskLocalValues
   2610.1 ms  ✓ PtrArrays
   2805.4 ms  ✓ TestItems
   3001.8 ms  ✓ CompositionsBase
   2828.0 ms  ✓ HashArrayMappedTries
   3098.1 ms  ✓ StableTasks
   3507.2 ms  ✓ VectorInterface
   3134.9 ms  ✓ Inflate
   2577.3 ms  ✓ DataAPI
   2814.3 ms  ✓ Adapt
   2695.6 ms  ✓ PackageExtensionCompat
  10951.6 ms  ✓ Bessels
   3909.3 ms  ✓ EnzymeCore
   2704.9 ms  ✓ FastClosures
   2977.7 ms  ✓ StaticArraysCore
   3409.6 ms  ✓ ChunkSplitters
  11894.9 ms  ✓ FunctionWrappers
   3307.5 ms  ✓ LoggingExtras
   9793.3 ms  ✓ OrderedCollections
   2576.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3344.8 ms  ✓ IterTools
   3921.8 ms  ✓ Preferences
   2920.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   5187.7 ms  ✓ LazyArtifacts
   2909.7 ms  ✓ AliasTables
   2578.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9758.5 ms  ✓ ConstructionBase
   2787.5 ms  ✓ ScopedValues
   5721.0 ms  ✓ HypergeometricFunctions
  14132.5 ms  ✓ IrrationalConstants
   2632.9 ms  ✓ EnzymeCore → AdaptExt
   2689.2 ms  ✓ DiffResults
   3803.3 ms  ✓ GPUArraysCore
   9896.6 ms  ✓ Compat
   9700.8 ms  ✓ NaNMath
  13286.8 ms  ✓ Crayons
  19306.4 ms  ✓ MacroTools
   2303.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3108.4 ms  ✓ PrecompileTools
   3600.3 ms  ✓ JLLWrappers
  14288.6 ms  ✓ InteractiveUtils
   2495.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3677.3 ms  ✓ LogExpFunctions
  11901.0 ms  ✓ Distances
   3098.0 ms  ✓ CommonSubexpressions
   9402.8 ms  ✓ ArrayInterface
   8805.7 ms  ✓ KrylovKit
  10488.8 ms  ✓ Missings
   8879.3 ms  ✓ DataStructures
   3201.2 ms  ✓ CommonSolve
   4995.3 ms  ✓ MuladdMacro
   2998.0 ms  ✓ FastPower
   4812.1 ms  ✓ ADTypes
   6490.9 ms  ✓ Setfield
  17394.2 ms  ✓ Distributed
   3906.4 ms  ✓ SciMLPublic
  12298.1 ms  ✓ Tables
   3417.7 ms  ✓ Rmath_jll
   8585.3 ms  ✓ RecipesBase
   4406.2 ms  ✓ SciMLLogging
   6324.0 ms  ✓ BinaryHeaps
   3708.0 ms  ✓ FFTW_jll
   4603.5 ms  ✓ OpenSpecFun_jll
   3193.1 ms  ✓ TruncatedStacktraces
  12195.3 ms  ✓ ConcreteStructs
   3187.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6790.2 ms  ✓ IntelOpenMP_jll
   4585.9 ms  ✓ SimpleTraits
   4392.3 ms  ✓ PoissonRandom
  26009.0 ms  ✓ SparseArrays
   2310.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2985.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2801.2 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
  16677.8 ms  ✓ Accessors
   3602.9 ms  ✓ SortingAlgorithms
   2786.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
