nice: cannot set niceness: Permission denied
Precompiling packages...
   1615.7 ms  ✓ UUIDs
   1606.0 ms  ✓ Zlib_jll
   1617.2 ms  ✓ Logging
   1619.3 ms  ✓ MozillaCACerts_jll
   1720.0 ms  ✓ CompilerSupportLibraries_jll
   1725.1 ms  ✓ nghttp2_jll
   1771.0 ms  ✓ OpenSSL_jll
   1748.9 ms  ✓ Unicode
   1781.4 ms  ✓ Base64
   1830.2 ms  ✓ NetworkOptions
    480.1 ms  ✓ LibSSH2_jll
    577.3 ms  ✓ p7zip_jll
    676.9 ms  ✓ Printf
    457.1 ms  ✓ LibGit2_jll
    472.1 ms  ✓ LibCURL_jll
   3161.0 ms  ✓ ArgTools
    761.4 ms  ✓ LibCURL
    657.7 ms  ✓ Tar
   2923.9 ms  ✓ Dates
   3085.1 ms  ✓ LibGit2
    461.7 ms  ✓ TOML
   3063.5 ms  ✓ Downloads
   9524.2 ms  ✓ StyledStrings
   1739.5 ms  ✓ JuliaSyntaxHighlighting
   3997.7 ms  ✓ Markdown
  47896.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2327.4 ms  ✓ IteratorInterfaceExtensions
   2419.0 ms  ✓ LaTeXStrings
   2527.2 ms  ✓ Future
   2617.1 ms  ✓ StatsAPI
   2815.8 ms  ✓ PositiveFactorizations
   2930.0 ms  ✓ ExprTools
   3122.9 ms  ✓ InverseFunctions
   3268.7 ms  ✓ OpenLibm_jll
   3497.0 ms  ✓ AbstractFFTs
   3900.8 ms  ✓ Serialization
   4114.8 ms  ✓ Gamma
   2293.5 ms  ✓ DataValueInterfaces
   2862.6 ms  ✓ SuiteSparse_jll
   5403.3 ms  ✓ InitialValues
   5405.7 ms  ✓ FillArrays
   3382.7 ms  ✓ Statistics
   2428.4 ms  ✓ Reexport
   3397.7 ms  ✓ IterTools
   2676.7 ms  ✓ EnumX
   6335.8 ms  ✓ Combinatorics
   3616.4 ms  ✓ DocStringExtensions
   3314.0 ms  ✓ AbstractTrees
   2409.6 ms  ✓ TestItems
   2609.0 ms  ✓ PtrArrays
   2730.5 ms  ✓ CompositionsBase
   2978.1 ms  ✓ Mmap
   2603.9 ms  ✓ TaskLocalValues
   2705.2 ms  ✓ HashArrayMappedTries
   3203.9 ms  ✓ StableTasks
   3527.8 ms  ✓ VectorInterface
   3188.1 ms  ✓ Inflate
   2392.5 ms  ✓ PackageExtensionCompat
   2692.9 ms  ✓ DataAPI
   2502.0 ms  ✓ FastClosures
   3098.1 ms  ✓ Adapt
   2697.7 ms  ✓ ChunkSplitters
  11191.9 ms  ✓ Bessels
   4418.5 ms  ✓ EnzymeCore
  11701.9 ms  ✓ FunctionWrappers
   9785.4 ms  ✓ OrderedCollections
   3198.7 ms  ✓ LoggingExtras
   3617.1 ms  ✓ StaticArraysCore
   2296.9 ms  ✓ TableTraits
   2606.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3901.8 ms  ✓ Preferences
   2580.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2601.0 ms  ✓ AliasTables
   2401.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5518.1 ms  ✓ LazyArtifacts
   2396.8 ms  ✓ ScopedValues
   9785.9 ms  ✓ ConstructionBase
   5413.5 ms  ✓ HypergeometricFunctions
  14695.8 ms  ✓ IrrationalConstants
   2276.8 ms  ✓ EnzymeCore → AdaptExt
   3496.2 ms  ✓ GPUArraysCore
   9014.2 ms  ✓ NaNMath
   3703.3 ms  ✓ DiffResults
  10373.8 ms  ✓ Compat
  14124.1 ms  ✓ Crayons
   3301.9 ms  ✓ JLLWrappers
   2505.6 ms  ✓ PrecompileTools
   2304.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  20201.6 ms  ✓ MacroTools
   2627.1 ms  ✓ Compat → CompatLinearAlgebraExt
  11395.5 ms  ✓ Distances
  14504.5 ms  ✓ InteractiveUtils
   8612.5 ms  ✓ KrylovKit
   3911.6 ms  ✓ LogExpFunctions
   3421.2 ms  ✓ Rmath_jll
   9790.7 ms  ✓ ArrayInterface
  10304.4 ms  ✓ Missings
   4100.9 ms  ✓ FFTW_jll
   4075.3 ms  ✓ OpenSpecFun_jll
  10281.7 ms  ✓ DataStructures
   4676.7 ms  ✓ MuladdMacro
   2801.6 ms  ✓ CommonSolve
   6410.7 ms  ✓ oneTBB_jll
  17403.4 ms  ✓ Distributed
   4667.1 ms  ✓ ADTypes
   7311.0 ms  ✓ IntelOpenMP_jll
   3394.6 ms  ✓ SciMLPublic
   4091.4 ms  ✓ FastPower
  12775.7 ms  ✓ Tables
   3201.6 ms  ✓ CommonSubexpressions
   4395.8 ms  ✓ SciMLLogging
   3367.0 ms  ✓ TruncatedStacktraces
   6225.1 ms  ✓ BinaryHeaps
   9870.4 ms  ✓ RecipesBase
   2699.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6292.7 ms  ✓ Setfield
   4122.3 ms  ✓ SimpleTraits
  24422.8 ms  ✓ SparseArrays
   2397.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4705.1 ms  ✓ PoissonRandom
   4336.2 ms  ✓ Rmath
  13898.2 ms  ✓ ConcreteStructs
   3090.0 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   2803.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2998.9 ms  ✓ SortingAlgorithms
   2493.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   7224.1 ms  ✓ FastBroadcast
   8498.5 ms  ✓ MaybeInplace
   4782.2 ms  ✓ ProgressMeter
   2501.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4396.1 ms  ✓ SuiteSparse
  10090.7 ms  ✓ SciMLStructures
   5094.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
  19232.6 ms  ✓ Accessors
  20311.3 ms  ✓ RuntimeGeneratedFunctions
  22818.5 ms  ✓ StringManipulation
   7901.6 ms  ✓ MKL_jll
  22616.7 ms  ✓ FindFirstFunctions
  11885.4 ms  ✓ QuadGK
   8171.0 ms  ✓ PreallocationTools
   3438.1 ms  ✓ Statistics → SparseArraysExt
   3607.2 ms  ✓ Adapt → AdaptSparseArraysExt
  12477.7 ms  ✓ DifferentiationInterface
  13968.2 ms  ✓ SpecialFunctions
   3183.6 ms  ✓ Distances → DistancesSparseArraysExt
   3471.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3707.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3990.3 ms  ✓ FiniteDiff
   3177.6 ms  ✓ Accessors → LinearAlgebraExt
   2693.3 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2718.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  12589.7 ms  ✓ FunctionWrappersWrappers
   4613.4 ms  ✓ PDMats
   3620.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3914.4 ms  ✓ StochasticDiffEqLevyArea
   3330.7 ms  ✓ DiffRules
   2917.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3595.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  27978.8 ms  ✓ Test
   4796.8 ms  ✓ BangBang
   4812.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   3717.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3789.4 ms  ✓ Accessors → TestExt
   9103.1 ms  ✓ RespecializeParams
   2308.6 ms  ✓ BangBang → BangBangTablesExt
   7437.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10286.9 ms  ✓ NLSolversBase
  13670.2 ms  ✓ SymbolicIndexingInterface
  15296.2 ms  ✓ StatsFuns
  17605.3 ms  ✓ StatsBase
  44372.1 ms  ✓ StaticArrays
   9799.8 ms  ✓ OhMyThreads
   2303.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3207.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3572.7 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3969.7 ms  ✓ PDMats → StatsBaseExt
   3981.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3106.8 ms  ✓ Adapt → AdaptStaticArraysExt
   3871.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  21986.0 ms  ✓ Roots
   3899.0 ms  ✓ ResettableStacks
   3327.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3384.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3829.9 ms  ✓ Accessors → StaticArraysExt
   3984.1 ms  ✓ BangBang → BangBangStaticArraysExt
   3034.5 ms  ✓ OhMyThreads → ProgressMeterExt
  11208.9 ms  ✓ LineSearches
  22590.8 ms  ✓ ForwardDiff
  10332.4 ms  ✓ BijectiveHilbert
   3610.7 ms  ✓ OhMyThreads → MarkdownExt
  25317.0 ms  ✓ SciMLOperators
   3576.9 ms  ✓ Roots → RootsForwardDiffExt
   3711.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   3887.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  14730.8 ms  ✓ ArnoldiMethod
   4183.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   7702.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   8824.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  36934.7 ms  ✓ FFTW
  21101.9 ms  ✓ RecursiveArrayTools
   1616.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1696.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1920.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2108.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2716.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  14825.0 ms  ✓ Optim
  16620.5 ms  ✓ NearestNeighbors
  17112.3 ms  ✓ Distributions
   1554.1 ms  ✓ Neighborhood
   2758.8 ms  ✓ Clustering
   2279.4 ms  ✓ Distributions → DistributionsTestExt
   3001.5 ms  ✓ StateSpaceSets
  13633.3 ms  ✓ Graphs
   3048.1 ms  ✓ DelayEmbeddings
  12779.0 ms  ✓ BlackBoxOptim
  57200.6 ms  ✓ Polynomials
  15904.8 ms  ✓ SciMLBase
   1405.7 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   1491.4 ms  ✓ Polynomials → PolynomialsFFTWExt
   1220.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1607.2 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   1837.5 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2491.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3807.1 ms  ✓ DSP
   5575.4 ms  ✓ SciMLJacobianOperators
   7890.6 ms  ✓ Wavelets
  92373.7 ms  ✓ REPL
   9320.1 ms  ✓ LineSearch
    927.8 ms  ✓ LineSearch → LineSearchLineSearchesExt
   4925.1 ms  ✓ ComplexityMeasures
   4514.2 ms  ✓ Pkg → REPLExt
  17548.4 ms  ✓ PrettyTables
    660.3 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4211.4 ms  ✓ TimerOutputs
   5867.7 ms  ✓ NonlinearSolveBase
    948.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1149.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1590.8 ms  ✓ BracketingNonlinearSolve
   1046.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   4487.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   4516.0 ms  ✓ DiffEqBase
   1278.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4322.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   7431.7 ms  ✓ SimpleNonlinearSolve
   5950.9 ms  ✓ DiffEqCallbacks
   6124.4 ms  ✓ OrdinaryDiffEqCore
   5642.6 ms  ✓ DiffEqNoiseProcess
   1213.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1480.1 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   4285.4 ms  ✓ JumpProcesses
   1463.5 ms  ✓ JumpProcesses → JumpProcessesForwardDiffExt
   1474.9 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   3769.0 ms  ✓ StochasticDiffEqCore
  10722.4 ms  ✓ OrdinaryDiffEqTsit5
   2913.4 ms  ✓ StochasticDiffEqHighOrder
   3142.2 ms  ✓ DynamicalSystemsBase
   4691.4 ms  ✓ Attractors
  231 dependencies successfully precompiled in 182 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 149 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 771.52
	System time (seconds): 56.88
	Percent of CPU this job got: 336%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:06.42
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2232984
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 970
	Minor (reclaiming a frame) page faults: 14942844
	Voluntary context switches: 39479
	Involuntary context switches: 80598
	Swaps: 0
	File system inputs: 0
	File system outputs: 1432248
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
