nice: cannot set niceness: Permission denied
Precompiling packages...
   1522.1 ms  ✓ nghttp2_jll
   1529.4 ms  ✓ UUIDs
   1602.2 ms  ✓ Logging
   1740.7 ms  ✓ OpenSSL_jll
   1709.8 ms  ✓ MozillaCACerts_jll
   1710.8 ms  ✓ Unicode
   1708.5 ms  ✓ Zlib_jll
   1811.6 ms  ✓ NetworkOptions
   1829.2 ms  ✓ CompilerSupportLibraries_jll
   1849.8 ms  ✓ Base64
    513.1 ms  ✓ LibSSH2_jll
    585.8 ms  ✓ p7zip_jll
    714.8 ms  ✓ Printf
    490.0 ms  ✓ LibGit2_jll
    487.9 ms  ✓ LibCURL_jll
   3254.5 ms  ✓ ArgTools
    756.0 ms  ✓ LibCURL
    644.9 ms  ✓ Tar
   2953.1 ms  ✓ Dates
   3042.4 ms  ✓ LibGit2
    467.1 ms  ✓ TOML
   3057.8 ms  ✓ Downloads
   9547.5 ms  ✓ StyledStrings
   1685.2 ms  ✓ JuliaSyntaxHighlighting
   3862.8 ms  ✓ Markdown
  51054.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 66 seconds
Precompiling packages...
   2470.5 ms  ✓ IteratorInterfaceExtensions
   2561.2 ms  ✓ LaTeXStrings
   2575.4 ms  ✓ ExprTools
   2633.5 ms  ✓ StatsAPI
   2638.2 ms  ✓ PositiveFactorizations
   2640.0 ms  ✓ OpenLibm_jll
   2770.7 ms  ✓ Future
   3037.5 ms  ✓ InverseFunctions
   3539.7 ms  ✓ AbstractFFTs
   3847.4 ms  ✓ Gamma
   4037.3 ms  ✓ Serialization
   2797.7 ms  ✓ SuiteSparse_jll
   5364.6 ms  ✓ FillArrays
   2717.3 ms  ✓ DataValueInterfaces
   2697.5 ms  ✓ EnumX
   5553.1 ms  ✓ InitialValues
   3100.0 ms  ✓ Statistics
   2580.7 ms  ✓ Reexport
   3394.2 ms  ✓ IterTools
   6472.0 ms  ✓ Combinatorics
   3522.6 ms  ✓ AbstractTrees
   4043.1 ms  ✓ DocStringExtensions
   2298.2 ms  ✓ TestItems
   2595.3 ms  ✓ Mmap
   2582.9 ms  ✓ PtrArrays
   2770.5 ms  ✓ CompositionsBase
   2790.0 ms  ✓ TaskLocalValues
   2815.6 ms  ✓ HashArrayMappedTries
   3009.6 ms  ✓ StableTasks
   3022.0 ms  ✓ VectorInterface
   3405.3 ms  ✓ Inflate
   2616.9 ms  ✓ Adapt
   2507.6 ms  ✓ DataAPI
   2798.0 ms  ✓ PackageExtensionCompat
  10954.9 ms  ✓ Bessels
  10980.8 ms  ✓ FunctionWrappers
   3687.9 ms  ✓ EnzymeCore
   2807.1 ms  ✓ FastClosures
   2703.3 ms  ✓ StaticArraysCore
   3284.9 ms  ✓ ChunkSplitters
   3580.1 ms  ✓ LoggingExtras
  10907.3 ms  ✓ OrderedCollections
   2606.6 ms  ✓ TableTraits
   2521.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3891.8 ms  ✓ Preferences
   5198.7 ms  ✓ LazyArtifacts
   3177.2 ms  ✓ AliasTables
   3180.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3216.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   6199.0 ms  ✓ HypergeometricFunctions
  13401.0 ms  ✓ IrrationalConstants
   3212.3 ms  ✓ ScopedValues
  11002.3 ms  ✓ ConstructionBase
   2920.7 ms  ✓ DiffResults
   3819.7 ms  ✓ GPUArraysCore
   3286.4 ms  ✓ EnzymeCore → AdaptExt
  10191.8 ms  ✓ Compat
  10099.1 ms  ✓ NaNMath
  13382.8 ms  ✓ Crayons
  19131.6 ms  ✓ MacroTools
   9923.3 ms  ✓ Distances
   2110.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2694.3 ms  ✓ PrecompileTools
   2981.0 ms  ✓ JLLWrappers
  13795.4 ms  ✓ InteractiveUtils
   2595.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3610.7 ms  ✓ LogExpFunctions
   3398.4 ms  ✓ CommonSubexpressions
   8897.7 ms  ✓ KrylovKit
   9718.2 ms  ✓ ArrayInterface
   9111.1 ms  ✓ Missings
   9285.4 ms  ✓ DataStructures
   2798.3 ms  ✓ CommonSolve
  16210.8 ms  ✓ Distributed
   5596.5 ms  ✓ MuladdMacro
   3580.4 ms  ✓ FastPower
   3687.7 ms  ✓ SciMLPublic
   6002.6 ms  ✓ ADTypes
   6992.9 ms  ✓ Setfield
  12690.3 ms  ✓ Tables
   4087.9 ms  ✓ SciMLLogging
   8290.8 ms  ✓ RecipesBase
   6093.4 ms  ✓ BinaryHeaps
   3592.1 ms  ✓ FFTW_jll
   4488.8 ms  ✓ Rmath_jll
   3998.0 ms  ✓ OpenSpecFun_jll
   3391.2 ms  ✓ TruncatedStacktraces
   2505.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6611.4 ms  ✓ IntelOpenMP_jll
  13391.6 ms  ✓ ConcreteStructs
  25090.3 ms  ✓ SparseArrays
   7519.0 ms  ✓ oneTBB_jll
   4715.2 ms  ✓ SimpleTraits
   4596.9 ms  ✓ PoissonRandom
   2205.6 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   2682.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2489.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3601.6 ms  ✓ SortingAlgorithms
  18716.4 ms  ✓ Accessors
   7697.6 ms  ✓ FastBroadcast
   9099.0 ms  ✓ MaybeInplace
  18587.8 ms  ✓ StringManipulation
   3689.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
