nice: cannot set niceness: Permission denied
Precompiling packages...
   1629.2 ms  ✓ Zlib_jll
   1636.3 ms  ✓ Logging
   1634.2 ms  ✓ MozillaCACerts_jll
   1633.5 ms  ✓ nghttp2_jll
   1647.6 ms  ✓ UUIDs
   1723.2 ms  ✓ Unicode
   1770.7 ms  ✓ OpenSSL_jll
   1819.6 ms  ✓ CompilerSupportLibraries_jll
   1823.4 ms  ✓ NetworkOptions
   1835.5 ms  ✓ Base64
    496.2 ms  ✓ LibSSH2_jll
    556.5 ms  ✓ p7zip_jll
    699.1 ms  ✓ Printf
    491.4 ms  ✓ LibGit2_jll
    498.3 ms  ✓ LibCURL_jll
   3349.9 ms  ✓ ArgTools
    778.5 ms  ✓ LibCURL
    647.3 ms  ✓ Tar
   2987.5 ms  ✓ Dates
    457.1 ms  ✓ TOML
   3146.4 ms  ✓ LibGit2
   3035.4 ms  ✓ Downloads
   9434.0 ms  ✓ StyledStrings
   1688.0 ms  ✓ JuliaSyntaxHighlighting
   3869.1 ms  ✓ Markdown
  47985.6 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2428.5 ms  ✓ IteratorInterfaceExtensions
   2490.9 ms  ✓ Future
   2702.5 ms  ✓ OpenLibm_jll
   2790.8 ms  ✓ StatsAPI
   2819.4 ms  ✓ LaTeXStrings
   2818.3 ms  ✓ ExprTools
   3001.6 ms  ✓ InverseFunctions
   3115.1 ms  ✓ PositiveFactorizations
   3512.6 ms  ✓ AbstractFFTs
   3820.9 ms  ✓ Serialization
   4386.4 ms  ✓ Gamma
   2394.8 ms  ✓ DataValueInterfaces
   5422.4 ms  ✓ FillArrays
   2890.6 ms  ✓ SuiteSparse_jll
   2505.6 ms  ✓ Reexport
   5709.7 ms  ✓ InitialValues
   2768.3 ms  ✓ EnumX
   3462.0 ms  ✓ Statistics
   6311.0 ms  ✓ Combinatorics
   4015.7 ms  ✓ IterTools
   3379.4 ms  ✓ AbstractTrees
   4019.3 ms  ✓ DocStringExtensions
   2482.1 ms  ✓ TestItems
   2661.8 ms  ✓ CompositionsBase
   2988.9 ms  ✓ Mmap
   2791.8 ms  ✓ PtrArrays
   2829.6 ms  ✓ TaskLocalValues
   3007.4 ms  ✓ HashArrayMappedTries
   3515.0 ms  ✓ StableTasks
   3306.8 ms  ✓ Inflate
   3921.8 ms  ✓ VectorInterface
   2607.9 ms  ✓ DataAPI
   2696.9 ms  ✓ PackageExtensionCompat
  10915.9 ms  ✓ Bessels
   2918.8 ms  ✓ Adapt
   4078.6 ms  ✓ EnzymeCore
   2887.9 ms  ✓ FastClosures
  11717.2 ms  ✓ FunctionWrappers
   3510.4 ms  ✓ ChunkSplitters
   3321.1 ms  ✓ StaticArraysCore
  10202.6 ms  ✓ OrderedCollections
   3292.3 ms  ✓ LoggingExtras
   2478.2 ms  ✓ TableTraits
   2479.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4006.2 ms  ✓ Preferences
   2521.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2323.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5093.4 ms  ✓ LazyArtifacts
   3134.3 ms  ✓ AliasTables
   2996.8 ms  ✓ ScopedValues
  10775.7 ms  ✓ ConstructionBase
   6185.1 ms  ✓ HypergeometricFunctions
  14727.8 ms  ✓ IrrationalConstants
   3290.5 ms  ✓ EnzymeCore → AdaptExt
   2721.0 ms  ✓ DiffResults
   3988.6 ms  ✓ GPUArraysCore
   9834.5 ms  ✓ NaNMath
  10393.3 ms  ✓ Compat
  13318.9 ms  ✓ Crayons
  19002.2 ms  ✓ MacroTools
   2206.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2587.4 ms  ✓ PrecompileTools
   2713.0 ms  ✓ Compat → CompatLinearAlgebraExt
   3097.9 ms  ✓ JLLWrappers
   8396.3 ms  ✓ KrylovKit
  14097.2 ms  ✓ InteractiveUtils
  11404.6 ms  ✓ Distances
   2700.6 ms  ✓ CommonSubexpressions
   3890.0 ms  ✓ LogExpFunctions
   9689.1 ms  ✓ Missings
   9866.3 ms  ✓ ArrayInterface
   2690.6 ms  ✓ CommonSolve
   4600.4 ms  ✓ MuladdMacro
   3212.9 ms  ✓ FastPower
   9988.2 ms  ✓ DataStructures
   3601.1 ms  ✓ SciMLPublic
  17510.9 ms  ✓ Distributed
   6607.9 ms  ✓ Setfield
   5892.8 ms  ✓ ADTypes
   3819.2 ms  ✓ Rmath_jll
  13407.5 ms  ✓ Tables
   8894.5 ms  ✓ RecipesBase
   5099.8 ms  ✓ SciMLLogging
   3588.4 ms  ✓ FFTW_jll
   3604.3 ms  ✓ OpenSpecFun_jll
   6894.7 ms  ✓ BinaryHeaps
