nice: cannot set niceness: Permission denied
Precompiling packages...
   2005.3 ms  ✓ StatsAPI
   1985.1 ms  ✓ OpenLibm_jll
   2095.7 ms  ✓ LazyArtifacts
   2102.3 ms  ✓ LaTeXStrings
   2100.3 ms  ✓ IteratorInterfaceExtensions
   2214.5 ms  ✓ ExprTools
   2225.8 ms  ✓ PositiveFactorizations
   2679.4 ms  ✓ InverseFunctions
   2806.8 ms  ✓ AbstractFFTs
   3502.9 ms  ✓ FunctionWrappers
   3517.2 ms  ✓ Gamma
   3749.6 ms  ✓ Combinatorics
   2001.8 ms  ✓ CompilerSupportLibraries_jll
   4016.1 ms  ✓ InitialValues
   2108.1 ms  ✓ SuiteSparse_jll
   4584.1 ms  ✓ FillArrays
   1810.4 ms  ✓ DataValueInterfaces
   2611.2 ms  ✓ IterTools
   2596.7 ms  ✓ Compat
   3097.6 ms  ✓ Preferences
   2683.7 ms  ✓ OrderedCollections
   1987.8 ms  ✓ Reexport
   2009.9 ms  ✓ EnumX
   2714.4 ms  ✓ DocStringExtensions
   2109.7 ms  ✓ CompositionsBase
   1892.0 ms  ✓ TestItems
   1906.3 ms  ✓ PtrArrays
   2011.2 ms  ✓ HashArrayMappedTries
   2796.6 ms  ✓ AbstractTrees
   2080.4 ms  ✓ TaskLocalValues
   2092.2 ms  ✓ StableTasks
   7887.4 ms  ✓ Bessels
   2515.8 ms  ✓ VectorInterface
   2493.4 ms  ✓ Inflate
   2996.1 ms  ✓ EnzymeCore
   2379.2 ms  ✓ PackageExtensionCompat
   2400.4 ms  ✓ DataAPI
   2581.0 ms  ✓ ConstructionBase
   2786.0 ms  ✓ Adapt
   2496.1 ms  ✓ FastClosures
   5580.1 ms  ✓ IrrationalConstants
   7588.0 ms  ✓ Distributed
   2803.1 ms  ✓ ChunkSplitters
   1999.7 ms  ✓ TableTraits
   2616.0 ms  ✓ LoggingExtras
   2289.4 ms  ✓ NaNMath
   2697.3 ms  ✓ StaticArraysCore
   2603.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2110.2 ms  ✓ PrecompileTools
   2796.0 ms  ✓ JLLWrappers
   2200.8 ms  ✓ AliasTables
   1897.9 ms  ✓ Compat → CompatLinearAlgebraExt
  10195.1 ms  ✓ MacroTools
   1909.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3012.1 ms  ✓ LogExpFunctions
  13103.8 ms  ✓ Test
   4308.8 ms  ✓ HypergeometricFunctions
   6494.0 ms  ✓ Crayons
   3276.4 ms  ✓ Missings
   3722.1 ms  ✓ ScopedValues
   2404.9 ms  ✓ GPUArraysCore
   2910.0 ms  ✓ ArrayInterface
   2116.1 ms  ✓ EnzymeCore → AdaptExt
   1890.2 ms  ✓ DiffResults
   2690.3 ms  ✓ Rmath_jll
   3403.7 ms  ✓ ProgressMeter
   2190.3 ms  ✓ CommonSolve
   3303.8 ms  ✓ MuladdMacro
   7902.8 ms  ✓ KrylovKit
   4804.1 ms  ✓ Tables
   7599.8 ms  ✓ DataStructures
   3978.5 ms  ✓ ADTypes
   3397.7 ms  ✓ FastPower
   2584.3 ms  ✓ IntelOpenMP_jll
   2030.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   6198.0 ms  ✓ RecipesBase
   3506.9 ms  ✓ SciMLLogging
   2695.2 ms  ✓ oneTBB_jll
   5017.3 ms  ✓ BinaryHeaps
   2300.8 ms  ✓ TruncatedStacktraces
   2912.7 ms  ✓ FFTW_jll
   3011.2 ms  ✓ OpenSpecFun_jll
   6489.0 ms  ✓ MaybeInplace
   2899.4 ms  ✓ CommonSubexpressions
   2399.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   9108.4 ms  ✓ ConcreteStructs
   6903.6 ms  ✓ RuntimeGeneratedFunctions
   2939.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3303.1 ms  ✓ SimpleTraits
   2406.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2706.5 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   2094.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  15206.8 ms  ✓ SparseArrays
   2880.3 ms  ✓ SciMLStructures
   2601.6 ms  ✓ SortingAlgorithms
   5786.8 ms  ✓ Setfield
   5995.7 ms  ✓ PoissonRandom
  11285.1 ms  ✓ FindFirstFunctions
   2491.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3311.4 ms  ✓ Rmath
   2222.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   6290.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3884.5 ms  ✓ SciMLPublic
   7093.3 ms  ✓ FastBroadcast
   4595.1 ms  ✓ QuadGK
  13212.1 ms  ✓ StringManipulation
   2916.8 ms  ✓ MKL_jll
   2703.8 ms  ✓ SuiteSparse
   5319.5 ms  ✓ DifferentiationInterface
   2720.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2889.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2888.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3191.1 ms  ✓ Statistics
   3118.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3098.2 ms  ✓ FiniteDiff
   2016.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2994.8 ms  ✓ FunctionWrappersWrappers
   2382.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2508.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   3303.3 ms  ✓ PDMats
   2116.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4201.4 ms  ✓ PreallocationTools
   2225.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2018.5 ms  ✓ RespecializeParams
   3511.3 ms  ✓ Distances
   8334.4 ms  ✓ Accessors
   1462.2 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   1883.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   2091.3 ms  ✓ NLSolversBase
   1387.7 ms  ✓ Distances → DistancesSparseArraysExt
   1219.4 ms  ✓ Accessors → TestExt
   8783.1 ms  ✓ SpecialFunctions
   1290.8 ms  ✓ Accessors → LinearAlgebraExt
   6617.9 ms  ✓ StatsBase
   2270.6 ms  ✓ LineSearches
   2204.1 ms  ✓ DiffRules
   2620.6 ms  ✓ StochasticDiffEqLevyArea
   2708.8 ms  ✓ BangBang
   2755.3 ms  ✓ PDMats → StatsBaseExt
   5290.9 ms  ✓ SymbolicIndexingInterface
   2794.2 ms  ✓ BangBang → BangBangTablesExt
   5730.5 ms  ✓ StatsFuns
   3198.0 ms  ✓ OhMyThreads
  26618.2 ms  ✓ StaticArrays
   2372.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2502.9 ms  ✓ OhMyThreads → ProgressMeterExt
   2911.8 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3309.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3581.6 ms  ✓ OhMyThreads → MarkdownExt
   3713.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4140.5 ms  ✓ BijectiveHilbert
   5366.9 ms  ✓ ArnoldiMethod
   3292.5 ms  ✓ Adapt → AdaptStaticArraysExt
  12309.3 ms  ✓ Roots
  10731.4 ms  ✓ Optim
   3208.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3912.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   5706.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3694.5 ms  ✓ BangBang → BangBangStaticArraysExt
   5586.6 ms  ✓ ResettableStacks
   4897.3 ms  ✓ Accessors → StaticArraysExt
  15087.3 ms  ✓ SciMLOperators
  14414.7 ms  ✓ ForwardDiff
   1626.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  22899.2 ms  ✓ FFTW
