nice: cannot set niceness: Permission denied
Precompiling packages...
   1636.9 ms  ✓ UUIDs
   1721.5 ms  ✓ Logging
   1760.4 ms  ✓ OpenSSL_jll
   1731.6 ms  ✓ Zlib_jll
   1736.4 ms  ✓ MozillaCACerts_jll
   1813.6 ms  ✓ CompilerSupportLibraries_jll
   1814.4 ms  ✓ Unicode
   1822.2 ms  ✓ nghttp2_jll
   1907.5 ms  ✓ NetworkOptions
   1943.0 ms  ✓ Base64
    573.2 ms  ✓ LibSSH2_jll
    600.7 ms  ✓ p7zip_jll
    702.1 ms  ✓ Printf
    469.5 ms  ✓ LibCURL_jll
    483.7 ms  ✓ LibGit2_jll
   3287.4 ms  ✓ ArgTools
    778.1 ms  ✓ LibCURL
    665.3 ms  ✓ Tar
   2957.2 ms  ✓ Dates
   3124.2 ms  ✓ LibGit2
    473.3 ms  ✓ TOML
   3066.4 ms  ✓ Downloads
   9621.0 ms  ✓ StyledStrings
   1635.7 ms  ✓ JuliaSyntaxHighlighting
   3872.1 ms  ✓ Markdown
  48014.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2321.4 ms  ✓ IteratorInterfaceExtensions
   2512.7 ms  ✓ StatsAPI
   2623.2 ms  ✓ LaTeXStrings
   2627.5 ms  ✓ Future
   2689.2 ms  ✓ OpenLibm_jll
   2809.8 ms  ✓ ExprTools
   3007.6 ms  ✓ PositiveFactorizations
   3111.9 ms  ✓ AbstractFFTs
   3406.5 ms  ✓ InverseFunctions
   3999.9 ms  ✓ Gamma
   4496.5 ms  ✓ Serialization
   2503.1 ms  ✓ DataValueInterfaces
   2304.8 ms  ✓ Reexport
   5423.1 ms  ✓ InitialValues
   3191.8 ms  ✓ Statistics
   5520.0 ms  ✓ FillArrays
   2601.8 ms  ✓ EnumX
   2987.0 ms  ✓ SuiteSparse_jll
   3293.9 ms  ✓ IterTools
   6240.1 ms  ✓ Combinatorics
   3493.2 ms  ✓ DocStringExtensions
   3409.2 ms  ✓ AbstractTrees
   2302.7 ms  ✓ CompositionsBase
   2397.0 ms  ✓ TestItems
   2490.5 ms  ✓ PtrArrays
   2399.8 ms  ✓ TaskLocalValues
   3309.0 ms  ✓ Mmap
   3192.8 ms  ✓ HashArrayMappedTries
   3121.7 ms  ✓ StableTasks
   3596.7 ms  ✓ VectorInterface
   3577.7 ms  ✓ Inflate
  10099.4 ms  ✓ Bessels
   2400.9 ms  ✓ PackageExtensionCompat
   2806.2 ms  ✓ DataAPI
   3099.0 ms  ✓ Adapt
   2802.6 ms  ✓ FastClosures
   4590.4 ms  ✓ EnzymeCore
   2808.6 ms  ✓ ChunkSplitters
  11616.2 ms  ✓ FunctionWrappers
   3092.6 ms  ✓ StaticArraysCore
   3226.5 ms  ✓ LoggingExtras
   2316.0 ms  ✓ TableTraits
  10505.6 ms  ✓ OrderedCollections
   2516.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3993.7 ms  ✓ Preferences
   2677.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2221.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5203.1 ms  ✓ LazyArtifacts
   2605.9 ms  ✓ ScopedValues
   2700.4 ms  ✓ AliasTables
   5485.1 ms  ✓ HypergeometricFunctions
   9719.4 ms  ✓ ConstructionBase
   2484.8 ms  ✓ EnzymeCore → AdaptExt
  14805.7 ms  ✓ IrrationalConstants
   9719.0 ms  ✓ Compat
   3511.4 ms  ✓ GPUArraysCore
   3488.6 ms  ✓ DiffResults
   9387.6 ms  ✓ NaNMath
  18799.5 ms  ✓ MacroTools
  13517.8 ms  ✓ Crayons
   2292.9 ms  ✓ PrecompileTools
   3213.0 ms  ✓ JLLWrappers
   2479.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  11098.7 ms  ✓ Distances
   2592.5 ms  ✓ Compat → CompatLinearAlgebraExt
  13813.0 ms  ✓ InteractiveUtils
   8505.3 ms  ✓ KrylovKit
   3807.5 ms  ✓ LogExpFunctions
   3105.5 ms  ✓ CommonSubexpressions
   9987.0 ms  ✓ Missings
   8974.4 ms  ✓ DataStructures
   2724.0 ms  ✓ CommonSolve
  10787.1 ms  ✓ ArrayInterface
   3307.1 ms  ✓ FastPower
   5105.4 ms  ✓ MuladdMacro
   3299.6 ms  ✓ SciMLPublic
   4901.2 ms  ✓ ADTypes
  17892.9 ms  ✓ Distributed
   3382.2 ms  ✓ Rmath_jll
   4979.7 ms  ✓ SciMLLogging
   3503.3 ms  ✓ OpenSpecFun_jll
   8796.0 ms  ✓ RecipesBase
   4497.0 ms  ✓ FFTW_jll
   7006.6 ms  ✓ BinaryHeaps
  13298.8 ms  ✓ Tables
   7005.8 ms  ✓ IntelOpenMP_jll
   3274.3 ms  ✓ TruncatedStacktraces
   2303.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8502.6 ms  ✓ oneTBB_jll
  13684.3 ms  ✓ ConcreteStructs
   4206.2 ms  ✓ SimpleTraits
   6825.4 ms  ✓ Setfield
   4296.5 ms  ✓ PoissonRandom
  24078.6 ms  ✓ SparseArrays
   3980.7 ms  ✓ SortingAlgorithms
   2415.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2591.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2806.3 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   7980.9 ms  ✓ MaybeInplace
   3786.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4312.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  17418.5 ms  ✓ RuntimeGeneratedFunctions
  20609.5 ms  ✓ StringManipulation
   6595.3 ms  ✓ PreallocationTools
   8700.5 ms  ✓ FastBroadcast
  20285.3 ms  ✓ FindFirstFunctions
   4103.0 ms  ✓ Rmath
  12516.4 ms  ✓ QuadGK
  10794.6 ms  ✓ SciMLStructures
   4915.2 ms  ✓ ProgressMeter
   2930.4 ms  ✓ Statistics → SparseArraysExt
   3483.2 ms  ✓ SuiteSparse
  17826.8 ms  ✓ Accessors
   3601.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3782.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3086.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2592.0 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3300.1 ms  ✓ Distances → DistancesSparseArraysExt
   6787.4 ms  ✓ MKL_jll
   3093.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3385.9 ms  ✓ FiniteDiff
  13811.7 ms  ✓ FunctionWrappersWrappers
   2419.2 ms  ✓ Accessors → LinearAlgebraExt
  14281.0 ms  ✓ DifferentiationInterface
   4505.1 ms  ✓ PDMats
   3410.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3594.9 ms  ✓ BangBang
   2504.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3499.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4396.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  14200.1 ms  ✓ SpecialFunctions
   2812.1 ms  ✓ BangBang → BangBangTablesExt
   4599.1 ms  ✓ FillArrays → FillArraysPDMatsExt
  28205.3 ms  ✓ Test
   9688.1 ms  ✓ RespecializeParams
   3596.1 ms  ✓ DiffRules
   3881.8 ms  ✓ StochasticDiffEqLevyArea
   3299.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3218.4 ms  ✓ Accessors → TestExt
  12930.2 ms  ✓ SymbolicIndexingInterface
  17888.8 ms  ✓ StatsBase
  10716.8 ms  ✓ NLSolversBase
  45185.1 ms  ✓ StaticArrays
  13210.6 ms  ✓ OhMyThreads
   9212.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4613.3 ms  ✓ PDMats → StatsBaseExt
  19396.5 ms  ✓ Roots
   3302.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3607.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3674.3 ms  ✓ VectorInterface → VectorInterfaceStaticArraysExt
   3482.2 ms  ✓ Adapt → AdaptStaticArraysExt
  14782.5 ms  ✓ StatsFuns
