nice: cannot set niceness: Permission denied
Precompiling packages...
   1970.7 ms  ✓ LazyArtifacts
   1981.4 ms  ✓ IteratorInterfaceExtensions
   2061.3 ms  ✓ StatsAPI
   2042.4 ms  ✓ OpenLibm_jll
   2084.8 ms  ✓ LaTeXStrings
   2177.5 ms  ✓ ExprTools
   2188.3 ms  ✓ PositiveFactorizations
   2249.9 ms  ✓ InverseFunctions
   3165.0 ms  ✓ AbstractFFTs
   3586.4 ms  ✓ Gamma
   3683.3 ms  ✓ FunctionWrappers
   3931.2 ms  ✓ Combinatorics
   2007.8 ms  ✓ CompilerSupportLibraries_jll
   4059.4 ms  ✓ InitialValues
   2178.4 ms  ✓ SuiteSparse_jll
   4344.4 ms  ✓ FillArrays
   2626.4 ms  ✓ IterTools
   2683.2 ms  ✓ Compat
   1827.8 ms  ✓ DataValueInterfaces
   2888.1 ms  ✓ Preferences
   2879.6 ms  ✓ OrderedCollections
   1767.9 ms  ✓ Reexport
   1990.8 ms  ✓ EnumX
   1825.9 ms  ✓ CompositionsBase
   2004.9 ms  ✓ TestItems
   1983.4 ms  ✓ PtrArrays
   2624.6 ms  ✓ AbstractTrees
   3082.3 ms  ✓ DocStringExtensions
   2101.7 ms  ✓ HashArrayMappedTries
   1990.9 ms  ✓ TaskLocalValues
   2216.0 ms  ✓ StableTasks
   2324.0 ms  ✓ Inflate
   2612.3 ms  ✓ VectorInterface
   8050.6 ms  ✓ Bessels
   2311.3 ms  ✓ ConstructionBase
   2100.5 ms  ✓ PackageExtensionCompat
   3204.7 ms  ✓ EnzymeCore
   2114.7 ms  ✓ DataAPI
   2604.9 ms  ✓ Adapt
   2089.0 ms  ✓ ChunkSplitters
   2109.1 ms  ✓ FastClosures
   5505.4 ms  ✓ IrrationalConstants
   2308.9 ms  ✓ LoggingExtras
   7779.8 ms  ✓ Distributed
   2212.1 ms  ✓ StaticArraysCore
   2402.5 ms  ✓ TableTraits
   2493.6 ms  ✓ NaNMath
   2899.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2010.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2510.9 ms  ✓ PrecompileTools
   2998.6 ms  ✓ JLLWrappers
   2554.4 ms  ✓ AliasTables
  10100.8 ms  ✓ MacroTools
   2604.9 ms  ✓ ScopedValues
   2589.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2307.2 ms  ✓ Missings
   6205.7 ms  ✓ Crayons
   3283.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  13381.1 ms  ✓ Test
   4796.5 ms  ✓ HypergeometricFunctions
   2007.0 ms  ✓ GPUArraysCore
   2680.3 ms  ✓ ArrayInterface
   2484.0 ms  ✓ EnzymeCore → AdaptExt
   1960.3 ms  ✓ DiffResults
   3108.8 ms  ✓ LogExpFunctions
   6484.9 ms  ✓ KrylovKit
   3330.8 ms  ✓ ProgressMeter
   2187.9 ms  ✓ CommonSolve
   3206.5 ms  ✓ MuladdMacro
   2410.6 ms  ✓ SciMLPublic
   7479.6 ms  ✓ DataStructures
   4813.7 ms  ✓ Tables
   3898.1 ms  ✓ ADTypes
   3797.7 ms  ✓ FastPower
   2472.9 ms  ✓ Rmath_jll
   2505.5 ms  ✓ IntelOpenMP_jll
   2221.8 ms  ✓ FFTW_jll
   5598.6 ms  ✓ RecipesBase
   2394.5 ms  ✓ oneTBB_jll
   3694.3 ms  ✓ SciMLLogging
   2392.8 ms  ✓ TruncatedStacktraces
   2499.5 ms  ✓ OpenSpecFun_jll
   2514.8 ms  ✓ CommonSubexpressions
   2604.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2079.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7005.8 ms  ✓ BinaryHeaps
   6816.0 ms  ✓ RuntimeGeneratedFunctions
   3926.1 ms  ✓ SimpleTraits
