nice: cannot set niceness: Permission denied
Precompiling packages...
   1927.0 ms  ✓ IteratorInterfaceExtensions
   1988.9 ms  ✓ OpenLibm_jll
   2025.4 ms  ✓ LazyArtifacts
   2128.4 ms  ✓ StatsAPI
   2139.9 ms  ✓ PositiveFactorizations
   2231.3 ms  ✓ LaTeXStrings
   2134.2 ms  ✓ InverseFunctions
   2419.1 ms  ✓ ExprTools
   2834.3 ms  ✓ AbstractFFTs
   3631.0 ms  ✓ Gamma
   3727.5 ms  ✓ FunctionWrappers
   3837.1 ms  ✓ InitialValues
   1988.7 ms  ✓ CompilerSupportLibraries_jll
   4097.0 ms  ✓ FillArrays
   2102.0 ms  ✓ SuiteSparse_jll
   4470.0 ms  ✓ Combinatorics
   1698.4 ms  ✓ DataValueInterfaces
   2597.4 ms  ✓ IterTools
   2398.6 ms  ✓ Compat
   2621.9 ms  ✓ OrderedCollections
   2901.7 ms  ✓ Preferences
   1718.8 ms  ✓ Reexport
   1997.8 ms  ✓ EnumX
   1796.2 ms  ✓ CompositionsBase
   1809.1 ms  ✓ TestItems
   1795.4 ms  ✓ PtrArrays
   2614.9 ms  ✓ AbstractTrees
   2812.5 ms  ✓ DocStringExtensions
   2397.0 ms  ✓ TaskLocalValues
   2412.7 ms  ✓ HashArrayMappedTries
   2099.2 ms  ✓ StableTasks
   2400.0 ms  ✓ VectorInterface
   2379.8 ms  ✓ Inflate
   7796.7 ms  ✓ Bessels
   2281.7 ms  ✓ Adapt
   2193.2 ms  ✓ PackageExtensionCompat
   2405.7 ms  ✓ DataAPI
   2704.3 ms  ✓ ConstructionBase
   3097.6 ms  ✓ EnzymeCore
   2202.6 ms  ✓ ChunkSplitters
   2304.3 ms  ✓ FastClosures
   5391.0 ms  ✓ IrrationalConstants
   1811.3 ms  ✓ TableTraits
   2876.8 ms  ✓ LoggingExtras
   2498.2 ms  ✓ StaticArraysCore
   2500.1 ms  ✓ NaNMath
   8397.1 ms  ✓ Distributed
   2501.2 ms  ✓ Missings
   2917.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2404.1 ms  ✓ PrecompileTools
   2419.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2985.8 ms  ✓ JLLWrappers
   2219.1 ms  ✓ ScopedValues
   5787.3 ms  ✓ Crayons
  10391.3 ms  ✓ MacroTools
   2499.6 ms  ✓ ArrayInterface
   2204.3 ms  ✓ Compat → CompatLinearAlgebraExt
  12736.8 ms  ✓ Test
   3299.3 ms  ✓ AliasTables
   1811.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3093.6 ms  ✓ GPUArraysCore
   1993.8 ms  ✓ EnzymeCore → AdaptExt
   5190.7 ms  ✓ HypergeometricFunctions
   1787.3 ms  ✓ DiffResults
   2699.9 ms  ✓ LogExpFunctions
   2189.3 ms  ✓ TruncatedStacktraces
   2103.7 ms  ✓ CommonSolve
   3128.8 ms  ✓ ProgressMeter
   3209.2 ms  ✓ MuladdMacro
   7382.9 ms  ✓ KrylovKit
   2391.9 ms  ✓ SciMLPublic
   3807.8 ms  ✓ ADTypes
   3395.4 ms  ✓ FastPower
   4916.4 ms  ✓ Tables
   2600.1 ms  ✓ Rmath_jll
   2534.7 ms  ✓ IntelOpenMP_jll
   2309.7 ms  ✓ oneTBB_jll
   7156.7 ms  ✓ DataStructures
   2317.1 ms  ✓ FFTW_jll
   3397.9 ms  ✓ SciMLLogging
   6175.0 ms  ✓ RecipesBase
   2584.8 ms  ✓ OpenSpecFun_jll
   4886.8 ms  ✓ BinaryHeaps
   2402.5 ms  ✓ CommonSubexpressions
   2033.0 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   2008.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3793.1 ms  ✓ SimpleTraits
   6618.7 ms  ✓ RuntimeGeneratedFunctions
   2701.7 ms  ✓ SciMLStructures
   2510.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1988.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2126.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   5907.9 ms  ✓ FastBroadcast
   5603.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3595.7 ms  ✓ FunctionWrappersWrappers
   6711.7 ms  ✓ MaybeInplace
  11094.6 ms  ✓ FindFirstFunctions
   2606.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   5806.3 ms  ✓ Setfield
   2519.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  16704.1 ms  ✓ SparseArrays
   4695.8 ms  ✓ PoissonRandom
   5695.5 ms  ✓ PreallocationTools
  14090.6 ms  ✓ StringManipulation
   9211.9 ms  ✓ ConcreteStructs
   2682.8 ms  ✓ SortingAlgorithms
   2899.2 ms  ✓ RespecializeParams
   2805.5 ms  ✓ FindFirstFunctions → FindFirstFunctionsEnzymeCoreExt
   3497.4 ms  ✓ MKL_jll
   3192.2 ms  ✓ FiniteDiff
   4292.9 ms  ✓ Rmath
   7402.2 ms  ✓ DifferentiationInterface
   3285.1 ms  ✓ Statistics
   3413.9 ms  ✓ SuiteSparse
   9608.6 ms  ✓ Accessors
   4681.1 ms  ✓ QuadGK
   2877.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2509.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2512.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2621.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2381.0 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2093.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2406.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2225.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2501.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1803.5 ms  ✓ Accessors → LinearAlgebraExt
   1897.9 ms  ✓ Accessors → TestExt
   2314.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   3003.8 ms  ✓ Distances
   2795.1 ms  ✓ PDMats
   2334.4 ms  ✓ NLSolversBase
   1854.2 ms  ✓ Distances → DistancesSparseArraysExt
   2507.2 ms  ✓ BangBang
   1904.1 ms  ✓ FillArrays → FillArraysPDMatsExt
   9727.3 ms  ✓ SpecialFunctions
   2402.4 ms  ✓ LineSearches
   1987.0 ms  ✓ BangBang → BangBangTablesExt
