Precompiling Pkg...
    976.6 ms  ✓ MozillaCACerts_jll
    978.0 ms  ✓ Logging
   1054.0 ms  ✓ UUIDs
   1066.0 ms  ✓ nghttp2_jll
   1065.5 ms  ✓ p7zip_jll
   1065.3 ms  ✓ Unicode
   1073.4 ms  ✓ Zlib_jll
   1118.5 ms  ✓ NetworkOptions
   1097.7 ms  ✓ MbedTLS_jll
   1174.6 ms  ✓ Base64
    341.5 ms  ✓ LibSSH2_jll
    443.6 ms  ✓ Printf
    445.5 ms  ✓ LibCURL_jll
    452.3 ms  ✓ LibGit2_jll
   2059.4 ms  ✓ ArgTools
    572.4 ms  ✓ LibCURL
    545.6 ms  ✓ Tar
   2446.1 ms  ✓ Dates
   2857.9 ms  ✓ Markdown
   2320.5 ms  ✓ LibGit2
    367.2 ms  ✓ TOML
   2935.9 ms  ✓ Downloads
  38615.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1767.9 ms  ✓ IteratorInterfaceExtensions
   1782.1 ms  ✓ PolygonOps
   1877.0 ms  ✓ IndirectArrays
   1871.8 ms  ✓ CEnum
   1879.8 ms  ✓ StatsAPI
   1962.0 ms  ✓ RangeArrays
   1959.3 ms  ✓ Contour
   1976.1 ms  ✓ TensorCore
   1978.8 ms  ✓ LaTeXStrings
   2576.5 ms  ✓ AbstractFFTs
   2752.9 ms  ✓ TriplotBase
   3456.9 ms  ✓ Serialization
   2085.5 ms  ✓ OpenLibm_jll
   2114.3 ms  ✓ InverseFunctions
   2581.3 ms  ✓ Statistics
   2512.4 ms  ✓ SuiteSparse_jll
   4530.9 ms  ✓ FillArrays
   4651.8 ms  ✓ OffsetArrays
   2868.2 ms  ✓ CompilerSupportLibraries_jll
   2986.5 ms  ✓ OrderedCollections
   3096.4 ms  ✓ IterTools
   2406.1 ms  ✓ Requires
   2593.5 ms  ✓ Observables
   1699.5 ms  ✓ DataValueInterfaces
   5334.7 ms  ✓ Format
   3877.8 ms  ✓ Grisu
   2009.8 ms  ✓ EnumX
   1901.3 ms  ✓ Reexport
   2188.7 ms  ✓ StableRNGs
   1889.6 ms  ✓ Ratios
   1886.8 ms  ✓ PtrArrays
   2516.9 ms  ✓ AbstractTrees
   2275.4 ms  ✓ RoundingEmulator
   1920.0 ms  ✓ PCRE2_jll
   2102.9 ms  ✓ Mmap
   2386.3 ms  ✓ IntervalSets
   2910.1 ms  ✓ DocStringExtensions
   2611.8 ms  ✓ TranscodingStreams
   2202.7 ms  ✓ LazyModules
   2125.5 ms  ✓ Inflate
   1799.4 ms  ✓ DataAPI
   1899.5 ms  ✓ CRC32c
   2417.0 ms  ✓ StaticArraysCore
   2405.0 ms  ✓ MappedArrays
   2611.0 ms  ✓ ConstructionBase
   2317.8 ms  ✓ Scratch
   5618.5 ms  ✓ IrrationalConstants
   1968.3 ms  ✓ TableTraits
   3499.8 ms  ✓ Preferences
   2484.6 ms  ✓ NaNMath
   2101.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   6406.7 ms  ✓ AdaptivePredicates
   3786.0 ms  ✓ Compat
  11092.6 ms  ✓ MacroTools
   3782.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2520.1 ms  ✓ FillArrays → FillArraysStatisticsExt
  13946.5 ms  ✓ BaseDirs
   5186.3 ms  ✓ LazyArtifacts
   2192.9 ms  ✓ StackViews
   5314.9 ms  ✓ PkgVersion
   2503.1 ms  ✓ PaddedViews
   2410.1 ms  ✓ Adapt
   7304.0 ms  ✓ InteractiveUtils
