Precompiling Pkg...
    950.6 ms  ✓ Logging
    967.5 ms  ✓ UUIDs
   1057.0 ms  ✓ nghttp2_jll
   1057.2 ms  ✓ Unicode
   1078.6 ms  ✓ MozillaCACerts_jll
   1141.1 ms  ✓ MbedTLS_jll
   1184.5 ms  ✓ NetworkOptions
   1154.2 ms  ✓ Zlib_jll
   1167.4 ms  ✓ p7zip_jll
   1195.5 ms  ✓ Base64
    329.3 ms  ✓ LibSSH2_jll
    464.0 ms  ✓ Printf
    407.7 ms  ✓ LibCURL_jll
    418.1 ms  ✓ LibGit2_jll
   2053.4 ms  ✓ ArgTools
    596.9 ms  ✓ LibCURL
    567.3 ms  ✓ Tar
   2447.0 ms  ✓ Dates
   2843.8 ms  ✓ Markdown
   2337.0 ms  ✓ LibGit2
    377.3 ms  ✓ TOML
   2952.9 ms  ✓ Downloads
  38848.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1785.1 ms  ✓ IteratorInterfaceExtensions
   1898.3 ms  ✓ RangeArrays
   1982.4 ms  ✓ PolygonOps
   1990.5 ms  ✓ LaTeXStrings
   1991.9 ms  ✓ StatsAPI
   2080.5 ms  ✓ CEnum
   2084.4 ms  ✓ TensorCore
   2093.7 ms  ✓ TriplotBase
   2099.4 ms  ✓ Contour
   2298.6 ms  ✓ IndirectArrays
   3093.6 ms  ✓ AbstractFFTs
   3481.4 ms  ✓ Serialization
   2294.8 ms  ✓ OpenLibm_jll
   2286.3 ms  ✓ InverseFunctions
   2501.0 ms  ✓ IterTools
   2505.7 ms  ✓ CompilerSupportLibraries_jll
   4570.1 ms  ✓ FillArrays
   2600.7 ms  ✓ Statistics
   2497.6 ms  ✓ SuiteSparse_jll
   4576.6 ms  ✓ OffsetArrays
   2285.9 ms  ✓ Observables
   5284.2 ms  ✓ Format
   3121.3 ms  ✓ OrderedCollections
   1882.9 ms  ✓ DataValueInterfaces
   2390.9 ms  ✓ Requires
   1420.9 ms  ✓ EnumX
   1399.7 ms  ✓ Reexport
   3979.2 ms  ✓ Grisu
   2079.0 ms  ✓ StableRNGs
   1913.2 ms  ✓ PtrArrays
   2793.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2890.1 ms  ✓ DocStringExtensions
   2187.0 ms  ✓ Mmap
   2007.8 ms  ✓ PCRE2_jll
   2316.5 ms  ✓ RoundingEmulator
   2396.0 ms  ✓ AbstractTrees
   2396.8 ms  ✓ Extents
   1806.0 ms  ✓ LazyModules
   2972.7 ms  ✓ TranscodingStreams
   2220.3 ms  ✓ Inflate
   1803.1 ms  ✓ CRC32c
   2003.0 ms  ✓ DataAPI
   2000.0 ms  ✓ StaticArraysCore
   2281.2 ms  ✓ ConstructionBase
   2201.5 ms  ✓ MappedArrays
   2318.7 ms  ✓ Scratch
   3019.4 ms  ✓ Compat
   2014.9 ms  ✓ NaNMath
   2512.2 ms  ✓ TableTraits
   4299.1 ms  ✓ Preferences
   6493.2 ms  ✓ AdaptivePredicates
  10901.9 ms  ✓ MacroTools
   3390.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  13798.2 ms  ✓ BaseDirs
   2408.3 ms  ✓ IntervalSets
   2207.4 ms  ✓ StackViews
   6584.6 ms  ✓ InteractiveUtils
   1982.7 ms  ✓ Ratios
   2188.8 ms  ✓ PaddedViews
   6487.3 ms  ✓ LazyArtifacts
   2300.1 ms  ✓ Adapt
   6117.2 ms  ✓ PkgVersion
   2301.0 ms  ✓ Showoff
   1916.3 ms  ✓ RelocatableFolders
   2013.0 ms  ✓ Compat → CompatLinearAlgebraExt
   6679.9 ms  ✓ IrrationalConstants
   2407.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2672.4 ms  ✓ Missings
  11994.6 ms  ✓ FixedPointNumbers
   3190.2 ms  ✓ AliasTables
   2996.8 ms  ✓ JLLWrappers
   3105.1 ms  ✓ PrecompileTools
   2300.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2104.3 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2478.7 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   1998.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   9793.2 ms  ✓ Distributed
   2399.3 ms  ✓ MosaicViews
   4299.0 ms  ✓ Tables
   3877.6 ms  ✓ ComputePipeline
   3425.0 ms  ✓ SimpleTraits
   2193.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3206.8 ms  ✓ LogExpFunctions
   3793.8 ms  ✓ FilePathsBase
   2806.4 ms  ✓ OpenSSL_jll
   2624.6 ms  ✓ Graphite2_jll
   2700.0 ms  ✓ Libmount_jll
   2613.9 ms  ✓ LLVMOpenMP_jll
   2773.5 ms  ✓ Bzip2_jll
   2003.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2996.8 ms  ✓ Rmath_jll
   5896.4 ms  ✓ ChainRulesCore
   2717.2 ms  ✓ Xorg_libXau_jll
   2708.5 ms  ✓ libpng_jll
   2678.4 ms  ✓ Imath_jll
   2712.7 ms  ✓ Giflib_jll
   6710.9 ms  ✓ ColorTypes
   3003.8 ms  ✓ LAME_jll
   7483.9 ms  ✓ DataStructures
   2689.7 ms  ✓ LERC_jll
   2702.6 ms  ✓ EarCut_jll
   3079.5 ms  ✓ CRlibm_jll
   2804.1 ms  ✓ Ogg_jll
   3172.3 ms  ✓ JpegTurbo_jll
   3194.3 ms  ✓ XZ_jll
   2897.0 ms  ✓ oneTBB_jll
   2694.8 ms  ✓ Xorg_libXdmcp_jll
   6107.5 ms  ✓ IntelOpenMP_jll
  17379.4 ms  ✓ SparseArrays
   3097.0 ms  ✓ x265_jll
   3004.6 ms  ✓ libaom_jll
   3823.0 ms  ✓ x264_jll
   2923.9 ms  ✓ Expat_jll
   3411.1 ms  ✓ Zstd_jll
   2615.7 ms  ✓ Libffi_jll
   3905.9 ms  ✓ Opus_jll
   3795.4 ms  ✓ Xorg_xtrans_jll
   4402.5 ms  ✓ LZO_jll
   3975.9 ms  ✓ Libiconv_jll
  19299.7 ms  ✓ FileIO
   4089.0 ms  ✓ isoband_jll
   3805.1 ms  ✓ Libuuid_jll
  16298.3 ms  ✓ Test
   4300.3 ms  ✓ FFTW_jll
   3595.1 ms  ✓ OpenBLASConsistentFPCSR_jll
   3892.7 ms  ✓ FriBidi_jll
   3514.5 ms  ✓ OpenSpecFun_jll
   1996.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3196.4 ms  ✓ SharedArrays
   3604.7 ms  ✓ AxisArrays
   2802.8 ms  ✓ libfdk_aac_jll
   2712.1 ms  ✓ Pixman_jll
   3693.2 ms  ✓ StructArrays
   3305.6 ms  ✓ FilePaths
   4026.6 ms  ✓ ProgressMeter
   2308.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3000.6 ms  ✓ FreeType2_jll
   3807.9 ms  ✓ Rmath
   2508.4 ms  ✓ SortingAlgorithms
