Precompiling Pkg...
   1049.5 ms  ✓ Unicode
   1061.3 ms  ✓ UUIDs
   1061.0 ms  ✓ Logging
   1061.5 ms  ✓ MozillaCACerts_jll
   1083.0 ms  ✓ nghttp2_jll
   1078.4 ms  ✓ Zlib_jll
   1087.2 ms  ✓ MbedTLS_jll
   1147.7 ms  ✓ p7zip_jll
   1229.0 ms  ✓ NetworkOptions
   1208.1 ms  ✓ Base64
    378.1 ms  ✓ LibSSH2_jll
    461.6 ms  ✓ Printf
    414.3 ms  ✓ LibCURL_jll
    428.5 ms  ✓ LibGit2_jll
   1978.2 ms  ✓ ArgTools
    579.0 ms  ✓ LibCURL
    576.5 ms  ✓ Tar
   2160.9 ms  ✓ Dates
   2814.7 ms  ✓ Markdown
   2319.9 ms  ✓ LibGit2
    560.7 ms  ✓ TOML
   2974.5 ms  ✓ Downloads
  38540.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1919.8 ms  ✓ IndirectArrays
   1921.8 ms  ✓ StatsAPI
   1924.1 ms  ✓ IteratorInterfaceExtensions
   2004.3 ms  ✓ RangeArrays
   1999.0 ms  ✓ PolygonOps
   2014.2 ms  ✓ LaTeXStrings
   2012.3 ms  ✓ CEnum
   2214.5 ms  ✓ Contour
   2387.0 ms  ✓ TriplotBase
   2409.7 ms  ✓ TensorCore
   2911.1 ms  ✓ AbstractFFTs
   3298.1 ms  ✓ Serialization
   2279.9 ms  ✓ OpenLibm_jll
   2212.9 ms  ✓ SuiteSparse_jll
   2377.6 ms  ✓ InverseFunctions
   2502.7 ms  ✓ CompilerSupportLibraries_jll
   2676.5 ms  ✓ Statistics
   4799.4 ms  ✓ FillArrays
   2486.5 ms  ✓ Observables
   2897.0 ms  ✓ IterTools
   5016.1 ms  ✓ OffsetArrays
   2715.3 ms  ✓ OrderedCollections
   1889.2 ms  ✓ DataValueInterfaces
   2608.0 ms  ✓ Requires
   5685.3 ms  ✓ Format
   3910.1 ms  ✓ Grisu
   2027.1 ms  ✓ EnumX
   2011.7 ms  ✓ Reexport
   2310.7 ms  ✓ StableRNGs
   2098.2 ms  ✓ Mmap
   2700.5 ms  ✓ DocStringExtensions
   2492.0 ms  ✓ AbstractTrees
   2413.7 ms  ✓ IntervalSets
   2291.3 ms  ✓ RoundingEmulator
   2584.8 ms  ✓ PtrArrays
   2893.2 ms  ✓ Extents
   2526.8 ms  ✓ PCRE2_jll
   2196.8 ms  ✓ TranscodingStreams
   1917.2 ms  ✓ LazyModules
   2107.7 ms  ✓ Inflate
   1590.8 ms  ✓ CRC32c
   1608.4 ms  ✓ DataAPI
   2198.3 ms  ✓ ConstructionBase
   2384.0 ms  ✓ StaticArraysCore
   4812.0 ms  ✓ IrrationalConstants
   2899.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2718.6 ms  ✓ AliasTables
   2004.5 ms  ✓ TableTraits
   3018.7 ms  ✓ Compat
   4000.0 ms  ✓ Preferences
  10481.0 ms  ✓ MacroTools
   2392.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3430.0 ms  ✓ NaNMath
   7004.1 ms  ✓ AdaptivePredicates
   5201.0 ms  ✓ LazyArtifacts
  14014.9 ms  ✓ BaseDirs
   3300.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2991.0 ms  ✓ StackViews
   2318.9 ms  ✓ Ratios
   2618.2 ms  ✓ PaddedViews
   6893.5 ms  ✓ InteractiveUtils
   2511.5 ms  ✓ Adapt
   1970.2 ms  ✓ Showoff
   6396.5 ms  ✓ PkgVersion
   2089.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2396.7 ms  ✓ MappedArrays
   2309.9 ms  ✓ Scratch
   2215.5 ms  ✓ Missings
   1989.0 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
