Precompiling Pkg...
   1031.4 ms  ✓ Zlib_jll
   1034.9 ms  ✓ nghttp2_jll
   1099.8 ms  ✓ Logging
   1110.6 ms  ✓ Unicode
   1115.5 ms  ✓ MbedTLS_jll
   1125.7 ms  ✓ MozillaCACerts_jll
   1140.2 ms  ✓ UUIDs
   1243.1 ms  ✓ NetworkOptions
   1207.1 ms  ✓ p7zip_jll
   1211.8 ms  ✓ Base64
    343.7 ms  ✓ LibSSH2_jll
    455.6 ms  ✓ Printf
    385.2 ms  ✓ LibGit2_jll
    394.2 ms  ✓ LibCURL_jll
   2075.2 ms  ✓ ArgTools
    584.5 ms  ✓ LibCURL
    551.6 ms  ✓ Tar
   2396.8 ms  ✓ Dates
   2838.8 ms  ✓ Markdown
   2337.4 ms  ✓ LibGit2
    377.3 ms  ✓ TOML
   2983.2 ms  ✓ Downloads
  38909.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1618.8 ms  ✓ IteratorInterfaceExtensions
   1624.9 ms  ✓ IndirectArrays
   1918.7 ms  ✓ LaTeXStrings
   1998.1 ms  ✓ PolygonOps
   2108.9 ms  ✓ RangeArrays
   2102.6 ms  ✓ CEnum
   2107.7 ms  ✓ Contour
   2206.3 ms  ✓ StatsAPI
   2223.3 ms  ✓ TensorCore
   2397.6 ms  ✓ TriplotBase
   2916.2 ms  ✓ AbstractFFTs
   3389.2 ms  ✓ Serialization
   2282.0 ms  ✓ OpenLibm_jll
   2296.4 ms  ✓ InverseFunctions
   2613.1 ms  ✓ CompilerSupportLibraries_jll
   2694.0 ms  ✓ Statistics
   4597.9 ms  ✓ FillArrays
   2596.2 ms  ✓ SuiteSparse_jll
   2697.4 ms  ✓ IterTools
   2399.1 ms  ✓ Observables
   1603.0 ms  ✓ DataValueInterfaces
   2798.3 ms  ✓ OrderedCollections
   5206.8 ms  ✓ OffsetArrays
   2593.0 ms  ✓ Requires
   1720.8 ms  ✓ EnumX
   5694.1 ms  ✓ Format
   1605.3 ms  ✓ Reexport
   4199.6 ms  ✓ Grisu
   2103.4 ms  ✓ StableRNGs
   2078.3 ms  ✓ Mmap
   1699.6 ms  ✓ PtrArrays
   2510.3 ms  ✓ AbstractTrees
   2305.0 ms  ✓ RoundingEmulator
   2599.1 ms  ✓ IntervalSets
   2205.1 ms  ✓ Extents
   1978.8 ms  ✓ PCRE2_jll
   1898.6 ms  ✓ LazyModules
   2707.5 ms  ✓ TranscodingStreams
   2105.2 ms  ✓ Inflate
   1684.1 ms  ✓ CRC32c
   1991.4 ms  ✓ DataAPI
   2200.5 ms  ✓ ConstructionBase
   2192.1 ms  ✓ StaticArraysCore
   2098.1 ms  ✓ MappedArrays
   2113.8 ms  ✓ Scratch
   5393.2 ms  ✓ IrrationalConstants
   1897.8 ms  ✓ TableTraits
   3401.9 ms  ✓ Preferences
   3100.8 ms  ✓ Compat
   2697.8 ms  ✓ NaNMath
   2702.3 ms  ✓ DocStringExtensions
   3243.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11304.5 ms  ✓ MacroTools
   7195.9 ms  ✓ AdaptivePredicates
   2633.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2209.4 ms  ✓ PaddedViews
   5715.6 ms  ✓ LazyArtifacts
  14706.3 ms  ✓ BaseDirs
   6403.6 ms  ✓ InteractiveUtils
   2980.2 ms  ✓ StackViews
  10584.0 ms  ✓ FixedPointNumbers
   2245.6 ms  ✓ Adapt
   2519.2 ms  ✓ Ratios
   6508.6 ms  ✓ PkgVersion
   2210.0 ms  ✓ Showoff
   1984.1 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2645.5 ms  ✓ AliasTables
   1903.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   1893.9 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   1916.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2293.7 ms  ✓ Missings
   1994.3 ms  ✓ RelocatableFolders
   2282.7 ms  ✓ JLLWrappers
   2307.0 ms  ✓ PrecompileTools
   1813.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3189.1 ms  ✓ ComputePipeline
   2024.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2405.3 ms  ✓ MosaicViews
   2913.3 ms  ✓ LogExpFunctions
   2318.5 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3607.9 ms  ✓ SimpleTraits
  10916.5 ms  ✓ Distributed
   3425.4 ms  ✓ Tables
   2894.1 ms  ✓ OpenSSL_jll
   3587.7 ms  ✓ AxisArrays
   2495.1 ms  ✓ Bzip2_jll
   3108.1 ms  ✓ Graphite2_jll
   2785.8 ms  ✓ Libmount_jll
   2825.5 ms  ✓ LLVMOpenMP_jll
   2281.9 ms  ✓ Rmath_jll
   2206.8 ms  ✓ Xorg_libXau_jll
   7397.4 ms  ✓ ColorTypes
   2778.8 ms  ✓ libpng_jll
   3162.0 ms  ✓ SharedArrays
   2801.8 ms  ✓ Imath_jll
   2388.5 ms  ✓ LAME_jll
   2585.2 ms  ✓ Giflib_jll
   2490.7 ms  ✓ LERC_jll
   2683.4 ms  ✓ EarCut_jll
   2554.1 ms  ✓ CRlibm_jll
   2716.7 ms  ✓ XZ_jll
   3095.5 ms  ✓ JpegTurbo_jll
   2509.2 ms  ✓ Ogg_jll
   2549.2 ms  ✓ oneTBB_jll
   2504.6 ms  ✓ Xorg_libXdmcp_jll
   2608.0 ms  ✓ x265_jll
   2693.9 ms  ✓ libaom_jll
   2716.0 ms  ✓ x264_jll
   5701.7 ms  ✓ IntelOpenMP_jll
   2993.2 ms  ✓ Zstd_jll
   2951.5 ms  ✓ Expat_jll
   2695.0 ms  ✓ Opus_jll
   2500.1 ms  ✓ Xorg_xtrans_jll
  16445.5 ms  ✓ SparseArrays
   2996.9 ms  ✓ LZO_jll
   2796.5 ms  ✓ Libiconv_jll
   2697.1 ms  ✓ Libffi_jll
   2913.8 ms  ✓ isoband_jll
   2884.5 ms  ✓ Libuuid_jll
   2806.4 ms  ✓ FriBidi_jll
   3516.5 ms  ✓ OpenBLASConsistentFPCSR_jll
   4208.7 ms  ✓ FFTW_jll
   4102.7 ms  ✓ OpenSpecFun_jll
   2280.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
