Precompiling Pkg...
    899.6 ms  ✓ Unicode
    904.4 ms  ✓ MozillaCACerts_jll
   1004.1 ms  ✓ MbedTLS_jll
   1013.6 ms  ✓ Logging
   1113.0 ms  ✓ p7zip_jll
   1110.2 ms  ✓ Zlib_jll
   1117.8 ms  ✓ UUIDs
   1179.3 ms  ✓ nghttp2_jll
   1227.7 ms  ✓ NetworkOptions
   1235.6 ms  ✓ Base64
    444.9 ms  ✓ LibSSH2_jll
    563.0 ms  ✓ Printf
    351.6 ms  ✓ LibCURL_jll
    353.4 ms  ✓ LibGit2_jll
   2081.1 ms  ✓ ArgTools
    595.3 ms  ✓ LibCURL
    542.7 ms  ✓ Tar
   2075.7 ms  ✓ Dates
   2739.3 ms  ✓ Markdown
   2273.3 ms  ✓ LibGit2
    609.8 ms  ✓ TOML
   2853.6 ms  ✓ Downloads
  39086.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1803.6 ms  ✓ LaTeXStrings
   1808.3 ms  ✓ IteratorInterfaceExtensions
   1810.2 ms  ✓ IndirectArrays
   1911.0 ms  ✓ RangeArrays
   1916.0 ms  ✓ PolygonOps
   1923.7 ms  ✓ CEnum
   2012.5 ms  ✓ StatsAPI
   2106.4 ms  ✓ Contour
   2329.6 ms  ✓ TensorCore
   2485.9 ms  ✓ TriplotBase
   3005.1 ms  ✓ AbstractFFTs
   3285.7 ms  ✓ Serialization
   2000.5 ms  ✓ OpenLibm_jll
   2099.4 ms  ✓ TableTraits
   2305.2 ms  ✓ InverseFunctions
   4285.2 ms  ✓ FillArrays
   2489.1 ms  ✓ CompilerSupportLibraries_jll
   2482.7 ms  ✓ SuiteSparse_jll
   2697.5 ms  ✓ IterTools
   4891.4 ms  ✓ OffsetArrays
   1690.7 ms  ✓ DataValueInterfaces
   2681.0 ms  ✓ OrderedCollections
   2698.6 ms  ✓ Observables
   5285.4 ms  ✓ Format
   2397.6 ms  ✓ Requires
   2099.2 ms  ✓ EnumX
   3988.5 ms  ✓ Grisu
   1807.5 ms  ✓ Reexport
   2195.9 ms  ✓ StableRNGs
   2390.8 ms  ✓ AbstractTrees
   2421.4 ms  ✓ DocStringExtensions
   1800.0 ms  ✓ PtrArrays
   2095.2 ms  ✓ Mmap
   2208.0 ms  ✓ RoundingEmulator
   2135.7 ms  ✓ Extents
   2113.5 ms  ✓ PCRE2_jll
   2614.6 ms  ✓ IntervalSets
   2093.5 ms  ✓ LazyModules
   2602.9 ms  ✓ TranscodingStreams
   1715.5 ms  ✓ DataAPI
   1733.4 ms  ✓ CRC32c
   2126.1 ms  ✓ ConstructionBase
   2784.7 ms  ✓ Inflate
   2000.2 ms  ✓ StaticArraysCore
   1994.8 ms  ✓ Scratch
   5384.8 ms  ✓ IrrationalConstants
   2792.3 ms  ✓ MappedArrays
   3106.7 ms  ✓ Compat
   2986.4 ms  ✓ NaNMath
   6013.4 ms  ✓ AdaptivePredicates
   3272.7 ms  ✓ Statistics
  10478.5 ms  ✓ MacroTools
   3022.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4530.7 ms  ✓ Preferences
   4684.6 ms  ✓ LazyArtifacts
