Precompiling Pkg...
   1042.8 ms  ✓ nghttp2_jll
   1044.7 ms  ✓ Logging
   1040.4 ms  ✓ MbedTLS_jll
   1047.9 ms  ✓ UUIDs
   1064.3 ms  ✓ p7zip_jll
   1065.7 ms  ✓ MozillaCACerts_jll
   1127.3 ms  ✓ Unicode
   1165.5 ms  ✓ Zlib_jll
   1204.8 ms  ✓ NetworkOptions
   1182.0 ms  ✓ Base64
    393.3 ms  ✓ LibSSH2_jll
    449.9 ms  ✓ Printf
    402.1 ms  ✓ LibGit2_jll
    415.4 ms  ✓ LibCURL_jll
   2071.6 ms  ✓ ArgTools
    589.1 ms  ✓ LibCURL
    565.7 ms  ✓ Tar
   2416.9 ms  ✓ Dates
   2841.3 ms  ✓ Markdown
   2355.3 ms  ✓ LibGit2
    367.2 ms  ✓ TOML
   2935.2 ms  ✓ Downloads
  39069.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1917.9 ms  ✓ PolygonOps
   1921.3 ms  ✓ IteratorInterfaceExtensions
   2013.7 ms  ✓ RangeArrays
   2010.0 ms  ✓ CEnum
   2025.9 ms  ✓ LaTeXStrings
   2122.1 ms  ✓ Contour
   2130.0 ms  ✓ StatsAPI
   2234.0 ms  ✓ IndirectArrays
   2411.5 ms  ✓ TriplotBase
   2613.9 ms  ✓ TensorCore
   2915.9 ms  ✓ AbstractFFTs
   3399.7 ms  ✓ Serialization
   1918.9 ms  ✓ OpenLibm_jll
   4428.0 ms  ✓ FillArrays
   2384.9 ms  ✓ SuiteSparse_jll
   2588.4 ms  ✓ InverseFunctions
   2518.9 ms  ✓ CompilerSupportLibraries_jll
   2626.0 ms  ✓ Statistics
   4726.9 ms  ✓ OffsetArrays
   2787.6 ms  ✓ IterTools
   2798.3 ms  ✓ OrderedCollections
   1803.0 ms  ✓ DataValueInterfaces
   2599.8 ms  ✓ Observables
   2601.6 ms  ✓ Requires
   5699.9 ms  ✓ Format
   1995.1 ms  ✓ EnumX
   3896.5 ms  ✓ Grisu
   2199.7 ms  ✓ StableRNGs
   2583.5 ms  ✓ DocStringExtensions
   2304.7 ms  ✓ IntervalSets
   2096.0 ms  ✓ Mmap
   2193.9 ms  ✓ RoundingEmulator
   2791.4 ms  ✓ AbstractTrees
   1808.2 ms  ✓ PCRE2_jll
   2298.0 ms  ✓ Extents
   2108.8 ms  ✓ PtrArrays
   2692.7 ms  ✓ TranscodingStreams
   1819.7 ms  ✓ LazyModules
   1716.6 ms  ✓ CRC32c
   1896.5 ms  ✓ DataAPI
   2109.4 ms  ✓ Inflate
   2015.1 ms  ✓ StaticArraysCore
   2117.4 ms  ✓ MappedArrays
   2896.5 ms  ✓ ConstructionBase
   5283.1 ms  ✓ IrrationalConstants
   2990.4 ms  ✓ Scratch
   1893.4 ms  ✓ TableTraits
   2780.6 ms  ✓ Compat
   3886.4 ms  ✓ Preferences
   2504.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2805.8 ms  ✓ NaNMath
   6698.6 ms  ✓ AdaptivePredicates
   2504.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  14137.7 ms  ✓ BaseDirs
  12087.5 ms  ✓ MacroTools
   2502.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   5523.4 ms  ✓ LazyArtifacts
   1994.5 ms  ✓ Ratios
   2307.2 ms  ✓ PaddedViews
   2416.7 ms  ✓ StackViews
   2508.7 ms  ✓ Adapt
   6195.1 ms  ✓ PkgVersion
   7085.7 ms  ✓ InteractiveUtils
   2094.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2015.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2302.6 ms  ✓ Showoff
   1774.5 ms  ✓ Reexport
   2097.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2214.1 ms  ✓ Missings
   2498.5 ms  ✓ AliasTables
   2497.1 ms  ✓ RelocatableFolders
   2899.2 ms  ✓ LogExpFunctions
   2205.4 ms  ✓ Compat → CompatLinearAlgebraExt
   8612.1 ms  ✓ Distributed
   2685.4 ms  ✓ JLLWrappers
   2795.0 ms  ✓ PrecompileTools
   3705.9 ms  ✓ Tables
   2406.7 ms  ✓ MosaicViews
   2490.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3511.0 ms  ✓ ComputePipeline
   2216.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  16694.6 ms  ✓ SparseArrays
   3511.7 ms  ✓ SimpleTraits
   3482.9 ms  ✓ AxisArrays
   3013.4 ms  ✓ OpenSSL_jll
   3315.1 ms  ✓ SharedArrays
   4101.4 ms  ✓ FilePathsBase
   2698.7 ms  ✓ Graphite2_jll
   3984.9 ms  ✓ ProgressMeter
  12078.6 ms  ✓ FixedPointNumbers
   2695.1 ms  ✓ Libmount_jll
