Precompiling Pkg...
   1051.8 ms  ✓ Logging
   1050.4 ms  ✓ nghttp2_jll
   1048.5 ms  ✓ MbedTLS_jll
   1134.3 ms  ✓ p7zip_jll
   1177.8 ms  ✓ NetworkOptions
   1144.4 ms  ✓ Unicode
   1150.9 ms  ✓ MozillaCACerts_jll
   1158.4 ms  ✓ UUIDs
   1169.7 ms  ✓ Zlib_jll
   1257.0 ms  ✓ Base64
    424.6 ms  ✓ LibSSH2_jll
    444.3 ms  ✓ Printf
    372.0 ms  ✓ LibGit2_jll
    370.9 ms  ✓ LibCURL_jll
   2120.4 ms  ✓ ArgTools
    599.5 ms  ✓ LibCURL
    560.8 ms  ✓ Tar
   2260.7 ms  ✓ Dates
   2845.4 ms  ✓ Markdown
   2385.6 ms  ✓ LibGit2
    483.9 ms  ✓ TOML
   2929.9 ms  ✓ Downloads
  38702.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1904.4 ms  ✓ IteratorInterfaceExtensions
   1906.6 ms  ✓ LaTeXStrings
   1912.5 ms  ✓ PolygonOps
   1907.8 ms  ✓ CEnum
   1997.9 ms  ✓ IndirectArrays
   2010.6 ms  ✓ Contour
   2108.6 ms  ✓ TensorCore
   2118.8 ms  ✓ RangeArrays
   2200.7 ms  ✓ TriplotBase
   2505.0 ms  ✓ StatsAPI
   2900.0 ms  ✓ AbstractFFTs
   3277.5 ms  ✓ Serialization
   2089.0 ms  ✓ TableTraits
   2203.0 ms  ✓ OpenLibm_jll
   2384.9 ms  ✓ SuiteSparse_jll
   2510.3 ms  ✓ CompilerSupportLibraries_jll
   2498.5 ms  ✓ IterTools
   4598.5 ms  ✓ FillArrays
   2772.2 ms  ✓ Statistics
   2303.2 ms  ✓ Observables
   4980.1 ms  ✓ OffsetArrays
   1706.1 ms  ✓ DataValueInterfaces
   3197.5 ms  ✓ OrderedCollections
   2593.8 ms  ✓ Requires
   5998.4 ms  ✓ Format
   3986.5 ms  ✓ Grisu
   2103.2 ms  ✓ EnumX
   1801.8 ms  ✓ Reexport
   2199.8 ms  ✓ StableRNGs
   2113.6 ms  ✓ Mmap
   2212.7 ms  ✓ RoundingEmulator
   1811.5 ms  ✓ PtrArrays
   2777.6 ms  ✓ AbstractTrees
   2676.3 ms  ✓ IntervalSets
   3108.0 ms  ✓ DocStringExtensions
   2370.2 ms  ✓ Extents
   2481.8 ms  ✓ PCRE2_jll
   2387.4 ms  ✓ Showoff
   2314.8 ms  ✓ LazyModules
   2888.1 ms  ✓ TranscodingStreams
   2491.2 ms  ✓ Inflate
   1987.8 ms  ✓ DataAPI
   1887.8 ms  ✓ CRC32c
   1907.5 ms  ✓ StaticArraysCore
   2294.0 ms  ✓ ConstructionBase
   2217.0 ms  ✓ MappedArrays
   5117.1 ms  ✓ IrrationalConstants
   2615.9 ms  ✓ Scratch
   2204.8 ms  ✓ InverseFunctions
   3086.6 ms  ✓ Compat
   2614.6 ms  ✓ NaNMath
   3811.6 ms  ✓ Preferences
   2415.1 ms  ✓ StackViews
  11094.8 ms  ✓ MacroTools
   2296.2 ms  ✓ PaddedViews
   2305.0 ms  ✓ Ratios
   2292.7 ms  ✓ Adapt
   5303.2 ms  ✓ LazyArtifacts
   4599.4 ms  ✓ FillArrays → FillArraysStatisticsExt
  14897.7 ms  ✓ BaseDirs
   2599.1 ms  ✓ AliasTables
   2120.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1814.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   6894.5 ms  ✓ PkgVersion
   7802.4 ms  ✓ InteractiveUtils
   1987.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2414.6 ms  ✓ Missings
   2212.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2090.1 ms  ✓ RelocatableFolders
   2117.7 ms  ✓ Compat → CompatLinearAlgebraExt
   4292.4 ms  ✓ Tables
   9305.1 ms  ✓ Distributed
   2118.2 ms  ✓ PrecompileTools
   2398.5 ms  ✓ JLLWrappers
   2898.9 ms  ✓ LogExpFunctions
   6590.5 ms  ✓ AdaptivePredicates
   3786.7 ms  ✓ AxisArrays
   2602.7 ms  ✓ MosaicViews
   2209.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2107.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11206.1 ms  ✓ FixedPointNumbers
   4288.5 ms  ✓ ComputePipeline
   4106.5 ms  ✓ StructArrays
   3307.6 ms  ✓ SharedArrays
   3711.9 ms  ✓ SimpleTraits
   4609.2 ms  ✓ FilePathsBase
   3886.4 ms  ✓ ProgressMeter
   3408.0 ms  ✓ OpenSSL_jll
   6192.6 ms  ✓ ChainRulesCore
   2604.2 ms  ✓ Graphite2_jll
   2776.6 ms  ✓ Libmount_jll
   2687.9 ms  ✓ LLVMOpenMP_jll
   2795.4 ms  ✓ Bzip2_jll
   7406.6 ms  ✓ DataStructures
   2689.8 ms  ✓ Rmath_jll
