nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1089.6 ms  ✓ MozillaCACerts_jll
   1121.5 ms  ✓ Unicode
   1164.4 ms  ✓ Zlib_jll
   1241.9 ms  ✓ Logging
   1278.5 ms  ✓ nghttp2_jll
   1283.5 ms  ✓ UUIDs
   1277.0 ms  ✓ p7zip_jll
   1369.3 ms  ✓ MbedTLS_jll
   1432.3 ms  ✓ NetworkOptions
   1382.5 ms  ✓ Base64
    584.0 ms  ✓ Printf
    363.9 ms  ✓ LibSSH2_jll
    489.6 ms  ✓ LibGit2_jll
    487.9 ms  ✓ LibCURL_jll
   2390.6 ms  ✓ ArgTools
    618.3 ms  ✓ LibCURL
    616.5 ms  ✓ Tar
   2562.7 ms  ✓ Dates
   3183.2 ms  ✓ Markdown
   2528.0 ms  ✓ LibGit2
    546.9 ms  ✓ TOML
   3228.1 ms  ✓ Downloads
  44261.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1899.8 ms  ✓ IteratorInterfaceExtensions
   1912.4 ms  ✓ RangeArrays
   1932.2 ms  ✓ LaTeXStrings
   2002.8 ms  ✓ StatsAPI
   2000.2 ms  ✓ Contour
   2094.9 ms  ✓ PolygonOps
   2203.6 ms  ✓ IndirectArrays
   2293.3 ms  ✓ TensorCore
   2316.6 ms  ✓ TriplotBase
   2323.0 ms  ✓ CEnum
   2990.0 ms  ✓ AbstractFFTs
   3768.1 ms  ✓ Serialization
   2207.5 ms  ✓ OpenLibm_jll
   2391.4 ms  ✓ InverseFunctions
   2308.3 ms  ✓ SuiteSparse_jll
   2570.0 ms  ✓ Statistics
   2521.6 ms  ✓ CompilerSupportLibraries_jll
   5176.0 ms  ✓ FillArrays
   2869.9 ms  ✓ OrderedCollections
   5222.9 ms  ✓ OffsetArrays
   3282.4 ms  ✓ IterTools
   3100.2 ms  ✓ Observables
   2004.7 ms  ✓ DataValueInterfaces
   3117.5 ms  ✓ Requires
   3936.6 ms  ✓ Grisu
   6275.6 ms  ✓ Format
   2284.6 ms  ✓ EnumX
   2228.6 ms  ✓ Reexport
   2803.2 ms  ✓ StableRNGs
   2865.2 ms  ✓ DocStringExtensions
   2401.6 ms  ✓ RoundingEmulator
   2207.0 ms  ✓ Mmap
   2668.9 ms  ✓ IntervalSets
   2129.9 ms  ✓ Extents
   1986.2 ms  ✓ PtrArrays
   3036.2 ms  ✓ AbstractTrees
   2294.6 ms  ✓ PCRE2_jll
   2172.5 ms  ✓ LazyModules
   2914.5 ms  ✓ TranscodingStreams
   1824.8 ms  ✓ CRC32c
   2132.6 ms  ✓ DataAPI
   2619.4 ms  ✓ Inflate
   2507.6 ms  ✓ ConstructionBase
   2026.1 ms  ✓ StaticArraysCore
   2168.9 ms  ✓ MappedArrays
   2976.2 ms  ✓ Scratch
   6088.4 ms  ✓ IrrationalConstants
   2665.2 ms  ✓ Missings
   3683.8 ms  ✓ Compat
   3997.0 ms  ✓ Preferences
  11205.2 ms  ✓ MacroTools
   7015.4 ms  ✓ AdaptivePredicates
   3574.2 ms  ✓ NaNMath
  14701.0 ms  ✓ BaseDirs
   4998.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3004.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   5706.9 ms  ✓ PkgVersion
   6072.0 ms  ✓ LazyArtifacts
   2137.6 ms  ✓ Ratios
   2791.0 ms  ✓ StackViews
   2803.1 ms  ✓ Adapt
   2990.2 ms  ✓ PaddedViews
   8500.4 ms  ✓ InteractiveUtils
   2199.2 ms  ✓ Showoff
   1930.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1899.7 ms  ✓ TableTraits
   2258.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2579.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2826.8 ms  ✓ AliasTables
   2531.1 ms  ✓ RelocatableFolders
   2801.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2005.4 ms  ✓ Compat → CompatLinearAlgebraExt
   9808.0 ms  ✓ Distributed
   3072.4 ms  ✓ LogExpFunctions
   2696.7 ms  ✓ JLLWrappers
   2774.7 ms  ✓ PrecompileTools
   2498.9 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   8137.5 ms  ✓ DataStructures
   3307.2 ms  ✓ ComputePipeline
   2775.4 ms  ✓ MosaicViews
   3791.4 ms  ✓ SimpleTraits
  11698.0 ms  ✓ FixedPointNumbers
   3810.0 ms  ✓ AxisArrays
   2267.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3007.9 ms  ✓ SharedArrays
   3716.8 ms  ✓ Tables
   2988.6 ms  ✓ OpenSSL_jll
   3027.5 ms  ✓ Graphite2_jll
   4312.8 ms  ✓ ProgressMeter
   5009.2 ms  ✓ FilePathsBase
   2809.6 ms  ✓ Libmount_jll
   2748.7 ms  ✓ LLVMOpenMP_jll
   2693.3 ms  ✓ Bzip2_jll
   2897.0 ms  ✓ Xorg_libXau_jll
   3166.2 ms  ✓ libpng_jll
   3435.3 ms  ✓ Rmath_jll
   2704.5 ms  ✓ libfdk_aac_jll
   6876.1 ms  ✓ ChainRulesCore
   3270.4 ms  ✓ Imath_jll
   3160.5 ms  ✓ Giflib_jll
   2982.9 ms  ✓ LAME_jll
  17484.3 ms  ✓ SparseArrays
   2968.6 ms  ✓ LERC_jll
   3091.6 ms  ✓ EarCut_jll
   2798.3 ms  ✓ CRlibm_jll
   2933.9 ms  ✓ JpegTurbo_jll
   2897.9 ms  ✓ Ogg_jll
   3498.9 ms  ✓ XZ_jll
   3696.2 ms  ✓ oneTBB_jll
   3402.0 ms  ✓ Xorg_libXdmcp_jll
   3106.2 ms  ✓ x265_jll
   6291.1 ms  ✓ IntelOpenMP_jll
   2809.8 ms  ✓ x264_jll
   2900.5 ms  ✓ libaom_jll
   2812.8 ms  ✓ Expat_jll
   3399.6 ms  ✓ Zstd_jll
   2812.7 ms  ✓ Xorg_xtrans_jll
   3527.6 ms  ✓ LZO_jll
   3067.4 ms  ✓ Opus_jll
   2993.7 ms  ✓ Libffi_jll
   3770.4 ms  ✓ Libiconv_jll
   3594.6 ms  ✓ isoband_jll
   3128.0 ms  ✓ Libuuid_jll
   3399.6 ms  ✓ FFTW_jll
   3428.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   3698.4 ms  ✓ FriBidi_jll
   3517.3 ms  ✓ OpenSpecFun_jll
  20732.1 ms  ✓ FileIO
   3302.7 ms  ✓ SortingAlgorithms
   2313.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3495.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4894.7 ms  ✓ QuadGK
  19767.0 ms  ✓ Test
   3702.5 ms  ✓ Pixman_jll
   4465.4 ms  ✓ StructArrays
   3290.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4299.9 ms  ✓ FreeType2_jll
   4572.4 ms  ✓ FilePaths
   4468.4 ms  ✓ Rmath
   2433.2 ms  ✓ SuiteSparse
   3009.7 ms  ✓ WoodburyMatrices
   2824.9 ms  ✓ Statistics → SparseArraysExt
   2610.6 ms  ✓ Adapt → AdaptSparseArraysExt
   3513.6 ms  ✓ OpenEXR_jll
   7831.6 ms  ✓ ColorTypes
   3232.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2901.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3098.9 ms  ✓ CRlibm
   3807.5 ms  ✓ libsixel_jll
   7487.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3197.4 ms  ✓ libvorbis_jll
   2892.9 ms  ✓ Libtiff_jll
   3057.4 ms  ✓ Isoband
   3620.9 ms  ✓ GettextRuntime_jll
   3004.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2083.2 ms  ✓ SignedDistanceFields
   2969.0 ms  ✓ StructArrays → StructArraysAdaptExt
   2420.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2897.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   6576.4 ms  ✓ MKL_jll
   4812.0 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   6705.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   8190.4 ms  ✓ Xorg_libxcb_jll
   4519.0 ms  ✓ PDMats
   4903.9 ms  ✓ Fontconfig_jll
   3732.1 ms  ✓ AxisAlgorithms
   6665.8 ms  ✓ FreeType
   3082.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   4406.5 ms  ✓ Glib_jll
   8011.7 ms  ✓ QOI
   5506.1 ms  ✓ Xorg_libX11_jll
  53897.0 ms  ✓ StyledStrings
  16079.7 ms  ✓ SpecialFunctions
  10182.3 ms  ✓ ColorVectorSpace
   2773.7 ms  ✓ Xorg_libXext_jll
   3372.4 ms  ✓ Xorg_libXrender_jll
  12295.6 ms  ✓ StatsBase
   2591.8 ms  ✓ ColorTypes → StyledStringsExt
   2818.9 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3426.3 ms  ✓ Libglvnd_jll
  13458.9 ms  ✓ IntervalArithmetic
   4366.5 ms  ✓ HypergeometricFunctions
  30694.1 ms  ✓ StaticArrays
   4903.3 ms  ✓ Cairo_jll
   2692.9 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   7389.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3299.9 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3100.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3610.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3692.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4183.8 ms  ✓ libwebp_jll
   3037.6 ms  ✓ Adapt → AdaptStaticArraysExt
   5916.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3400.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3618.4 ms  ✓ HarfBuzz_jll
  22184.0 ms  ✓ Colors
   8804.3 ms  ✓ StatsFuns
  39904.8 ms  ✓ SIMD
   3584.5 ms  ✓ libass_jll
   4278.7 ms  ✓ Pango_jll
   2729.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3195.1 ms  ✓ Animations
   3303.0 ms  ✓ Graphics
  11067.6 ms  ✓ Interpolations
  10011.4 ms  ✓ OpenEXR
   7503.0 ms  ✓ FFMPEG_jll
