nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1205.3 ms  ✓ Logging
   1223.3 ms  ✓ Unicode
   1225.8 ms  ✓ Zlib_jll
   1235.2 ms  ✓ MozillaCACerts_jll
   1296.7 ms  ✓ UUIDs
   1293.3 ms  ✓ nghttp2_jll
   1385.8 ms  ✓ NetworkOptions
   1345.8 ms  ✓ MbedTLS_jll
   1392.7 ms  ✓ p7zip_jll
   1409.8 ms  ✓ Base64
    371.7 ms  ✓ LibSSH2_jll
    514.4 ms  ✓ Printf
    471.6 ms  ✓ LibGit2_jll
    472.7 ms  ✓ LibCURL_jll
   2355.8 ms  ✓ ArgTools
    627.5 ms  ✓ LibCURL
    593.0 ms  ✓ Tar
   2549.6 ms  ✓ Dates
   3161.5 ms  ✓ Markdown
   2535.9 ms  ✓ LibGit2
    519.0 ms  ✓ TOML
   3184.0 ms  ✓ Downloads
  44407.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 51 seconds
Precompiling project...
   1983.2 ms  ✓ LaTeXStrings
   1974.4 ms  ✓ CEnum
   1978.9 ms  ✓ StatsAPI
   2023.2 ms  ✓ PolygonOps
   2119.8 ms  ✓ TensorCore
   2172.2 ms  ✓ Contour
   2309.9 ms  ✓ TriplotBase
   2581.9 ms  ✓ RangeArrays
   2687.6 ms  ✓ IteratorInterfaceExtensions
   2825.8 ms  ✓ AbstractFFTs
   2878.8 ms  ✓ IndirectArrays
   3465.9 ms  ✓ Serialization
   2243.1 ms  ✓ OpenLibm_jll
   4403.1 ms  ✓ FillArrays
   2540.8 ms  ✓ InverseFunctions
   2543.6 ms  ✓ SuiteSparse_jll
   2740.6 ms  ✓ Statistics
   2607.2 ms  ✓ IterTools
   3157.0 ms  ✓ CompilerSupportLibraries_jll
   2403.4 ms  ✓ Requires
   5315.0 ms  ✓ OffsetArrays
   2560.8 ms  ✓ Observables
   1905.0 ms  ✓ DataValueInterfaces
   5562.4 ms  ✓ Format
   3238.2 ms  ✓ OrderedCollections
   2156.8 ms  ✓ EnumX
   1865.7 ms  ✓ Reexport
   4045.3 ms  ✓ Grisu
   2760.7 ms  ✓ StableRNGs
   2888.9 ms  ✓ DocStringExtensions
   2343.2 ms  ✓ IntervalSets
   2392.5 ms  ✓ RoundingEmulator
   2294.1 ms  ✓ Extents
   2202.5 ms  ✓ PtrArrays
   2446.9 ms  ✓ Mmap
   2356.2 ms  ✓ PCRE2_jll
   2105.0 ms  ✓ LazyModules
   2596.4 ms  ✓ TranscodingStreams
   1971.6 ms  ✓ CRC32c
   2500.2 ms  ✓ Inflate
   2290.6 ms  ✓ DataAPI
   2404.2 ms  ✓ ConstructionBase
   2495.2 ms  ✓ StaticArraysCore
   2540.2 ms  ✓ MappedArrays
   5439.1 ms  ✓ IrrationalConstants
   3098.5 ms  ✓ Scratch
   2160.8 ms  ✓ TableTraits
   4037.9 ms  ✓ Preferences
   3495.6 ms  ✓ Compat
   7489.5 ms  ✓ AdaptivePredicates
   3759.5 ms  ✓ NaNMath
  11897.5 ms  ✓ MacroTools
   2544.1 ms  ✓ FillArrays → FillArraysStatisticsExt
  14819.0 ms  ✓ BaseDirs
   4267.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5231.1 ms  ✓ LazyArtifacts
   2544.6 ms  ✓ Ratios
   3204.4 ms  ✓ AbstractTrees
