Precompiling Pkg...
   1073.2 ms  ✓ MozillaCACerts_jll
   1077.0 ms  ✓ Logging
   1076.0 ms  ✓ nghttp2_jll
   1160.5 ms  ✓ UUIDs
   1156.3 ms  ✓ Unicode
   1157.9 ms  ✓ p7zip_jll
   1221.0 ms  ✓ NetworkOptions
   1183.8 ms  ✓ Zlib_jll
   1193.0 ms  ✓ MbedTLS_jll
   1259.5 ms  ✓ Base64
    338.3 ms  ✓ LibSSH2_jll
    452.1 ms  ✓ Printf
    431.3 ms  ✓ LibGit2_jll
    526.3 ms  ✓ LibCURL_jll
   2080.3 ms  ✓ ArgTools
    569.8 ms  ✓ LibCURL
    571.5 ms  ✓ Tar
   2520.7 ms  ✓ Dates
   2922.7 ms  ✓ Markdown
   2361.1 ms  ✓ LibGit2
    369.4 ms  ✓ TOML
   3045.0 ms  ✓ Downloads
  39362.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1750.3 ms  ✓ IteratorInterfaceExtensions
   1847.8 ms  ✓ RangeArrays
   1853.4 ms  ✓ IndirectArrays
   1852.7 ms  ✓ PolygonOps
   1927.2 ms  ✓ StatsAPI
   2014.6 ms  ✓ CEnum
   2031.8 ms  ✓ LaTeXStrings
   2040.2 ms  ✓ Contour
   2043.3 ms  ✓ TensorCore
   2114.9 ms  ✓ TriplotBase
   2947.8 ms  ✓ AbstractFFTs
   3307.3 ms  ✓ Serialization
   2374.9 ms  ✓ OpenLibm_jll
   2300.4 ms  ✓ InverseFunctions
   4318.0 ms  ✓ FillArrays
   2315.8 ms  ✓ SuiteSparse_jll
   2590.3 ms  ✓ Statistics
   2527.6 ms  ✓ CompilerSupportLibraries_jll
   2601.2 ms  ✓ IterTools
   2424.4 ms  ✓ Observables
   2699.2 ms  ✓ OrderedCollections
   4912.2 ms  ✓ OffsetArrays
   2113.5 ms  ✓ DataValueInterfaces
   5426.3 ms  ✓ Format
   2697.7 ms  ✓ Requires
   1815.6 ms  ✓ EnumX
   1707.4 ms  ✓ Reexport
   4178.7 ms  ✓ Grisu
   2313.5 ms  ✓ StableRNGs
   2490.7 ms  ✓ DocStringExtensions
   2391.9 ms  ✓ IntervalSets
   2106.0 ms  ✓ Mmap
   1683.7 ms  ✓ PtrArrays
   2316.3 ms  ✓ RoundingEmulator
   2696.3 ms  ✓ AbstractTrees
   2308.8 ms  ✓ Extents
   2204.0 ms  ✓ PCRE2_jll
   2119.3 ms  ✓ LazyModules
