nice: cannot set niceness: Permission denied
Precompiling Pkg...
    969.2 ms  ✓ Logging
    979.9 ms  ✓ MozillaCACerts_jll
   1194.3 ms  ✓ UUIDs
   1187.9 ms  ✓ Base64
   1232.7 ms  ✓ nghttp2_jll
   1237.7 ms  ✓ Unicode
   1340.8 ms  ✓ NetworkOptions
   1301.0 ms  ✓ MbedTLS_jll
   1327.1 ms  ✓ Zlib_jll
   1374.7 ms  ✓ p7zip_jll
    402.1 ms  ✓ LibSSH2_jll
    500.6 ms  ✓ Printf
    484.8 ms  ✓ LibCURL_jll
   2198.2 ms  ✓ ArgTools
    494.9 ms  ✓ LibGit2_jll
    593.6 ms  ✓ LibCURL
    600.7 ms  ✓ Tar
   2606.4 ms  ✓ Dates
   3205.4 ms  ✓ Markdown
   2435.0 ms  ✓ LibGit2
    413.8 ms  ✓ TOML
   3180.5 ms  ✓ Downloads
  43146.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 49 seconds
Precompiling project...
   1928.0 ms  ✓ IteratorInterfaceExtensions
   1970.2 ms  ✓ RangeArrays
   2033.1 ms  ✓ LaTeXStrings
   2127.9 ms  ✓ IndirectArrays
   2151.0 ms  ✓ CEnum
   2169.7 ms  ✓ StatsAPI
   2167.9 ms  ✓ Contour
   2227.4 ms  ✓ TensorCore
   2357.0 ms  ✓ TriplotBase
   2628.4 ms  ✓ PolygonOps
   3029.2 ms  ✓ AbstractFFTs
   3443.7 ms  ✓ Serialization
   2189.1 ms  ✓ OpenLibm_jll
   2504.4 ms  ✓ InverseFunctions
   2531.4 ms  ✓ CompilerSupportLibraries_jll
   2489.2 ms  ✓ SuiteSparse_jll
   2691.0 ms  ✓ Statistics
   4839.7 ms  ✓ FillArrays
   2302.3 ms  ✓ Observables
   2960.3 ms  ✓ IterTools
   2793.8 ms  ✓ OrderedCollections
   5207.8 ms  ✓ OffsetArrays
   2300.0 ms  ✓ DataValueInterfaces
   6051.1 ms  ✓ Format
   2002.2 ms  ✓ EnumX
   3144.6 ms  ✓ Requires
   1955.3 ms  ✓ Reexport
