nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1230.7 ms  ✓ Unicode
   1233.2 ms  ✓ MozillaCACerts_jll
   1237.9 ms  ✓ UUIDs
   1234.9 ms  ✓ MbedTLS_jll
   1233.6 ms  ✓ Zlib_jll
   1287.8 ms  ✓ Logging
   1368.1 ms  ✓ p7zip_jll
   1369.8 ms  ✓ nghttp2_jll
   1364.8 ms  ✓ Base64
   1437.5 ms  ✓ NetworkOptions
    486.8 ms  ✓ LibSSH2_jll
    549.2 ms  ✓ Printf
    530.6 ms  ✓ LibGit2_jll
    559.3 ms  ✓ LibCURL_jll
   2348.2 ms  ✓ ArgTools
    592.1 ms  ✓ LibCURL
    613.3 ms  ✓ Tar
   2682.9 ms  ✓ Dates
   3112.8 ms  ✓ Markdown
   2488.4 ms  ✓ LibGit2
    419.1 ms  ✓ TOML
   3262.9 ms  ✓ Downloads
  43594.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   2006.2 ms  ✓ LaTeXStrings
   2041.1 ms  ✓ CEnum
   2048.3 ms  ✓ IteratorInterfaceExtensions
   2112.0 ms  ✓ RangeArrays
   2103.1 ms  ✓ TensorCore
   2108.0 ms  ✓ Contour
   2187.7 ms  ✓ PolygonOps
   2292.4 ms  ✓ StatsAPI
   2607.3 ms  ✓ IndirectArrays
   2635.7 ms  ✓ TriplotBase
   3203.1 ms  ✓ AbstractFFTs
   3425.1 ms  ✓ Serialization
   2109.2 ms  ✓ OpenLibm_jll
   2365.0 ms  ✓ InverseFunctions
   4678.8 ms  ✓ FillArrays
   2699.2 ms  ✓ SuiteSparse_jll
   2790.6 ms  ✓ CompilerSupportLibraries_jll
   3115.7 ms  ✓ Statistics
   2514.2 ms  ✓ Observables
   5376.1 ms  ✓ Format
   1951.9 ms  ✓ DataValueInterfaces
   3293.0 ms  ✓ IterTools
   2896.1 ms  ✓ OrderedCollections
   2519.3 ms  ✓ Requires
   5795.8 ms  ✓ OffsetArrays
   2499.2 ms  ✓ EnumX
   2089.3 ms  ✓ Reexport
   4751.7 ms  ✓ Grisu
   2453.9 ms  ✓ StableRNGs
   2794.5 ms  ✓ DocStringExtensions
   1982.0 ms  ✓ PtrArrays
   2408.0 ms  ✓ IntervalSets
   2497.1 ms  ✓ RoundingEmulator
   2507.3 ms  ✓ Mmap
   2983.7 ms  ✓ AbstractTrees
   2787.8 ms  ✓ Extents
   2995.5 ms  ✓ PCRE2_jll
   2165.2 ms  ✓ LazyModules
   2701.7 ms  ✓ TranscodingStreams
   2347.2 ms  ✓ Inflate
   1811.9 ms  ✓ CRC32c
   2095.0 ms  ✓ DataAPI
   2110.7 ms  ✓ StaticArraysCore
   2136.2 ms  ✓ MappedArrays
