nice: cannot set niceness: Permission denied
Precompiling packages...
   1936.5 ms  ✓ NetworkOptions
   1952.8 ms  ✓ Logging
   1987.9 ms  ✓ Zlib_jll
   2028.6 ms  ✓ Unicode
   2034.9 ms  ✓ MozillaCACerts_jll
   2065.8 ms  ✓ UUIDs
   2126.7 ms  ✓ nghttp2_jll
   2294.8 ms  ✓ Base64
   2395.2 ms  ✓ OpenSSL_jll
   2374.2 ms  ✓ p7zip_jll
    655.8 ms  ✓ LibSSH2_jll
   1149.8 ms  ✓ Printf
    685.7 ms  ✓ LibCURL_jll
    813.8 ms  ✓ LibGit2_jll
   4901.9 ms  ✓ ArgTools
   1254.0 ms  ✓ LibCURL
   1004.4 ms  ✓ Tar
   3773.9 ms  ✓ Dates
   3723.6 ms  ✓ LibGit2
    752.6 ms  ✓ TOML
   4234.4 ms  ✓ Downloads
  13748.0 ms  ✓ StyledStrings
   2755.0 ms  ✓ JuliaSyntaxHighlighting
   6220.2 ms  ✓ Markdown
  94133.7 ms  ✓ Pkg
  25 dependencies successfully precompiled in 117 seconds
Precompiling packages...
   1824.9 ms  ✓ IteratorInterfaceExtensions
   2403.1 ms  ✓ StatsAPI
   2474.5 ms  ✓ Contour
   2606.9 ms  ✓ RangeArrays
   2602.8 ms  ✓ PolygonOps
   2772.4 ms  ✓ TensorCore
   3155.3 ms  ✓ CEnum
   3369.8 ms  ✓ LaTeXStrings
   3214.8 ms  ✓ TriplotBase
   3835.9 ms  ✓ IndirectArrays
   4243.1 ms  ✓ AbstractFFTs
   4746.1 ms  ✓ Serialization
   2538.8 ms  ✓ CompilerSupportLibraries_jll
   5204.3 ms  ✓ FillArrays
   2716.1 ms  ✓ SuiteSparse_jll
   4104.2 ms  ✓ OpenLibm_jll
   1278.1 ms  ✓ DataValueInterfaces
   3117.9 ms  ✓ Observables
   4945.1 ms  ✓ InverseFunctions
   7363.4 ms  ✓ Format
   2196.6 ms  ✓ EnumX
   2260.8 ms  ✓ Reexport
   5663.9 ms  ✓ Statistics
   5003.4 ms  ✓ OrderedCollections
   5197.9 ms  ✓ Grisu
   2643.0 ms  ✓ DocStringExtensions
   6122.3 ms  ✓ IterTools
   3966.2 ms  ✓ StableRNGs
   2298.7 ms  ✓ RoundingEmulator
   3652.7 ms  ✓ AbstractTrees
   9842.2 ms  ✓ OffsetArrays
   3270.7 ms  ✓ IntervalSets
   6706.1 ms  ✓ Requires
   2626.7 ms  ✓ PCRE2_jll
   2898.5 ms  ✓ PtrArrays
   3776.2 ms  ✓ Mmap
   2087.9 ms  ✓ CRC32c
   4472.6 ms  ✓ Extents
   3800.4 ms  ✓ LazyModules
   4317.6 ms  ✓ TranscodingStreams
   2145.7 ms  ✓ MappedArrays
   3717.8 ms  ✓ Inflate
   3667.6 ms  ✓ DataAPI
   3175.2 ms  ✓ StaticArraysCore
   2783.4 ms  ✓ Scratch
   4692.2 ms  ✓ ConstructionBase
   8438.4 ms  ✓ IrrationalConstants
   4484.8 ms  ✓ StructUtils
   2848.9 ms  ✓ TableTraits
   7680.6 ms  ✓ AdaptivePredicates
   4045.3 ms  ✓ Compat
   3282.8 ms  ✓ NaNMath
   3709.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2688.7 ms  ✓ Showoff
   6596.5 ms  ✓ LazyArtifacts
   7226.2 ms  ✓ Preferences
   4375.1 ms  ✓ FillArrays → FillArraysStatisticsExt
  16938.9 ms  ✓ MacroTools
   3654.3 ms  ✓ StackViews
  20523.0 ms  ✓ BaseDirs
   2482.8 ms  ✓ IntervalSets → IntervalSetsRandomExt
   9130.2 ms  ✓ InteractiveUtils
   3749.9 ms  ✓ PaddedViews
   1794.1 ms  ✓ Ratios
   2643.7 ms  ✓ Adapt
   3938.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
