nice: cannot set niceness: Permission denied
Precompiling packages...
   1602.0 ms  ✓ UUIDs
   1706.1 ms  ✓ Logging
   1745.3 ms  ✓ OpenSSL_jll
   1711.9 ms  ✓ MozillaCACerts_jll
   1730.9 ms  ✓ nghttp2_jll
   1808.1 ms  ✓ CompilerSupportLibraries_jll
   1807.7 ms  ✓ Zlib_jll
   1824.2 ms  ✓ NetworkOptions
   1825.4 ms  ✓ Unicode
   1834.5 ms  ✓ Base64
    523.9 ms  ✓ LibSSH2_jll
    547.5 ms  ✓ p7zip_jll
    655.3 ms  ✓ Printf
    488.3 ms  ✓ LibCURL_jll
    490.0 ms  ✓ LibGit2_jll
   3274.1 ms  ✓ ArgTools
    780.9 ms  ✓ LibCURL
    662.2 ms  ✓ Tar
   2890.7 ms  ✓ Dates
   3021.5 ms  ✓ LibGit2
    456.2 ms  ✓ TOML
   2968.3 ms  ✓ Downloads
   9225.8 ms  ✓ StyledStrings
   1641.2 ms  ✓ JuliaSyntaxHighlighting
   3705.5 ms  ✓ Markdown
  46186.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2526.3 ms  ✓ IteratorInterfaceExtensions
   2627.3 ms  ✓ RangeArrays
   2717.2 ms  ✓ LaTeXStrings
   2800.1 ms  ✓ IndirectArrays
   2799.4 ms  ✓ PolygonOps
   2795.6 ms  ✓ Contour
   2812.3 ms  ✓ StatsAPI
   2917.1 ms  ✓ TensorCore
   3212.4 ms  ✓ TriplotBase
   3324.7 ms  ✓ AbstractFFTs
   4387.7 ms  ✓ Serialization
   2499.4 ms  ✓ OpenLibm_jll
   2977.7 ms  ✓ InverseFunctions
   5902.0 ms  ✓ FillArrays
   3218.7 ms  ✓ SuiteSparse_jll
   6212.2 ms  ✓ OffsetArrays
   3601.5 ms  ✓ Statistics
   3615.7 ms  ✓ IterTools
   2887.1 ms  ✓ DataValueInterfaces
   4597.1 ms  ✓ Requires
   2992.8 ms  ✓ EnumX
   8011.5 ms  ✓ Format
   2824.2 ms  ✓ StableRNGs
   2604.4 ms  ✓ Reexport
   9307.8 ms  ✓ CEnum
   3298.0 ms  ✓ DocStringExtensions
   3094.5 ms  ✓ IntervalSets
   3598.9 ms  ✓ AbstractTrees
   2915.9 ms  ✓ RoundingEmulator
   2486.5 ms  ✓ PtrArrays
   2897.4 ms  ✓ Extents
   3006.0 ms  ✓ Mmap
   2703.2 ms  ✓ PCRE2_jll
   3688.2 ms  ✓ TranscodingStreams
   3010.2 ms  ✓ Inflate
   2600.6 ms  ✓ DataAPI
   2388.2 ms  ✓ CRC32c
   9796.9 ms  ✓ Observables
   2888.1 ms  ✓ MappedArrays
   2901.2 ms  ✓ StaticArraysCore
  10981.2 ms  ✓ OrderedCollections
  11786.3 ms  ✓ Grisu
   2781.7 ms  ✓ Scratch
   2321.7 ms  ✓ TableTraits
   7305.6 ms  ✓ AdaptivePredicates
   3816.7 ms  ✓ Preferences
   2603.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9792.5 ms  ✓ LazyModules
   9491.8 ms  ✓ ConstructionBase
   5499.3 ms  ✓ LazyArtifacts
   2990.6 ms  ✓ StackViews
  13711.4 ms  ✓ IrrationalConstants
   2708.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   8393.3 ms  ✓ PkgVersion
   3403.5 ms  ✓ PaddedViews
  11300.2 ms  ✓ StructUtils
   2804.8 ms  ✓ Adapt
  10376.9 ms  ✓ Compat
  23534.0 ms  ✓ BaseDirs
  21203.2 ms  ✓ MacroTools
   4709.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2587.0 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2786.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   9813.7 ms  ✓ NaNMath
   2979.9 ms  ✓ AliasTables
   2814.2 ms  ✓ Showoff
  13900.1 ms  ✓ InteractiveUtils
   3117.4 ms  ✓ RelocatableFolders
   2604.6 ms  ✓ PrecompileTools
   3388.6 ms  ✓ JLLWrappers
   2585.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2602.8 ms  ✓ Ratios
   2803.0 ms  ✓ MosaicViews
   3586.9 ms  ✓ LogExpFunctions
   2785.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2515.2 ms  ✓ Compat → CompatLinearAlgebraExt
   9413.3 ms  ✓ DataStructures
   4882.0 ms  ✓ AxisArrays
   9896.8 ms  ✓ Missings
  18998.8 ms  ✓ Distributed
   4695.5 ms  ✓ SimpleTraits
  12088.5 ms  ✓ Tables
   3988.3 ms  ✓ LLVMOpenMP_jll
   4474.4 ms  ✓ Graphite2_jll
  12001.4 ms  ✓ ComputePipeline
   4711.4 ms  ✓ Libmount_jll
   3708.3 ms  ✓ Bzip2_jll
   3701.0 ms  ✓ Rmath_jll
  18809.9 ms  ✓ FixedPointNumbers
   4115.8 ms  ✓ libfdk_aac_jll
   3906.7 ms  ✓ Imath_jll
   3707.0 ms  ✓ Giflib_jll
   3812.3 ms  ✓ LAME_jll
   5796.1 ms  ✓ libpng_jll
   6196.1 ms  ✓ Xorg_libXau_jll
   4692.3 ms  ✓ LERC_jll
  23090.8 ms  ✓ FileIO
   6802.1 ms  ✓ IntelOpenMP_jll
   3996.2 ms  ✓ EarCut_jll
   4010.8 ms  ✓ CRlibm_jll
   4602.8 ms  ✓ JpegTurbo_jll
   4389.9 ms  ✓ XZ_jll
   4091.3 ms  ✓ Ogg_jll
  29702.3 ms  ✓ SparseArrays
   3796.8 ms  ✓ Xorg_libXdmcp_jll
   3596.7 ms  ✓ x265_jll
   3908.8 ms  ✓ x264_jll
   4016.4 ms  ✓ libaom_jll
   3992.1 ms  ✓ Zstd_jll
   3494.5 ms  ✓ Xorg_xtrans_jll
   4203.0 ms  ✓ Expat_jll
   7620.0 ms  ✓ oneTBB_jll
   3800.5 ms  ✓ LZO_jll
   3817.8 ms  ✓ Opus_jll
   3997.7 ms  ✓ Libffi_jll
   4496.1 ms  ✓ Libiconv_jll
   4193.0 ms  ✓ isoband_jll
   3894.3 ms  ✓ OpenSpecFun_jll
   4894.5 ms  ✓ FFTW_jll
   3894.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   4398.4 ms  ✓ Libuuid_jll
   4480.5 ms  ✓ FriBidi_jll
   3902.2 ms  ✓ SortingAlgorithms
  27103.4 ms  ✓ Test
   6606.6 ms  ✓ FilePathsBase
   2492.3 ms  ✓ StructUtils → StructUtilsTablesExt
   4404.6 ms  ✓ SharedArrays
   7398.8 ms  ✓ MKL_jll
   3612.3 ms  ✓ Pixman_jll
   5499.6 ms  ✓ ProgressMeter
   4212.7 ms  ✓ FreeType2_jll
   2419.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4285.6 ms  ✓ Rmath
   3691.9 ms  ✓ CRlibm
   3893.0 ms  ✓ libsixel_jll
   4904.7 ms  ✓ OpenEXR_jll
   3390.9 ms  ✓ SuiteSparse
   3588.9 ms  ✓ WoodburyMatrices
   4093.7 ms  ✓ libvorbis_jll
   3914.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
  12209.6 ms  ✓ QuadGK
   3614.0 ms  ✓ Statistics → SparseArraysExt
  11198.3 ms  ✓ StructArrays
   2496.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3407.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2709.2 ms  ✓ Isoband
  15385.7 ms  ✓ ChainRulesCore
   4294.9 ms  ✓ Libtiff_jll
   2299.6 ms  ✓ SignedDistanceFields
   4805.4 ms  ✓ GettextRuntime_jll
   3104.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
