nice: cannot set niceness: Permission denied
Precompiling packages...
   1957.5 ms  ✓ LazyArtifacts
   1971.8 ms  ✓ IteratorInterfaceExtensions
   2061.6 ms  ✓ PolygonOps
   2062.6 ms  ✓ IndirectArrays
   2209.6 ms  ✓ RangeArrays
   2051.4 ms  ✓ CEnum
   2146.2 ms  ✓ LaTeXStrings
   2143.4 ms  ✓ StatsAPI
   2168.8 ms  ✓ Contour
   2276.1 ms  ✓ TensorCore
   2343.7 ms  ✓ TriplotBase
   2678.4 ms  ✓ AbstractFFTs
   2091.6 ms  ✓ OpenLibm_jll
   2197.0 ms  ✓ CompilerSupportLibraries_jll
   2407.1 ms  ✓ InverseFunctions
   2598.0 ms  ✓ SuiteSparse_jll
   4835.0 ms  ✓ OffsetArrays
   2812.0 ms  ✓ PkgVersion
   5046.1 ms  ✓ Format
   3016.9 ms  ✓ StructUtils
   3031.6 ms  ✓ IterTools
   3212.5 ms  ✓ Grisu
   3578.8 ms  ✓ Preferences
   4299.2 ms  ✓ FillArrays
   1912.4 ms  ✓ DataValueInterfaces
   2794.9 ms  ✓ Compat
   1999.0 ms  ✓ EnumX
   1973.0 ms  ✓ Reexport
   2802.8 ms  ✓ OrderedCollections
   2304.9 ms  ✓ Requires
   1900.6 ms  ✓ Zlib_jll
   2685.2 ms  ✓ Observables
   2291.0 ms  ✓ StableRNGs
   2891.8 ms  ✓ DocStringExtensions
   2607.7 ms  ✓ AbstractTrees
   2183.5 ms  ✓ PCRE2_jll
   2192.4 ms  ✓ Ratios
   2304.5 ms  ✓ PtrArrays
   2683.9 ms  ✓ IntervalSets
   2299.7 ms  ✓ LazyModules
   2811.7 ms  ✓ RoundingEmulator
   2798.1 ms  ✓ Extents
   8695.3 ms  ✓ Distributed
   3399.7 ms  ✓ Inflate
   2598.7 ms  ✓ Scratch
   3093.8 ms  ✓ ConstructionBase
   2795.7 ms  ✓ DataAPI
   2511.7 ms  ✓ NaNMath
   2999.3 ms  ✓ TableTraits
  10781.5 ms  ✓ MacroTools
   3412.2 ms  ✓ MappedArrays
   3700.3 ms  ✓ StaticArraysCore
   6895.8 ms  ✓ IrrationalConstants
   2501.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6210.7 ms  ✓ UnicodeFun
  13372.5 ms  ✓ BaseDirs
  13754.1 ms  ✓ Test
   2316.8 ms  ✓ StackViews
   2394.3 ms  ✓ RelocatableFolders
   2323.0 ms  ✓ Showoff
   2101.1 ms  ✓ PrecompileTools
   1813.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2684.1 ms  ✓ JLLWrappers
   7898.2 ms  ✓ AdaptivePredicates
   2105.4 ms  ✓ Adapt
   2295.2 ms  ✓ AliasTables
   2115.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2904.8 ms  ✓ TranscodingStreams
   3295.2 ms  ✓ ComputePipeline
   1906.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2389.6 ms  ✓ PaddedViews
   2600.6 ms  ✓ SharedArrays
   2179.5 ms  ✓ Missings
   3408.9 ms  ✓ ProgressMeter
   3011.3 ms  ✓ LogExpFunctions
   2403.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3302.6 ms  ✓ SimpleTraits
   3516.1 ms  ✓ Tables
   2520.5 ms  ✓ OpenSSL_jll
   2291.2 ms  ✓ Graphite2_jll
   3497.6 ms  ✓ FilePathsBase
   7190.7 ms  ✓ DataStructures
   2394.4 ms  ✓ LLVMOpenMP_jll
   2471.7 ms  ✓ Libmount_jll
   2404.8 ms  ✓ Bzip2_jll
   2398.6 ms  ✓ Rmath_jll
   5308.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2494.1 ms  ✓ Xorg_libXau_jll
   1898.6 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   5328.8 ms  ✓ ChainRulesCore
   2309.8 ms  ✓ libpng_jll
   2421.8 ms  ✓ Giflib_jll
   2505.1 ms  ✓ LAME_jll
   2605.4 ms  ✓ IntelOpenMP_jll
   2792.9 ms  ✓ LERC_jll
   3498.8 ms  ✓ libfdk_aac_jll
   3285.6 ms  ✓ EarCut_jll
   2587.1 ms  ✓ Ogg_jll
   2997.9 ms  ✓ XZ_jll
  12308.5 ms  ✓ FileIO
   3497.3 ms  ✓ CRlibm_jll
   3502.8 ms  ✓ JpegTurbo_jll
   3099.8 ms  ✓ oneTBB_jll
   2706.2 ms  ✓ x264_jll
   3483.2 ms  ✓ x265_jll
   3499.5 ms  ✓ Xorg_libXdmcp_jll
   3106.3 ms  ✓ libaom_jll
   2913.6 ms  ✓ Zstd_jll
  15683.3 ms  ✓ SparseArrays
   2605.7 ms  ✓ Expat_jll
