nice: cannot set niceness: Permission denied
Precompiling packages...
   1519.6 ms  ✓ nghttp2_jll
   1524.5 ms  ✓ UUIDs
   1600.5 ms  ✓ Logging
   1619.7 ms  ✓ MozillaCACerts_jll
   1639.9 ms  ✓ NetworkOptions
   1742.1 ms  ✓ OpenSSL_jll
   1704.9 ms  ✓ Zlib_jll
   1736.9 ms  ✓ Unicode
   1745.9 ms  ✓ CompilerSupportLibraries_jll
   1829.0 ms  ✓ Base64
    483.4 ms  ✓ LibSSH2_jll
    579.1 ms  ✓ p7zip_jll
    684.0 ms  ✓ Printf
    466.4 ms  ✓ LibGit2_jll
    475.5 ms  ✓ LibCURL_jll
   3209.2 ms  ✓ ArgTools
    796.6 ms  ✓ LibCURL
    649.0 ms  ✓ Tar
   2934.2 ms  ✓ Dates
   3040.0 ms  ✓ LibGit2
    449.9 ms  ✓ TOML
   2964.7 ms  ✓ Downloads
   9090.6 ms  ✓ StyledStrings
   1628.6 ms  ✓ JuliaSyntaxHighlighting
   3735.8 ms  ✓ Markdown
  46427.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2494.4 ms  ✓ IteratorInterfaceExtensions
   2586.6 ms  ✓ IndirectArrays
   2686.2 ms  ✓ RangeArrays
   2683.2 ms  ✓ LaTeXStrings
   2781.8 ms  ✓ PolygonOps
   2778.2 ms  ✓ Contour
   2791.5 ms  ✓ StatsAPI
   2792.7 ms  ✓ TensorCore
   3180.0 ms  ✓ TriplotBase
   3588.3 ms  ✓ AbstractFFTs
   4256.0 ms  ✓ Serialization
   2691.4 ms  ✓ OpenLibm_jll
   3005.2 ms  ✓ InverseFunctions
   5885.9 ms  ✓ OffsetArrays
   3115.8 ms  ✓ SuiteSparse_jll
   5967.6 ms  ✓ FillArrays
   3399.2 ms  ✓ Statistics
   3602.0 ms  ✓ IterTools
   2606.1 ms  ✓ DataValueInterfaces
   7771.1 ms  ✓ Format
   2905.2 ms  ✓ EnumX
   2471.9 ms  ✓ Reexport
   2792.6 ms  ✓ StableRNGs
   5188.4 ms  ✓ Requires
   9377.4 ms  ✓ CEnum
   3408.1 ms  ✓ AbstractTrees
   3602.6 ms  ✓ DocStringExtensions
   3395.3 ms  ✓ IntervalSets
   2903.4 ms  ✓ RoundingEmulator
   2803.1 ms  ✓ Mmap
   2630.5 ms  ✓ PtrArrays
   2710.3 ms  ✓ PCRE2_jll
   3298.5 ms  ✓ Extents
   2595.2 ms  ✓ DataAPI
   3605.4 ms  ✓ TranscodingStreams
   9200.7 ms  ✓ Observables
   3082.5 ms  ✓ Inflate
   2497.4 ms  ✓ CRC32c
  10700.5 ms  ✓ OrderedCollections
   2899.4 ms  ✓ StaticArraysCore
   3004.1 ms  ✓ MappedArrays
  12395.6 ms  ✓ Grisu
   2391.5 ms  ✓ TableTraits
   3917.2 ms  ✓ Preferences
   7199.9 ms  ✓ AdaptivePredicates
   8896.2 ms  ✓ LazyModules
   5676.7 ms  ✓ LazyArtifacts
   2705.8 ms  ✓ StackViews
   2889.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10193.0 ms  ✓ ConstructionBase
   2890.6 ms  ✓ PaddedViews
  15384.3 ms  ✓ IrrationalConstants
   9407.1 ms  ✓ Missings
  19188.7 ms  ✓ MacroTools
   9189.5 ms  ✓ PkgVersion
  11694.1 ms  ✓ StructUtils
   3783.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   3504.4 ms  ✓ Ratios
  24002.1 ms  ✓ BaseDirs
  11096.8 ms  ✓ Compat
   2510.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2504.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3301.5 ms  ✓ Adapt
  13395.0 ms  ✓ InteractiveUtils
   2707.7 ms  ✓ Scratch
   3006.0 ms  ✓ AliasTables
   9689.6 ms  ✓ NaNMath
   2911.9 ms  ✓ Showoff
   2773.2 ms  ✓ PrecompileTools
   2601.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3206.0 ms  ✓ JLLWrappers
   2514.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2789.1 ms  ✓ MosaicViews
   2601.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2421.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3597.8 ms  ✓ LogExpFunctions
   4504.4 ms  ✓ AxisArrays
   3102.8 ms  ✓ RelocatableFolders
   9613.6 ms  ✓ DataStructures
   4799.1 ms  ✓ SimpleTraits
  18405.1 ms  ✓ Distributed
   3985.7 ms  ✓ Graphite2_jll
  10910.4 ms  ✓ ComputePipeline
  11493.2 ms  ✓ Tables
   4494.2 ms  ✓ Libmount_jll
   3793.2 ms  ✓ LLVMOpenMP_jll
   3894.7 ms  ✓ Bzip2_jll
   3885.8 ms  ✓ Rmath_jll
   4198.4 ms  ✓ Xorg_libXau_jll
   3889.3 ms  ✓ libpng_jll
   3888.8 ms  ✓ libfdk_aac_jll
  20778.0 ms  ✓ FixedPointNumbers
   5399.7 ms  ✓ Imath_jll
   4686.9 ms  ✓ Giflib_jll
  20431.4 ms  ✓ FileIO
   4416.2 ms  ✓ LAME_jll
   4899.8 ms  ✓ LERC_jll
   4592.9 ms  ✓ CRlibm_jll
   4716.9 ms  ✓ EarCut_jll
   7610.3 ms  ✓ IntelOpenMP_jll
   4210.1 ms  ✓ JpegTurbo_jll
   3601.1 ms  ✓ XZ_jll
   3803.7 ms  ✓ Ogg_jll
   4421.0 ms  ✓ Xorg_libXdmcp_jll
   3724.8 ms  ✓ x264_jll
  28606.3 ms  ✓ SparseArrays
   3906.8 ms  ✓ x265_jll
   3813.8 ms  ✓ Expat_jll
   4277.3 ms  ✓ libaom_jll
   4106.5 ms  ✓ Zstd_jll
   3802.2 ms  ✓ LZO_jll
   4096.4 ms  ✓ Opus_jll
   3610.4 ms  ✓ Xorg_xtrans_jll
   8203.0 ms  ✓ oneTBB_jll
   3616.6 ms  ✓ Libffi_jll
   3707.1 ms  ✓ isoband_jll
   3984.1 ms  ✓ Libiconv_jll
   3906.1 ms  ✓ FFTW_jll
   4103.2 ms  ✓ OpenSpecFun_jll
   4498.6 ms  ✓ Libuuid_jll
   4000.5 ms  ✓ FriBidi_jll
  26300.4 ms  ✓ Test
   2482.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4497.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   3097.3 ms  ✓ SortingAlgorithms
   2491.2 ms  ✓ StructUtils → StructUtilsTablesExt
   3792.5 ms  ✓ SharedArrays
   5009.3 ms  ✓ ProgressMeter
   7487.0 ms  ✓ FilePathsBase
   3897.5 ms  ✓ Pixman_jll
   3894.4 ms  ✓ FreeType2_jll
   2512.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   4210.1 ms  ✓ Rmath
   3294.6 ms  ✓ CRlibm
   5007.8 ms  ✓ OpenEXR_jll
   3781.3 ms  ✓ libsixel_jll
   3193.4 ms  ✓ SuiteSparse
   4100.5 ms  ✓ libvorbis_jll
   3794.3 ms  ✓ WoodburyMatrices
  11502.3 ms  ✓ QuadGK
  10703.4 ms  ✓ StructArrays
   3292.3 ms  ✓ Statistics → SparseArraysExt
  14185.6 ms  ✓ ChainRulesCore
   3614.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2599.2 ms  ✓ Isoband
   3135.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3993.5 ms  ✓ Libtiff_jll
   2389.0 ms  ✓ SignedDistanceFields
   4302.3 ms  ✓ GettextRuntime_jll
   3300.3 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3798.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  14094.7 ms  ✓ ColorTypes
   7792.2 ms  ✓ MKL_jll
  11791.9 ms  ✓ Xorg_libxcb_jll
   4204.9 ms  ✓ FilePaths
   7180.9 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   4994.0 ms  ✓ FreeType
   8199.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3691.9 ms  ✓ AxisAlgorithms
   3013.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2811.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   5499.8 ms  ✓ Fontconfig_jll
   5395.4 ms  ✓ PDMats
   4508.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
  46904.2 ms  ✓ StaticArrays
