nice: cannot set niceness: Permission denied
Precompiling packages...
   1525.6 ms  ✓ nghttp2_jll
   1558.6 ms  ✓ Unicode
   1651.4 ms  ✓ UUIDs
   1680.3 ms  ✓ OpenSSL_jll
   1661.5 ms  ✓ Logging
   1659.8 ms  ✓ MozillaCACerts_jll
   1747.9 ms  ✓ Zlib_jll
   1819.7 ms  ✓ CompilerSupportLibraries_jll
   1834.2 ms  ✓ Base64
   1863.5 ms  ✓ NetworkOptions
    535.1 ms  ✓ LibSSH2_jll
    794.4 ms  ✓ Printf
    599.8 ms  ✓ p7zip_jll
    492.2 ms  ✓ LibGit2_jll
    511.2 ms  ✓ LibCURL_jll
   3196.5 ms  ✓ ArgTools
    780.9 ms  ✓ LibCURL
    655.5 ms  ✓ Tar
   2970.8 ms  ✓ Dates
   3059.1 ms  ✓ LibGit2
    454.5 ms  ✓ TOML
   2962.0 ms  ✓ Downloads
   9121.2 ms  ✓ StyledStrings
   1662.6 ms  ✓ JuliaSyntaxHighlighting
   3742.2 ms  ✓ Markdown
  46132.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2516.0 ms  ✓ IteratorInterfaceExtensions
   2552.8 ms  ✓ RangeArrays
   2621.4 ms  ✓ LaTeXStrings
   2649.4 ms  ✓ StatsAPI
   2660.9 ms  ✓ IndirectArrays
   2750.0 ms  ✓ PolygonOps
   2816.1 ms  ✓ Contour
   2856.6 ms  ✓ TensorCore
   3346.5 ms  ✓ TriplotBase
   3459.3 ms  ✓ AbstractFFTs
   4337.8 ms  ✓ Serialization
   2704.5 ms  ✓ OpenLibm_jll
   2771.9 ms  ✓ InverseFunctions
   5629.3 ms  ✓ FillArrays
   3087.8 ms  ✓ SuiteSparse_jll
   6112.3 ms  ✓ OffsetArrays
   3500.1 ms  ✓ IterTools
   3623.5 ms  ✓ Statistics
   2699.7 ms  ✓ DataValueInterfaces
   7738.9 ms  ✓ Format
   2213.6 ms  ✓ Reexport
   2696.5 ms  ✓ EnumX
   2628.6 ms  ✓ StableRNGs
   4803.8 ms  ✓ Requires
   3696.1 ms  ✓ DocStringExtensions
   9458.6 ms  ✓ CEnum
   3402.6 ms  ✓ AbstractTrees
   3302.2 ms  ✓ IntervalSets
   3090.5 ms  ✓ RoundingEmulator
   2524.5 ms  ✓ PtrArrays
   2601.6 ms  ✓ PCRE2_jll
   3111.6 ms  ✓ Mmap
   3088.2 ms  ✓ Extents
   3900.5 ms  ✓ TranscodingStreams
   2832.3 ms  ✓ Inflate
   2477.1 ms  ✓ DataAPI
   9362.0 ms  ✓ Observables
   2807.3 ms  ✓ CRC32c
   3105.7 ms  ✓ StaticArraysCore
   2992.3 ms  ✓ MappedArrays
  11294.7 ms  ✓ OrderedCollections
   2888.8 ms  ✓ Scratch
  12624.6 ms  ✓ Grisu
   2300.9 ms  ✓ TableTraits
   3742.1 ms  ✓ Preferences
   7315.4 ms  ✓ AdaptivePredicates
   8990.6 ms  ✓ LazyModules
   9204.2 ms  ✓ ConstructionBase
   2597.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5863.8 ms  ✓ LazyArtifacts
   2963.9 ms  ✓ StackViews
  14101.3 ms  ✓ IrrationalConstants
   7506.7 ms  ✓ PkgVersion
  10500.6 ms  ✓ StructUtils
   3198.4 ms  ✓ PaddedViews
   2500.6 ms  ✓ Ratios
   3505.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   3927.8 ms  ✓ Adapt
  21011.9 ms  ✓ MacroTools
   2470.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
  10903.2 ms  ✓ Compat
   2990.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
  24653.6 ms  ✓ BaseDirs
   3205.2 ms  ✓ AliasTables
  10107.5 ms  ✓ NaNMath
   2580.2 ms  ✓ Showoff
   3100.3 ms  ✓ RelocatableFolders
   2490.3 ms  ✓ PrecompileTools
  14228.8 ms  ✓ InteractiveUtils
   3092.8 ms  ✓ JLLWrappers
   2388.9 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2601.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2520.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2591.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2897.7 ms  ✓ MosaicViews
   3318.6 ms  ✓ LogExpFunctions
   3909.1 ms  ✓ AxisArrays
   9596.9 ms  ✓ Missings
   4703.6 ms  ✓ Graphite2_jll
  17117.0 ms  ✓ Distributed
   9964.7 ms  ✓ DataStructures
   4481.7 ms  ✓ SimpleTraits
   3598.3 ms  ✓ Libmount_jll
  10774.0 ms  ✓ ComputePipeline
   3832.7 ms  ✓ LLVMOpenMP_jll
   3698.7 ms  ✓ Bzip2_jll
  11741.0 ms  ✓ Tables
   3782.9 ms  ✓ Rmath_jll
   3820.9 ms  ✓ Xorg_libXau_jll
   3813.4 ms  ✓ libpng_jll
   3627.2 ms  ✓ Imath_jll
   4462.4 ms  ✓ libfdk_aac_jll
   3891.5 ms  ✓ Giflib_jll
   3889.1 ms  ✓ LAME_jll
   3603.0 ms  ✓ EarCut_jll
   4807.2 ms  ✓ LERC_jll
   6595.3 ms  ✓ IntelOpenMP_jll
  23401.3 ms  ✓ FixedPointNumbers
   4298.0 ms  ✓ CRlibm_jll
  26903.8 ms  ✓ SparseArrays
  23203.9 ms  ✓ FileIO
   4465.4 ms  ✓ JpegTurbo_jll
   4296.4 ms  ✓ Xorg_libXdmcp_jll
   5036.7 ms  ✓ XZ_jll
   5276.8 ms  ✓ Ogg_jll
   4205.4 ms  ✓ x265_jll
   3704.4 ms  ✓ x264_jll
   4401.0 ms  ✓ libaom_jll
   4366.1 ms  ✓ Zstd_jll
   3701.0 ms  ✓ LZO_jll
   3884.9 ms  ✓ Expat_jll
   3735.4 ms  ✓ Opus_jll
   3510.5 ms  ✓ Xorg_xtrans_jll
   8410.7 ms  ✓ oneTBB_jll
   3793.1 ms  ✓ Libiconv_jll
   3823.6 ms  ✓ Libffi_jll
   3691.7 ms  ✓ isoband_jll
   4090.6 ms  ✓ FFTW_jll
   2207.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3841.8 ms  ✓ Libuuid_jll
   4189.4 ms  ✓ OpenSpecFun_jll
   3799.2 ms  ✓ OpenBLASConsistentFPCSR_jll
   4193.0 ms  ✓ FriBidi_jll
   3972.6 ms  ✓ SharedArrays
   3107.4 ms  ✓ SortingAlgorithms
   2497.8 ms  ✓ StructUtils → StructUtilsTablesExt
   6189.7 ms  ✓ FilePathsBase
   5176.8 ms  ✓ ProgressMeter
   3916.3 ms  ✓ FreeType2_jll
   4890.0 ms  ✓ Pixman_jll
  26567.3 ms  ✓ Test
   2401.3 ms  ✓ Ratios → RatiosFixedPointNumbersExt
