nice: cannot set niceness: Permission denied
Precompiling packages...
   1980.2 ms  ✓ LaTeXStrings
   1984.9 ms  ✓ IteratorInterfaceExtensions
   2141.1 ms  ✓ RangeArrays
   1990.2 ms  ✓ PolygonOps
   1988.0 ms  ✓ LazyArtifacts
   1985.4 ms  ✓ CEnum
   2069.2 ms  ✓ IndirectArrays
   2072.5 ms  ✓ StatsAPI
   2178.0 ms  ✓ Contour
   2270.9 ms  ✓ TensorCore
   2248.2 ms  ✓ TriplotBase
   2784.0 ms  ✓ AbstractFFTs
   1982.6 ms  ✓ OpenLibm_jll
   2295.4 ms  ✓ InverseFunctions
   4303.9 ms  ✓ FillArrays
   2488.8 ms  ✓ CompilerSupportLibraries_jll
   2461.4 ms  ✓ SuiteSparse_jll
   2513.7 ms  ✓ IterTools
   4646.0 ms  ✓ OffsetArrays
   2616.3 ms  ✓ PkgVersion
   2978.4 ms  ✓ StructUtils
   5049.7 ms  ✓ Format
   3109.7 ms  ✓ Grisu
   2898.2 ms  ✓ Compat
   3493.0 ms  ✓ Preferences
   1906.3 ms  ✓ DataValueInterfaces
   1937.4 ms  ✓ EnumX
   1888.9 ms  ✓ Zlib_jll
   2059.8 ms  ✓ StableRNGs
   1959.2 ms  ✓ Reexport
   2698.8 ms  ✓ OrderedCollections
   2315.6 ms  ✓ Requires
   2485.5 ms  ✓ Observables
   2607.7 ms  ✓ DocStringExtensions
   2686.8 ms  ✓ AbstractTrees
   2501.6 ms  ✓ IntervalSets
   2491.0 ms  ✓ RoundingEmulator
   1809.9 ms  ✓ PtrArrays
   2029.6 ms  ✓ PCRE2_jll
   2782.4 ms  ✓ Extents
   2496.3 ms  ✓ LazyModules
   2597.5 ms  ✓ Inflate
   3015.6 ms  ✓ TranscodingStreams
   2293.3 ms  ✓ ConstructionBase
   2206.2 ms  ✓ DataAPI
   8171.4 ms  ✓ Distributed
   2311.5 ms  ✓ Scratch
   2683.4 ms  ✓ StaticArraysCore
   2099.8 ms  ✓ TableTraits
   2811.9 ms  ✓ MappedArrays
   2403.9 ms  ✓ NaNMath
   5105.4 ms  ✓ UnicodeFun
   6686.3 ms  ✓ IrrationalConstants
   2303.6 ms  ✓ StackViews
   2493.8 ms  ✓ PaddedViews
   3318.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
