nice: cannot set niceness: Permission denied
Precompiling packages...
    771.5 ms  ✓ TensorCore
    846.4 ms  ✓ Reexport
    845.1 ms  ✓ MappedArrays
    950.0 ms  ✓ ConstructionBase
    667.9 ms  ✓ DataValueInterfaces
    660.5 ms  ✓ StatsAPI
    604.7 ms  ✓ CRC32c
    686.6 ms  ✓ RoundingEmulator
    745.2 ms  ✓ Observables
   1978.4 ms  ✓ IrrationalConstants
    725.0 ms  ✓ PolygonOps
    996.2 ms  ✓ IterTools
    741.6 ms  ✓ IntervalSets
   2054.2 ms  ✓ Format
    790.2 ms  ✓ CEnum
    878.0 ms  ✓ Inflate
    755.2 ms  ✓ Contour
    929.0 ms  ✓ TranscodingStreams
    735.6 ms  ✓ LaTeXStrings
    918.4 ms  ✓ Statistics
    801.2 ms  ✓ StaticArraysCore
    744.8 ms  ✓ StableRNGs
   1350.8 ms  ✓ SuiteSparse_jll
    745.4 ms  ✓ Mmap
    712.9 ms  ✓ DataAPI
   1797.0 ms  ✓ SignedDistanceFields
   2056.7 ms  ✓ AdaptivePredicates
   1379.3 ms  ✓ Grisu
   1044.5 ms  ✓ LazyModules
    990.5 ms  ✓ InverseFunctions
    779.1 ms  ✓ MuladdMacro
   1144.3 ms  ✓ AbstractTrees
    849.6 ms  ✓ EnumX
    995.0 ms  ✓ AbstractFFTs
   8784.5 ms  ✓ MacroTools
   1127.2 ms  ✓ OpenLibm_jll
    634.9 ms  ✓ IntegerMathUtils
    667.8 ms  ✓ IndirectArrays
    795.9 ms  ✓ TriplotBase
   1556.8 ms  ✓ FillArrays
    791.4 ms  ✓ Extents
    783.7 ms  ✓ RangeArrays
    896.2 ms  ✓ OrderedCollections
   1010.6 ms  ✓ Serialization
    827.9 ms  ✓ DocStringExtensions
    631.2 ms  ✓ IteratorInterfaceExtensions
    698.9 ms  ✓ Scratch
   1253.0 ms  ✓ Requires
   2031.5 ms  ✓ OffsetArrays
   1874.1 ms  ✓ InteractiveUtils
   1015.1 ms  ✓ StructUtils
    787.9 ms  ✓ Compat
    741.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    578.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
    776.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3164.2 ms  ✓ Preferences
   6073.1 ms  ✓ BaseDirs
    620.7 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
    668.7 ms  ✓ PtrArrays
   4015.8 ms  ✓ PkgVersion
    696.7 ms  ✓ Missings
    693.8 ms  ✓ Showoff
    652.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    767.7 ms  ✓ NaNMath
    823.4 ms  ✓ Primes
    733.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   4751.1 ms  ✓ FixedPointNumbers
   2500.6 ms  ✓ DataStructures
    863.1 ms  ✓ LogExpFunctions
    587.1 ms  ✓ TableTraits
    770.7 ms  ✓ RelocatableFolders
    791.4 ms  ✓ Ratios
   3831.2 ms  ✓ Distributed
    818.0 ms  ✓ Adapt
    674.2 ms  ✓ PaddedViews
    566.6 ms  ✓ StackViews
   1058.1 ms  ✓ SimpleTraits
   6104.9 ms  ✓ SparseArrays
    681.6 ms  ✓ Compat → CompatLinearAlgebraExt
    699.7 ms  ✓ PrecompileTools
   1138.4 ms  ✓ AxisArrays
    736.3 ms  ✓ JLLWrappers
    959.0 ms  ✓ ComputePipeline
    760.4 ms  ✓ AliasTables
   1453.7 ms  ✓ FFTA
    920.5 ms  ✓ SortingAlgorithms
   2431.8 ms  ✓ ColorTypes
   7944.6 ms  ✓ FileIO
    615.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1318.8 ms  ✓ QuadGK
    694.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1213.8 ms  ✓ Tables
    956.9 ms  ✓ SharedArrays
    632.9 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   1196.8 ms  ✓ ProgressMeter
    854.7 ms  ✓ MosaicViews
    878.8 ms  ✓ WoodburyMatrices
    884.7 ms  ✓ Statistics → SparseArraysExt
    963.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
    779.6 ms  ✓ SuiteSparse
    833.8 ms  ✓ Adapt → AdaptSparseArraysExt
   1340.6 ms  ✓ FilePathsBase
   1906.9 ms  ✓ ChainRulesCore
