nice: cannot set niceness: Permission denied
Precompiling packages...
   1583.7 ms  ✓ Unicode
   1585.7 ms  ✓ MozillaCACerts_jll
   1592.9 ms  ✓ nghttp2_jll
   1667.8 ms  ✓ Logging
   1678.2 ms  ✓ UUIDs
   1725.8 ms  ✓ OpenSSL_jll
   1740.3 ms  ✓ Zlib_jll
   1770.1 ms  ✓ NetworkOptions
   1786.1 ms  ✓ CompilerSupportLibraries_jll
   1818.3 ms  ✓ Base64
    500.2 ms  ✓ LibSSH2_jll
    558.2 ms  ✓ p7zip_jll
    777.7 ms  ✓ Printf
    474.3 ms  ✓ LibGit2_jll
    482.3 ms  ✓ LibCURL_jll
   3284.3 ms  ✓ ArgTools
    751.9 ms  ✓ LibCURL
    628.0 ms  ✓ Tar
   2960.9 ms  ✓ Dates
    453.3 ms  ✓ TOML
   3111.9 ms  ✓ LibGit2
   3037.6 ms  ✓ Downloads
   9297.9 ms  ✓ StyledStrings
   1678.7 ms  ✓ JuliaSyntaxHighlighting
   3750.8 ms  ✓ Markdown
  46650.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2619.4 ms  ✓ RangeArrays
   2626.4 ms  ✓ IteratorInterfaceExtensions
   2700.4 ms  ✓ MuladdMacro
   2697.2 ms  ✓ PolygonOps
   2728.5 ms  ✓ IndirectArrays
   2812.6 ms  ✓ TensorCore
   2900.1 ms  ✓ StatsAPI
   2926.1 ms  ✓ LaTeXStrings
   3115.3 ms  ✓ Contour
   3116.8 ms  ✓ TriplotBase
   3515.6 ms  ✓ AbstractFFTs
   2804.1 ms  ✓ IntegerMathUtils
   2807.1 ms  ✓ OpenLibm_jll
   2916.7 ms  ✓ InverseFunctions
   3024.8 ms  ✓ SuiteSparse_jll
   5998.4 ms  ✓ OffsetArrays
   6001.7 ms  ✓ FillArrays
   3388.9 ms  ✓ Statistics
   3511.9 ms  ✓ IterTools
   4194.8 ms  ✓ Serialization
   7593.3 ms  ✓ Format
   2604.9 ms  ✓ DataValueInterfaces
   2321.5 ms  ✓ Reexport
   2797.6 ms  ✓ EnumX
   2785.7 ms  ✓ StableRNGs
   3882.7 ms  ✓ DocStringExtensions
   3882.4 ms  ✓ AbstractTrees
   3181.4 ms  ✓ IntervalSets
  10007.9 ms  ✓ CEnum
   4809.0 ms  ✓ Requires
   3000.9 ms  ✓ RoundingEmulator
   2705.6 ms  ✓ PtrArrays
   3077.3 ms  ✓ Mmap
   2685.7 ms  ✓ PCRE2_jll
   3178.1 ms  ✓ Extents
   3082.3 ms  ✓ Inflate
   2899.5 ms  ✓ DataAPI
   3714.5 ms  ✓ TranscodingStreams
   2510.6 ms  ✓ CRC32c
  10203.5 ms  ✓ Observables
  10795.0 ms  ✓ OrderedCollections
   3003.7 ms  ✓ StaticArraysCore
   3206.1 ms  ✓ MappedArrays
  12704.1 ms  ✓ Grisu
   2614.1 ms  ✓ Scratch
   2429.6 ms  ✓ TableTraits
   7405.5 ms  ✓ AdaptivePredicates
   4077.3 ms  ✓ Preferences
   3516.9 ms  ✓ Primes
   2598.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2797.6 ms  ✓ StackViews
  10220.7 ms  ✓ LazyModules
   2981.9 ms  ✓ PaddedViews
  10468.4 ms  ✓ ConstructionBase
  14487.7 ms  ✓ IrrationalConstants
  10892.1 ms  ✓ StructUtils
   2400.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2323.8 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   9506.4 ms  ✓ PkgVersion
   4997.6 ms  ✓ FillArrays → FillArraysStatisticsExt
  24127.8 ms  ✓ BaseDirs
   3409.1 ms  ✓ Ratios
  21493.9 ms  ✓ MacroTools
  11400.6 ms  ✓ Compat
   3316.2 ms  ✓ Adapt
   8006.5 ms  ✓ SignedDistanceFields
   3000.3 ms  ✓ AliasTables
   2675.4 ms  ✓ Showoff
   2797.6 ms  ✓ RelocatableFolders
  11303.1 ms  ✓ NaNMath
   3086.0 ms  ✓ JLLWrappers
   2510.0 ms  ✓ PrecompileTools
   2604.2 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
  14779.5 ms  ✓ InteractiveUtils
   2494.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
