nice: cannot set niceness: Permission denied
Precompiling packages...
   1513.2 ms  ✓ Zlib_jll
   1528.2 ms  ✓ Unicode
   1565.0 ms  ✓ OpenSSL_jll
   1625.1 ms  ✓ UUIDs
   1653.1 ms  ✓ MozillaCACerts_jll
   1731.2 ms  ✓ Logging
   1747.1 ms  ✓ nghttp2_jll
   1841.6 ms  ✓ CompilerSupportLibraries_jll
   1861.4 ms  ✓ NetworkOptions
   1925.5 ms  ✓ Base64
    638.2 ms  ✓ LibSSH2_jll
    881.8 ms  ✓ Printf
    604.3 ms  ✓ p7zip_jll
    494.9 ms  ✓ LibGit2_jll
    498.2 ms  ✓ LibCURL_jll
   3280.2 ms  ✓ ArgTools
    760.2 ms  ✓ LibCURL
    639.0 ms  ✓ Tar
   2947.4 ms  ✓ Dates
   3052.3 ms  ✓ LibGit2
    447.9 ms  ✓ TOML
   2960.8 ms  ✓ Downloads
   9270.0 ms  ✓ StyledStrings
   1635.6 ms  ✓ JuliaSyntaxHighlighting
   3788.4 ms  ✓ Markdown
  46731.5 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2524.8 ms  ✓ IteratorInterfaceExtensions
   2614.1 ms  ✓ MuladdMacro
   2619.8 ms  ✓ RangeArrays
   2709.8 ms  ✓ StatsAPI
   2727.1 ms  ✓ IndirectArrays
   2809.1 ms  ✓ PolygonOps
   2915.6 ms  ✓ LaTeXStrings
   2920.7 ms  ✓ Contour
   3003.0 ms  ✓ TensorCore
   3301.7 ms  ✓ TriplotBase
   3521.4 ms  ✓ AbstractFFTs
   2578.1 ms  ✓ IntegerMathUtils
   2810.9 ms  ✓ OpenLibm_jll
   2904.1 ms  ✓ InverseFunctions
   5899.6 ms  ✓ FillArrays
   3102.9 ms  ✓ SuiteSparse_jll
   3390.1 ms  ✓ Statistics
   6114.9 ms  ✓ OffsetArrays
   3701.1 ms  ✓ Serialization
   3604.7 ms  ✓ IterTools
   2583.7 ms  ✓ DataValueInterfaces
   2610.5 ms  ✓ EnumX
   8296.7 ms  ✓ Format
   2504.1 ms  ✓ Reexport
   2672.0 ms  ✓ StableRNGs
   4400.1 ms  ✓ Requires
   3404.1 ms  ✓ DocStringExtensions
   3502.7 ms  ✓ AbstractTrees
   3306.1 ms  ✓ IntervalSets
  10319.1 ms  ✓ CEnum
   2916.4 ms  ✓ RoundingEmulator
   2563.6 ms  ✓ PtrArrays
   2609.4 ms  ✓ PCRE2_jll
   3082.6 ms  ✓ Mmap
   3005.9 ms  ✓ Extents
   3082.7 ms  ✓ Inflate
   3508.2 ms  ✓ TranscodingStreams
   2524.4 ms  ✓ CRC32c
   2778.0 ms  ✓ DataAPI
  10772.8 ms  ✓ OrderedCollections
  10694.8 ms  ✓ Observables
   3002.8 ms  ✓ StaticArraysCore
   2999.9 ms  ✓ MappedArrays
   2701.8 ms  ✓ Scratch
  12998.4 ms  ✓ Grisu
   2368.4 ms  ✓ TableTraits
   7365.1 ms  ✓ AdaptivePredicates
   3292.6 ms  ✓ Primes
   3906.6 ms  ✓ Preferences
   2721.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10476.7 ms  ✓ LazyModules
   2683.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2900.9 ms  ✓ StackViews
  10577.9 ms  ✓ ConstructionBase
   2892.8 ms  ✓ PaddedViews
  15403.9 ms  ✓ IrrationalConstants
   7790.4 ms  ✓ PkgVersion
  20096.9 ms  ✓ MacroTools
   6718.0 ms  ✓ SignedDistanceFields
   3105.4 ms  ✓ Adapt
   2900.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   4112.3 ms  ✓ Ratios
  24721.3 ms  ✓ BaseDirs
