nice: cannot set niceness: Permission denied
Precompiling packages...
   2026.3 ms  ✓ MuladdMacro
   2030.0 ms  ✓ IndirectArrays
   2030.5 ms  ✓ IteratorInterfaceExtensions
   2031.2 ms  ✓ PolygonOps
   2032.5 ms  ✓ LaTeXStrings
   2025.6 ms  ✓ CEnum
   2039.0 ms  ✓ StatsAPI
   2366.3 ms  ✓ RangeArrays
   2223.2 ms  ✓ TensorCore
   2232.3 ms  ✓ Contour
   2311.4 ms  ✓ TriplotBase
   2936.3 ms  ✓ AbstractFFTs
   1895.9 ms  ✓ IntegerMathUtils
   1897.0 ms  ✓ TableTraits
   1990.6 ms  ✓ OpenLibm_jll
   2198.6 ms  ✓ CompilerSupportLibraries_jll
   2477.5 ms  ✓ InverseFunctions
   4608.2 ms  ✓ FillArrays
   2498.3 ms  ✓ SuiteSparse_jll
   2891.1 ms  ✓ IterTools
   2984.0 ms  ✓ StructUtils
   5016.6 ms  ✓ OffsetArrays
   2918.3 ms  ✓ PkgVersion
   5290.5 ms  ✓ Format
   3489.1 ms  ✓ Grisu
   3104.1 ms  ✓ Preferences
   2394.3 ms  ✓ Observables
   1925.6 ms  ✓ DataValueInterfaces
   2605.9 ms  ✓ Compat
   2377.5 ms  ✓ Requires
   2700.2 ms  ✓ OrderedCollections
   1996.9 ms  ✓ EnumX
   1708.0 ms  ✓ Reexport
   2004.1 ms  ✓ StableRNGs
   2002.9 ms  ✓ Zlib_jll
   2793.5 ms  ✓ AbstractTrees
   2895.8 ms  ✓ DocStringExtensions
   1696.3 ms  ✓ PtrArrays
   2308.8 ms  ✓ IntervalSets
   2388.2 ms  ✓ RoundingEmulator
   1917.3 ms  ✓ PCRE2_jll
   1985.4 ms  ✓ LazyModules
   2406.7 ms  ✓ Extents
   2493.5 ms  ✓ Inflate
   2270.8 ms  ✓ ConstructionBase
   2983.2 ms  ✓ TranscodingStreams
   2190.6 ms  ✓ DataAPI
   2081.3 ms  ✓ Scratch
   2302.6 ms  ✓ AliasTables
   2567.2 ms  ✓ MappedArrays
   5699.8 ms  ✓ IrrationalConstants
   2611.0 ms  ✓ NaNMath
   2291.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5491.3 ms  ✓ UnicodeFun
   3468.2 ms  ✓ Primes
   2215.2 ms  ✓ PaddedViews
   2814.6 ms  ✓ StackViews
   2503.0 ms  ✓ Showoff
  12830.4 ms  ✓ BaseDirs
  10598.1 ms  ✓ MacroTools
   2603.7 ms  ✓ JLLWrappers
   2436.4 ms  ✓ PrecompileTools
   2003.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2420.2 ms  ✓ Ratios
   2169.9 ms  ✓ Adapt
   3407.4 ms  ✓ ComputePipeline
   1870.8 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2198.4 ms  ✓ StaticArraysCore
   1896.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   8199.6 ms  ✓ DataStructures
   2207.1 ms  ✓ Missings
   1901.8 ms  ✓ RelocatableFolders
   3882.8 ms  ✓ Tables
   2530.5 ms  ✓ MosaicViews
   3391.2 ms  ✓ LogExpFunctions
   2199.6 ms  ✓ Graphite2_jll
   2301.5 ms  ✓ Libmount_jll
   2526.6 ms  ✓ OpenSSL_jll
   8690.8 ms  ✓ Distributed
   2394.3 ms  ✓ LLVMOpenMP_jll
   2568.8 ms  ✓ Bzip2_jll
   2593.5 ms  ✓ Rmath_jll
   4302.0 ms  ✓ SimpleTraits
   2092.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2399.1 ms  ✓ Xorg_libXau_jll
   2399.2 ms  ✓ libpng_jll
   5188.5 ms  ✓ FFTA
   6880.7 ms  ✓ AdaptivePredicates
   2402.1 ms  ✓ libfdk_aac_jll
   2396.1 ms  ✓ Giflib_jll
   2597.3 ms  ✓ LAME_jll
   2512.3 ms  ✓ LERC_jll
   2703.2 ms  ✓ EarCut_jll
   2337.7 ms  ✓ CRlibm_jll
   2707.1 ms  ✓ JpegTurbo_jll
   2488.7 ms  ✓ Ogg_jll
   2316.6 ms  ✓ Xorg_libXdmcp_jll
   2799.5 ms  ✓ XZ_jll
   2485.7 ms  ✓ x264_jll
   2500.1 ms  ✓ x265_jll
   2619.1 ms  ✓ libaom_jll
   2491.8 ms  ✓ Expat_jll
   2788.3 ms  ✓ Zstd_jll
   2387.8 ms  ✓ Xorg_xtrans_jll
   2690.3 ms  ✓ Opus_jll
   2715.7 ms  ✓ LZO_jll
   2895.9 ms  ✓ Libiconv_jll
   2591.2 ms  ✓ Libffi_jll
   2600.9 ms  ✓ isoband_jll
   2678.9 ms  ✓ Libuuid_jll
  12325.8 ms  ✓ FileIO
   2896.2 ms  ✓ FriBidi_jll
   3010.1 ms  ✓ OpenBLASConsistentFPCSR_jll
   2303.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3185.5 ms  ✓ OpenSpecFun_jll
   2105.1 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
  16525.8 ms  ✓ SparseArrays
   3912.2 ms  ✓ FilePathsBase
   3602.0 ms  ✓ AxisArrays
   2204.8 ms  ✓ SortingAlgorithms
   2103.8 ms  ✓ StructUtils → StructUtilsTablesExt
   2408.0 ms  ✓ Imath_jll
   2593.6 ms  ✓ SharedArrays
   3589.4 ms  ✓ StructArrays
   2694.5 ms  ✓ Pixman_jll
   3312.6 ms  ✓ ProgressMeter
   4097.2 ms  ✓ QuadGK
   2397.5 ms  ✓ FreeType2_jll
   6203.7 ms  ✓ ChainRulesCore
   2589.3 ms  ✓ CRlibm
   2504.7 ms  ✓ libsixel_jll
   2596.9 ms  ✓ libvorbis_jll
   3277.7 ms  ✓ Rmath
   2497.8 ms  ✓ Libtiff_jll
   1900.4 ms  ✓ Isoband
   2315.0 ms  ✓ SuiteSparse
   2707.3 ms  ✓ GettextRuntime_jll
   1772.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   2686.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2900.5 ms  ✓ WoodburyMatrices
   2992.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3415.3 ms  ✓ Statistics
   2295.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2919.6 ms  ✓ OpenEXR_jll
   2139.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2605.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2995.6 ms  ✓ Fontconfig_jll
   3598.2 ms  ✓ FreeType
   7222.5 ms  ✓ Xorg_libxcb_jll
   2489.9 ms  ✓ FilePaths
   3076.0 ms  ✓ Glib_jll
   2780.6 ms  ✓ AxisAlgorithms
   3703.4 ms  ✓ PDMats
   2589.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2797.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2004.7 ms  ✓ StructArrays → StructArraysAdaptExt
   5225.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2021.7 ms  ✓ Xorg_libX11_jll
   2630.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2399.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   1287.7 ms  ✓ Xorg_libXext_jll
   5391.5 ms  ✓ SignedDistanceFields
   1490.6 ms  ✓ Xorg_libXrender_jll
  10301.5 ms  ✓ SpecialFunctions
   7202.9 ms  ✓ IntervalArithmetic
   1903.2 ms  ✓ Cairo_jll
   2110.6 ms  ✓ Libglvnd_jll
   1902.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   7403.6 ms  ✓ FixedPointNumbers
   6693.0 ms  ✓ StatsBase
   3177.4 ms  ✓ HypergeometricFunctions
   1492.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2015.0 ms  ✓ HarfBuzz_jll
   1988.8 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   2299.5 ms  ✓ libwebp_jll
   1996.1 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1720.7 ms  ✓ PDMats → StatsBaseExt
   4386.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1076.4 ms  ✓ Pango_jll
   1088.9 ms  ✓ libass_jll
   3420.0 ms  ✓ ColorTypes
   2625.3 ms  ✓ StatsFuns
   1284.9 ms  ✓ FFMPEG_jll
   1986.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  24509.2 ms  ✓ StaticArrays
   4173.4 ms  ✓ QOI
  26912.4 ms  ✓ SIMD
   5185.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   2718.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2796.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2890.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3004.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3411.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  10581.2 ms  ✓ ColorVectorSpace
   5006.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2190.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  35102.3 ms  ✓ Parsers
   7387.1 ms  ✓ Interpolations
  11525.8 ms  ✓ ExactPredicates
  15394.3 ms  ✓ Colors
  16278.6 ms  ✓ Distributions
   2064.4 ms  ✓ Graphics
   2383.5 ms  ✓ OpenEXR
   2486.3 ms  ✓ Animations
   2530.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3777.7 ms  ✓ Cairo
   9789.5 ms  ✓ JSON
   5979.8 ms  ✓ KernelDensity
  62706.8 ms  ✓ Unitful
   3913.3 ms  ✓ ColorBrewer
  11604.1 ms  ✓ DelaunayTriangulation
  11533.3 ms  ✓ ColorSchemes
    982.5 ms  ✓ Unitful → PrintfExt
   3103.2 ms  ✓ Unitful → NaNMathExt
   3101.9 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3191.7 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   4234.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
  27494.4 ms  ✓ Automa
  29878.2 ms  ✓ GeometryBasics
   1126.0 ms  ✓ Packing
   1609.7 ms  ✓ ShaderAbstractions
   2263.8 ms  ✓ FreeTypeAbstraction
   6523.6 ms  ✓ GridLayoutBase
  14648.7 ms  ✓ PlotUtils
   6502.7 ms  ✓ MathTeXEngine
  34037.3 ms  ✓ ImageCore
  46050.2 ms  ✓ TiffImages
   1993.6 ms  ✓ WebP
   2083.3 ms  ✓ JpegTurbo
   2084.2 ms  ✓ Sixel
   2315.0 ms  ✓ ImageBase
   3379.7 ms  ✓ PNGFiles
   1536.5 ms  ✓ ImageAxes
    908.1 ms  ✓ ImageMetadata
    926.4 ms  ✓ Netpbm
    381.0 ms  ✓ ImageIO
  91158.7 ms  ✓ Makie
  33395.4 ms  ✓ CairoMakie
  238 dependencies successfully precompiled in 225 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 592.03
	System time (seconds): 51.57
	Percent of CPU this job got: 285%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:45.78
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3888648
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 767
	Minor (reclaiming a frame) page faults: 12456796
	Voluntary context switches: 287040
	Involuntary context switches: 143888
	Swaps: 0
	File system inputs: 0
	File system outputs: 2587736
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
