nice: cannot set niceness: Permission denied
Precompiling packages...
    439.4 ms  ✓ Reexport
    487.8 ms  ✓ TensorCore
    530.3 ms  ✓ MappedArrays
    590.9 ms  ✓ ConstructionBase
    451.5 ms  ✓ DataValueInterfaces
    504.5 ms  ✓ StatsAPI
    442.2 ms  ✓ CRC32c
    496.6 ms  ✓ RoundingEmulator
    579.2 ms  ✓ Observables
   1293.1 ms  ✓ IrrationalConstants
    512.0 ms  ✓ PolygonOps
    660.0 ms  ✓ IterTools
   1365.4 ms  ✓ Format
    591.6 ms  ✓ IntervalSets
    520.4 ms  ✓ CEnum
    508.5 ms  ✓ Contour
    538.2 ms  ✓ Inflate
    701.8 ms  ✓ TranscodingStreams
    505.0 ms  ✓ LaTeXStrings
    519.1 ms  ✓ StaticArraysCore
    649.1 ms  ✓ Statistics
    521.4 ms  ✓ StableRNGs
    463.2 ms  ✓ PtrArrays
    904.4 ms  ✓ SuiteSparse_jll
    570.9 ms  ✓ Mmap
    574.5 ms  ✓ DataAPI
   4676.5 ms  ✓ MacroTools
    679.2 ms  ✓ LazyModules
   1548.4 ms  ✓ AdaptivePredicates
   1076.1 ms  ✓ Grisu
    575.2 ms  ✓ InverseFunctions
    639.7 ms  ✓ AbstractTrees
    484.3 ms  ✓ MuladdMacro
    616.8 ms  ✓ AbstractFFTs
    521.2 ms  ✓ EnumX
    474.2 ms  ✓ IntegerMathUtils
    748.2 ms  ✓ OpenLibm_jll
    484.0 ms  ✓ IndirectArrays
    526.3 ms  ✓ TriplotBase
    486.7 ms  ✓ RangeArrays
    577.8 ms  ✓ Extents
   1104.4 ms  ✓ FillArrays
    682.5 ms  ✓ OrderedCollections
    703.3 ms  ✓ Serialization
    605.9 ms  ✓ DocStringExtensions
    432.4 ms  ✓ IteratorInterfaceExtensions
    790.3 ms  ✓ Requires
    515.7 ms  ✓ Scratch
   1311.9 ms  ✓ OffsetArrays
   1399.7 ms  ✓ InteractiveUtils
    594.3 ms  ✓ Compat
    739.3 ms  ✓ StructUtils
    449.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    481.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
    506.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   3622.2 ms  ✓ BaseDirs
   2040.7 ms  ✓ Preferences
   2464.6 ms  ✓ PkgVersion
    428.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   1286.6 ms  ✓ SignedDistanceFields
    521.0 ms  ✓ AliasTables
    519.7 ms  ✓ Missings
