nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.4 ms  ✓ IteratorInterfaceExtensions
   2061.6 ms  ✓ PolygonOps
   2063.0 ms  ✓ IndirectArrays
   2069.7 ms  ✓ MuladdMacro
   2067.1 ms  ✓ LaTeXStrings
   2128.8 ms  ✓ StatsAPI
   2315.8 ms  ✓ RangeArrays
   2156.9 ms  ✓ CEnum
   2230.4 ms  ✓ TensorCore
   2253.1 ms  ✓ Contour
   2242.6 ms  ✓ TriplotBase
   2858.6 ms  ✓ AbstractFFTs
   2096.5 ms  ✓ IntegerMathUtils
   2192.6 ms  ✓ OpenLibm_jll
   2301.8 ms  ✓ CompilerSupportLibraries_jll
   2390.3 ms  ✓ InverseFunctions
   4537.1 ms  ✓ FillArrays
   2335.9 ms  ✓ SuiteSparse_jll
   4732.1 ms  ✓ OffsetArrays
   4835.1 ms  ✓ Format
   2894.4 ms  ✓ IterTools
   3090.6 ms  ✓ StructUtils
   3008.6 ms  ✓ PkgVersion
   3201.5 ms  ✓ Grisu
   3109.7 ms  ✓ Preferences
   1790.2 ms  ✓ DataValueInterfaces
   1990.0 ms  ✓ EnumX
   1706.1 ms  ✓ Reexport
   1905.0 ms  ✓ StableRNGs
   2517.2 ms  ✓ Compat
   2384.3 ms  ✓ Observables
   1805.7 ms  ✓ Zlib_jll
   2409.5 ms  ✓ Requires
   2900.1 ms  ✓ OrderedCollections
   2705.0 ms  ✓ DocStringExtensions
   2780.3 ms  ✓ AbstractTrees
   2400.7 ms  ✓ IntervalSets
   1890.7 ms  ✓ PtrArrays
   2184.1 ms  ✓ PCRE2_jll
   2612.7 ms  ✓ RoundingEmulator
   2391.8 ms  ✓ LazyModules
   2810.1 ms  ✓ Extents
   2299.8 ms  ✓ Inflate
   2810.9 ms  ✓ TranscodingStreams
   2103.0 ms  ✓ DataAPI
   2267.8 ms  ✓ ConstructionBase
   8431.4 ms  ✓ Distributed
   2292.6 ms  ✓ Scratch
   2108.1 ms  ✓ TableTraits
   6398.3 ms  ✓ IrrationalConstants
   3101.6 ms  ✓ StaticArraysCore
   5305.4 ms  ✓ UnicodeFun
   2511.3 ms  ✓ NaNMath
   3193.6 ms  ✓ MappedArrays
   2883.6 ms  ✓ Primes
