nice: cannot set niceness: Permission denied
Precompiling packages...
   1532.4 ms  ✓ OpenSSL_jll
   1509.7 ms  ✓ Logging
   1590.2 ms  ✓ UUIDs
   1678.3 ms  ✓ Unicode
   1679.9 ms  ✓ MozillaCACerts_jll
   1693.0 ms  ✓ nghttp2_jll
   1727.6 ms  ✓ NetworkOptions
   1776.6 ms  ✓ Zlib_jll
   1791.5 ms  ✓ CompilerSupportLibraries_jll
   1891.8 ms  ✓ Base64
    629.9 ms  ✓ LibSSH2_jll
    603.2 ms  ✓ p7zip_jll
    720.4 ms  ✓ Printf
    501.9 ms  ✓ LibGit2_jll
    500.3 ms  ✓ LibCURL_jll
   3239.1 ms  ✓ ArgTools
    757.0 ms  ✓ LibCURL
    624.4 ms  ✓ Tar
   2912.3 ms  ✓ Dates
   3042.0 ms  ✓ LibGit2
    441.9 ms  ✓ TOML
   3021.1 ms  ✓ Downloads
   9122.9 ms  ✓ StyledStrings
   1673.7 ms  ✓ JuliaSyntaxHighlighting
   3773.8 ms  ✓ Markdown
  46518.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2442.0 ms  ✓ RangeArrays
   2519.0 ms  ✓ IteratorInterfaceExtensions
   2530.4 ms  ✓ MuladdMacro
   2535.5 ms  ✓ PolygonOps
   2626.9 ms  ✓ StatsAPI
   2734.7 ms  ✓ LaTeXStrings
   2739.3 ms  ✓ TensorCore
   2836.7 ms  ✓ Contour
   2911.9 ms  ✓ IndirectArrays
   3026.6 ms  ✓ TriplotBase
   3514.0 ms  ✓ AbstractFFTs
   2414.1 ms  ✓ OpenLibm_jll
   2591.7 ms  ✓ IntegerMathUtils
   5398.0 ms  ✓ FillArrays
   2896.5 ms  ✓ InverseFunctions
   3114.2 ms  ✓ Statistics
   3079.2 ms  ✓ SuiteSparse_jll
   6033.1 ms  ✓ OffsetArrays
   3496.1 ms  ✓ IterTools
   3902.2 ms  ✓ Serialization
   2385.5 ms  ✓ DataValueInterfaces
   7926.6 ms  ✓ Format
   2488.5 ms  ✓ Reexport
   3005.2 ms  ✓ StableRNGs
   3101.9 ms  ✓ EnumX
   3408.2 ms  ✓ DocStringExtensions
   4376.8 ms  ✓ Requires
   3100.0 ms  ✓ IntervalSets
   3481.4 ms  ✓ AbstractTrees
   9932.6 ms  ✓ CEnum
   2802.7 ms  ✓ RoundingEmulator
   2694.9 ms  ✓ Mmap
   2782.3 ms  ✓ PtrArrays
   3106.2 ms  ✓ Extents
   2898.1 ms  ✓ PCRE2_jll
   2405.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3585.6 ms  ✓ TranscodingStreams
   9431.2 ms  ✓ Observables
   2811.9 ms  ✓ DataAPI
   2508.8 ms  ✓ CRC32c
  10401.2 ms  ✓ OrderedCollections
   2712.0 ms  ✓ StaticArraysCore
   2973.1 ms  ✓ MappedArrays
  12305.6 ms  ✓ Grisu
   2507.6 ms  ✓ Scratch
   2498.6 ms  ✓ TableTraits
   7198.1 ms  ✓ AdaptivePredicates
   3693.3 ms  ✓ Preferences
   2594.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3311.1 ms  ✓ Primes
   2696.2 ms  ✓ FillArrays → FillArraysStatisticsExt
  10314.3 ms  ✓ LazyModules
  10193.4 ms  ✓ ConstructionBase
   2621.1 ms  ✓ StackViews
   7290.7 ms  ✓ PkgVersion
  15982.5 ms  ✓ IrrationalConstants
  10815.3 ms  ✓ StructUtils
   3783.0 ms  ✓ PaddedViews
  10067.4 ms  ✓ Compat
   3282.1 ms  ✓ Ratios
  20822.4 ms  ✓ MacroTools
   9430.3 ms  ✓ NaNMath
   3800.7 ms  ✓ Adapt
   8006.7 ms  ✓ SignedDistanceFields
  24619.6 ms  ✓ BaseDirs
   2606.0 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2906.8 ms  ✓ Inflate
   2917.8 ms  ✓ AliasTables
   2576.6 ms  ✓ Showoff
   2422.5 ms  ✓ PrecompileTools
   2980.4 ms  ✓ RelocatableFolders
   4320.1 ms  ✓ AxisArrays
   3006.2 ms  ✓ JLLWrappers
  14696.3 ms  ✓ InteractiveUtils
   2425.1 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2671.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2300.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2495.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2791.1 ms  ✓ MosaicViews
   3514.5 ms  ✓ LogExpFunctions
