nice: cannot set niceness: Permission denied
Precompiling packages...
   1423.7 ms  ✓ Logging
   1421.7 ms  ✓ MozillaCACerts_jll
   1417.7 ms  ✓ Zlib_jll
   1618.4 ms  ✓ UUIDs
   1655.1 ms  ✓ OpenSSL_jll
   1627.4 ms  ✓ nghttp2_jll
   1650.7 ms  ✓ CompilerSupportLibraries_jll
   1717.1 ms  ✓ Unicode
   1730.4 ms  ✓ NetworkOptions
   1805.1 ms  ✓ Base64
    506.9 ms  ✓ LibSSH2_jll
    594.3 ms  ✓ p7zip_jll
    652.6 ms  ✓ Printf
    473.0 ms  ✓ LibGit2_jll
    477.9 ms  ✓ LibCURL_jll
   3121.5 ms  ✓ ArgTools
    758.9 ms  ✓ LibCURL
    639.8 ms  ✓ Tar
   2875.0 ms  ✓ Dates
   3051.3 ms  ✓ LibGit2
    441.5 ms  ✓ TOML
   2958.9 ms  ✓ Downloads
   9010.9 ms  ✓ StyledStrings
   1683.6 ms  ✓ JuliaSyntaxHighlighting
   3742.5 ms  ✓ Markdown
  47643.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2392.1 ms  ✓ IteratorInterfaceExtensions
   2575.9 ms  ✓ PolygonOps
   2600.2 ms  ✓ MuladdMacro
   2673.3 ms  ✓ IndirectArrays
   2678.1 ms  ✓ LaTeXStrings
   2690.2 ms  ✓ RangeArrays
   2690.5 ms  ✓ StatsAPI
   2778.4 ms  ✓ Contour
   2981.9 ms  ✓ TensorCore
   3342.1 ms  ✓ TriplotBase
   3487.9 ms  ✓ AbstractFFTs
   2703.2 ms  ✓ IntegerMathUtils
   2696.5 ms  ✓ OpenLibm_jll
   3007.9 ms  ✓ InverseFunctions
   2987.5 ms  ✓ SuiteSparse_jll
   5781.2 ms  ✓ OffsetArrays
   5863.9 ms  ✓ FillArrays
   3400.7 ms  ✓ Statistics
   3701.3 ms  ✓ IterTools
   3904.9 ms  ✓ Serialization
   7779.6 ms  ✓ Format
   2604.6 ms  ✓ DataValueInterfaces
   2464.0 ms  ✓ Reexport
   2694.5 ms  ✓ EnumX
   2793.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3304.3 ms  ✓ AbstractTrees
   3598.2 ms  ✓ DocStringExtensions
   4486.9 ms  ✓ Requires
   3214.6 ms  ✓ IntervalSets
   9878.5 ms  ✓ CEnum
   2883.1 ms  ✓ Mmap
   2997.8 ms  ✓ RoundingEmulator
   2803.5 ms  ✓ PtrArrays
   3040.7 ms  ✓ Extents
