nice: cannot set niceness: Permission denied
Precompiling packages...
   1573.9 ms  ✓ Zlib_jll
   1600.1 ms  ✓ Logging
   1617.3 ms  ✓ MozillaCACerts_jll
   1661.5 ms  ✓ OpenSSL_jll
   1698.7 ms  ✓ nghttp2_jll
   1704.4 ms  ✓ UUIDs
   1726.6 ms  ✓ Unicode
   1737.2 ms  ✓ CompilerSupportLibraries_jll
   1740.1 ms  ✓ NetworkOptions
   1787.6 ms  ✓ Base64
    533.4 ms  ✓ LibSSH2_jll
    562.7 ms  ✓ p7zip_jll
    671.4 ms  ✓ Printf
    475.0 ms  ✓ LibGit2_jll
    473.5 ms  ✓ LibCURL_jll
   3147.8 ms  ✓ ArgTools
    761.6 ms  ✓ LibCURL
    645.3 ms  ✓ Tar
   2891.9 ms  ✓ Dates
   2986.0 ms  ✓ LibGit2
    443.0 ms  ✓ TOML
   3091.7 ms  ✓ Downloads
   9112.6 ms  ✓ StyledStrings
   1607.1 ms  ✓ JuliaSyntaxHighlighting
   3773.9 ms  ✓ Markdown
  46540.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2414.3 ms  ✓ MuladdMacro
   2496.5 ms  ✓ IteratorInterfaceExtensions
   2512.8 ms  ✓ LaTeXStrings
   2511.7 ms  ✓ PolygonOps
   2591.2 ms  ✓ IndirectArrays
   2603.0 ms  ✓ RangeArrays
   2792.0 ms  ✓ Contour
   2799.8 ms  ✓ StatsAPI
   2894.5 ms  ✓ TensorCore
   3093.1 ms  ✓ TriplotBase
   3403.4 ms  ✓ AbstractFFTs
   2587.1 ms  ✓ OpenLibm_jll
   2798.2 ms  ✓ IntegerMathUtils
   2700.6 ms  ✓ InverseFunctions
   2907.4 ms  ✓ SuiteSparse_jll
   3207.9 ms  ✓ Statistics
   3272.9 ms  ✓ IterTools
   5863.4 ms  ✓ OffsetArrays
   5884.9 ms  ✓ FillArrays
   4203.8 ms  ✓ Serialization
   2585.9 ms  ✓ DataValueInterfaces
   7788.5 ms  ✓ Format
   2624.4 ms  ✓ EnumX
   2414.4 ms  ✓ Reexport
   2809.7 ms  ✓ StableRNGs
   3393.7 ms  ✓ AbstractTrees
   3430.7 ms  ✓ DocStringExtensions
   4403.9 ms  ✓ Requires
   9892.3 ms  ✓ CEnum
   3207.2 ms  ✓ IntervalSets
   2801.0 ms  ✓ RoundingEmulator
   2807.3 ms  ✓ Mmap
   2556.6 ms  ✓ PtrArrays
   3083.5 ms  ✓ Extents
   2789.4 ms  ✓ PCRE2_jll
   3505.6 ms  ✓ TranscodingStreams
   2903.9 ms  ✓ Inflate
   2393.6 ms  ✓ CRC32c
   2600.8 ms  ✓ DataAPI
  10008.9 ms  ✓ Observables
  10692.9 ms  ✓ OrderedCollections
   3027.2 ms  ✓ StaticArraysCore
   2816.5 ms  ✓ MappedArrays
  12074.1 ms  ✓ Grisu
   2410.3 ms  ✓ Scratch
   7212.6 ms  ✓ AdaptivePredicates
   3697.7 ms  ✓ Preferences
   2583.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3135.1 ms  ✓ Primes
   9790.7 ms  ✓ LazyModules
  10089.6 ms  ✓ ConstructionBase
   3308.8 ms  ✓ StackViews
   7393.7 ms  ✓ PkgVersion
   3183.5 ms  ✓ PaddedViews
  15767.5 ms  ✓ IrrationalConstants
   2508.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   6384.0 ms  ✓ SignedDistanceFields
  11689.9 ms  ✓ StructUtils
   9192.6 ms  ✓ DataStructures
  20868.4 ms  ✓ MacroTools
  10379.6 ms  ✓ Compat
  10196.6 ms  ✓ NaNMath
  24507.5 ms  ✓ BaseDirs
   3481.0 ms  ✓ Adapt
   3615.3 ms  ✓ Ratios
   3098.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2603.8 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2918.8 ms  ✓ AliasTables
   2334.4 ms  ✓ TableTraits
   3013.1 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2615.0 ms  ✓ Showoff
   2526.5 ms  ✓ PrecompileTools
   3487.0 ms  ✓ RelocatableFolders
   3182.2 ms  ✓ JLLWrappers
   2390.6 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2586.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3106.5 ms  ✓ MosaicViews
  16400.6 ms  ✓ InteractiveUtils
   3780.8 ms  ✓ LogExpFunctions
   3216.1 ms  ✓ SortingAlgorithms
   2906.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2700.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   7102.4 ms  ✓ FFTA
   4299.6 ms  ✓ AxisArrays
   3898.2 ms  ✓ Graphite2_jll
  11193.6 ms  ✓ ComputePipeline
   9695.5 ms  ✓ Missings
   4308.5 ms  ✓ LLVMOpenMP_jll
   3514.3 ms  ✓ Bzip2_jll
   6204.0 ms  ✓ FilePathsBase
  20008.2 ms  ✓ FixedPointNumbers
  18808.7 ms  ✓ Distributed
   3605.6 ms  ✓ Rmath_jll
  12196.1 ms  ✓ QuadGK
   3696.4 ms  ✓ Xorg_libXau_jll
   3757.6 ms  ✓ libpng_jll
   5777.4 ms  ✓ Xorg_libpciaccess_jll
   3900.2 ms  ✓ Pixman_jll
  11588.4 ms  ✓ Tables
   4291.9 ms  ✓ Imath_jll
   4805.9 ms  ✓ Giflib_jll
  21138.1 ms  ✓ FileIO
   3606.6 ms  ✓ CRlibm_jll
   4111.4 ms  ✓ EarCut_jll
   5286.1 ms  ✓ LAME_jll
   4590.4 ms  ✓ LERC_jll
   4020.8 ms  ✓ Ogg_jll
   3807.7 ms  ✓ x265_jll
   4825.0 ms  ✓ XZ_jll
   4498.8 ms  ✓ Xorg_libXdmcp_jll
   5227.3 ms  ✓ JpegTurbo_jll
   3689.9 ms  ✓ x264_jll
   3889.6 ms  ✓ libaom_jll
   3793.2 ms  ✓ Zstd_jll
   3599.9 ms  ✓ LZO_jll
   3582.1 ms  ✓ Xorg_xtrans_jll
   3698.4 ms  ✓ Opus_jll
   4104.6 ms  ✓ Expat_jll
  27098.3 ms  ✓ SparseArrays
   3604.8 ms  ✓ Libffi_jll
   3799.4 ms  ✓ Libiconv_jll
   3800.8 ms  ✓ isoband_jll
   3893.9 ms  ✓ OpenSpecFun_jll
   3797.7 ms  ✓ Libuuid_jll
