nice: cannot set niceness: Permission denied
Precompiling packages...
    415.9 ms  ✓ Reexport
    474.8 ms  ✓ TensorCore
    495.9 ms  ✓ MappedArrays
    577.5 ms  ✓ ConstructionBase
    424.9 ms  ✓ DataValueInterfaces
    477.0 ms  ✓ StatsAPI
    426.7 ms  ✓ CRC32c
    480.8 ms  ✓ RoundingEmulator
    539.7 ms  ✓ Observables
   1347.8 ms  ✓ IrrationalConstants
    485.8 ms  ✓ PolygonOps
   1240.6 ms  ✓ Format
    662.7 ms  ✓ IterTools
    552.4 ms  ✓ IntervalSets
    467.4 ms  ✓ CEnum
    496.1 ms  ✓ Contour
    541.2 ms  ✓ Inflate
    479.9 ms  ✓ LaTeXStrings
    669.0 ms  ✓ TranscodingStreams
    519.5 ms  ✓ StaticArraysCore
    618.6 ms  ✓ Statistics
    507.7 ms  ✓ StableRNGs
    437.4 ms  ✓ PtrArrays
    845.4 ms  ✓ SuiteSparse_jll
    508.2 ms  ✓ Mmap
    459.3 ms  ✓ DataAPI
    663.8 ms  ✓ LazyModules
   1475.6 ms  ✓ AdaptivePredicates
    971.9 ms  ✓ Grisu
    633.1 ms  ✓ InverseFunctions
    518.4 ms  ✓ MuladdMacro
    545.2 ms  ✓ EnumX
    738.3 ms  ✓ AbstractTrees
    722.5 ms  ✓ AbstractFFTs
   5465.2 ms  ✓ MacroTools
    434.6 ms  ✓ IntegerMathUtils
    711.8 ms  ✓ OpenLibm_jll
    448.6 ms  ✓ IndirectArrays
    546.2 ms  ✓ TriplotBase
    451.0 ms  ✓ RangeArrays
    551.1 ms  ✓ Extents
   1080.1 ms  ✓ FillArrays
    669.8 ms  ✓ OrderedCollections
    686.6 ms  ✓ Serialization
    600.3 ms  ✓ DocStringExtensions
    400.9 ms  ✓ IteratorInterfaceExtensions
    752.9 ms  ✓ Requires
    498.8 ms  ✓ Scratch
   1412.0 ms  ✓ OffsetArrays
    727.8 ms  ✓ StructUtils
   1264.7 ms  ✓ InteractiveUtils
    598.1 ms  ✓ Compat
    571.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    445.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
    478.0 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   4091.8 ms  ✓ BaseDirs
   2292.4 ms  ✓ Preferences
    412.4 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2950.4 ms  ✓ PkgVersion
   1326.4 ms  ✓ SignedDistanceFields
    572.1 ms  ✓ AliasTables
    526.3 ms  ✓ Missings
    477.1 ms  ✓ Showoff
    449.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    603.5 ms  ✓ Primes
    524.7 ms  ✓ NaNMath
    490.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2981.1 ms  ✓ FixedPointNumbers
    666.6 ms  ✓ LogExpFunctions
   1829.6 ms  ✓ DataStructures
    407.1 ms  ✓ TableTraits
    466.8 ms  ✓ Ratios
   2670.5 ms  ✓ Distributed
    564.6 ms  ✓ Adapt
    488.7 ms  ✓ RelocatableFolders
    474.2 ms  ✓ PaddedViews
    448.1 ms  ✓ StackViews
    439.9 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
    736.0 ms  ✓ SimpleTraits
   4306.8 ms  ✓ SparseArrays
    440.8 ms  ✓ Compat → CompatLinearAlgebraExt
    774.5 ms  ✓ AxisArrays
    466.0 ms  ✓ PrecompileTools
    527.8 ms  ✓ JLLWrappers
    725.1 ms  ✓ ComputePipeline
   1187.9 ms  ✓ FFTA
    533.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1560.9 ms  ✓ ColorTypes
   5258.1 ms  ✓ FileIO
    545.6 ms  ✓ SortingAlgorithms
    895.3 ms  ✓ Tables
    909.1 ms  ✓ QuadGK
    482.9 ms  ✓ Ratios → RatiosFixedPointNumbersExt
    416.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
    560.2 ms  ✓ SharedArrays
    819.9 ms  ✓ ProgressMeter
    494.3 ms  ✓ MosaicViews
    622.7 ms  ✓ WoodburyMatrices
    572.7 ms  ✓ Statistics → SparseArraysExt
    641.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
    570.8 ms  ✓ SuiteSparse
    552.7 ms  ✓ Adapt → AdaptSparseArraysExt
    994.1 ms  ✓ FilePathsBase
   1465.5 ms  ✓ ChainRulesCore
  21583.7 ms  ✓ Unitful
    643.3 ms  ✓ Libffi_jll
    774.5 ms  ✓ LZO_jll
    803.9 ms  ✓ EarCut_jll
   8894.6 ms  ✓ SIMD
    718.8 ms  ✓ Bzip2_jll
    672.2 ms  ✓ OpenBLASConsistentFPCSR_jll
    640.3 ms  ✓ isoband_jll
    724.9 ms  ✓ XZ_jll
    655.0 ms  ✓ Rmath_jll
    808.4 ms  ✓ OpenSpecFun_jll
    854.1 ms  ✓ Xorg_xtrans_jll
    947.8 ms  ✓ Opus_jll
    924.2 ms  ✓ x265_jll
    919.8 ms  ✓ libpng_jll
    952.1 ms  ✓ CRlibm_jll
    921.2 ms  ✓ Imath_jll
    914.7 ms  ✓ Libmount_jll
    894.8 ms  ✓ libfdk_aac_jll
    920.4 ms  ✓ Libuuid_jll
   1010.6 ms  ✓ FriBidi_jll
    964.5 ms  ✓ LERC_jll
    956.2 ms  ✓ Xorg_libXau_jll
  15870.6 ms  ✓ Parsers
    914.9 ms  ✓ Ogg_jll
  16660.2 ms  ✓ StaticArrays
    729.1 ms  ✓ LAME_jll
    683.4 ms  ✓ Graphite2_jll
    632.2 ms  ✓ LLVMOpenMP_jll
    659.2 ms  ✓ Xorg_libpciaccess_jll
    683.3 ms  ✓ Libiconv_jll
    663.7 ms  ✓ Pixman_jll
    687.8 ms  ✓ libaom_jll
    682.7 ms  ✓ Giflib_jll
    669.9 ms  ✓ Expat_jll
    516.4 ms  ✓ ColorTypes → StyledStringsExt
    754.3 ms  ✓ JpegTurbo_jll
    765.0 ms  ✓ StructArrays
    527.4 ms  ✓ StructUtils → StructUtilsTablesExt
    799.8 ms  ✓ AxisAlgorithms
   4886.6 ms  ✓ JSON
   2452.3 ms  ✓ ColorVectorSpace
    472.0 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
    874.6 ms  ✓ PDMats
    594.0 ms  ✓ FilePaths
    589.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    460.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
    661.7 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2570.0 ms  ✓ StatsBase
